SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
APOLLO,1134,NSE,Small Cap,2024-12-31 12:15:00,114.64,117.50,113.87,116.00,11683543
APOLLO,1134,NSE,Small Cap,2024-12-30 11:15:00,106.73,115.00,106.60,114.65,22697373
APOLLO,1134,NSE,Small Cap,2024-12-27 14:30:00,98.23,107.98,97.50,106.78,9695126
APOLLO,1134,NSE,Small Cap,2024-12-26 13:30:00,94.75,98.49,94.01,98.22,1763599
APOLLO,1134,NSE,Small Cap,2024-12-24 11:30:00,95.50,96.55,94.50,94.72,985489
APOLLO,1134,NSE,Small Cap,2024-12-23 10:30:00,92.88,96.25,92.80,95.45,969143
APOLLO,1134,NSE,Small Cap,2024-12-20 13:45:00,94.53,95.05,92.55,92.96,867586
APOLLO,1134,NSE,Small Cap,2024-12-19 12:45:00,96.70,98.00,94.25,94.63,1005140
APOLLO,1134,NSE,Small Cap,2024-12-18 11:45:00,96.75,97.80,94.05,96.70,1227085
APOLLO,1134,NSE,Small Cap,2024-12-17 10:45:00,97.27,97.49,95.41,96.76,767537
APOLLO,1134,NSE,Small Cap,2024-12-16 09:45:00,98.35,98.64,97.00,97.16,683784
APOLLO,1134,NSE,Small Cap,2024-12-13 13:00:00,97.10,99.20,96.30,98.36,854803
APOLLO,1134,NSE,Small Cap,2024-12-12 12:00:00,98.42,98.50,96.16,97.09,863925
APOLLO,1134,NSE,Small Cap,2024-12-11 11:00:00,99.15,100.47,98.30,98.38,848001
APOLLO,1134,NSE,Small Cap,2024-12-10 10:00:00,100.01,100.37,97.46,99.17,1955519
APOLLO,1134,NSE,Small Cap,2024-12-09 15:15:00,100.43,101.19,99.80,100.10,358001
APOLLO,1134,NSE,Small Cap,2024-12-06 12:15:00,100.90,101.90,99.72,100.55,2026149
APOLLO,1134,NSE,Small Cap,2024-12-05 11:15:00,100.84,102.20,99.80,100.84,1391225
APOLLO,1134,NSE,Small Cap,2024-12-04 10:15:00,102.29,102.39,100.40,100.97,1462113
APOLLO,1134,NSE,Small Cap,2024-12-03 09:15:00,101.25,104.45,101.04,102.32,2863256
APOLLO,1134,NSE,Small Cap,2024-12-02 14:30:00,101.29,101.76,100.65,101.19,307873
APOLLO,1134,NSE,Small Cap,2024-11-29 11:30:00,97.94,103.60,96.93,101.15,4514848
APOLLO,1134,NSE,Small Cap,2024-11-28 10:30:00,96.52,99.16,95.60,97.95,2044992
APOLLO,1134,NSE,Small Cap,2024-11-27 09:30:00,94.45,97.34,94.20,96.63,2210805
APOLLO,1134,NSE,Small Cap,2024-11-26 14:45:00,94.74,94.85,93.60,94.44,250421
APOLLO,1134,NSE,Small Cap,2024-11-25 13:45:00,95.98,96.94,94.56,94.85,1747517
APOLLO,1134,NSE,Small Cap,2024-11-22 10:45:00,91.20,97.89,90.75,95.90,2817738
APOLLO,1134,NSE,Small Cap,2024-11-21 09:45:00,91.39,93.20,90.51,91.10,1188709
APOLLO,1134,NSE,Small Cap,2024-11-19 14:00:00,93.96,94.00,90.25,91.40,668990
APOLLO,1134,NSE,Small Cap,2024-11-18 13:00:00,94.25,95.44,93.02,93.95,1224645
APOLLO,1134,NSE,Small Cap,2024-11-14 15:15:00,94.34,98.00,93.31,94.27,834991
APOLLO,1134,NSE,Small Cap,2024-11-13 14:15:00,94.71,96.00,93.61,94.25,1031177
APOLLO,1134,NSE,Small Cap,2024-11-12 13:15:00,98.00,98.10,93.60,94.72,1113696
APOLLO,1134,NSE,Small Cap,2024-11-11 12:15:00,98.74,99.45,97.85,98.10,719536
APOLLO,1134,NSE,Small Cap,2024-11-08 09:15:00,100.88,101.29,97.75,98.75,1500756
APOLLO,1134,NSE,Small Cap,2024-11-07 14:30:00,100.54,100.72,100.10,100.70,266794
APOLLO,1134,NSE,Small Cap,2024-11-06 13:30:00,100.93,105.10,99.98,100.68,3378436
APOLLO,1134,NSE,Small Cap,2024-11-05 12:30:00,99.56,101.70,99.45,101.00,1237582
APOLLO,1134,NSE,Small Cap,2024-11-04 11:30:00,100.21,101.00,99.12,99.70,1234283
APOLLO,1134,NSE,Small Cap,2024-10-31 13:45:00,101.97,102.63,99.63,100.33,1017036
APOLLO,1134,NSE,Small Cap,2024-10-30 12:45:00,102.43,103.99,101.36,101.98,2115701
APOLLO,1134,NSE,Small Cap,2024-10-29 11:45:00,99.84,103.49,99.50,102.44,1795510
APOLLO,1134,NSE,Small Cap,2024-10-28 10:45:00,100.81,102.29,98.69,99.90,2511333
APOLLO,1134,NSE,Small Cap,2024-10-25 14:00:00,99.70,105.47,97.10,100.79,5594201
APOLLO,1134,NSE,Small Cap,2024-10-24 13:00:00,98.51,106.99,96.36,99.61,10843946
APOLLO,1134,NSE,Small Cap,2024-10-23 12:00:00,93.99,101.60,92.03,98.60,2852501
APOLLO,1134,NSE,Small Cap,2024-10-22 11:00:00,94.23,94.99,88.20,94.00,1860510
APOLLO,1134,NSE,Small Cap,2024-10-21 10:00:00,97.70,98.50,92.98,94.15,1291907
APOLLO,1134,NSE,Small Cap,2024-10-18 13:15:00,98.97,99.65,97.41,97.72,436837
APOLLO,1134,NSE,Small Cap,2024-10-17 12:15:00,99.25,99.65,96.81,98.88,745142
APOLLO,1134,NSE,Small Cap,2024-10-16 11:15:00,100.00,100.70,99.05,99.29,749434
APOLLO,1134,NSE,Small Cap,2024-10-15 10:15:00,99.71,101.40,99.00,100.09,864886
APOLLO,1134,NSE,Small Cap,2024-10-14 09:15:00,101.08,101.60,99.57,99.88,1035212
APOLLO,1134,NSE,Small Cap,2024-10-11 12:30:00,102.41,102.66,100.35,100.71,568745
APOLLO,1134,NSE,Small Cap,2024-10-10 11:30:00,104.00,104.31,101.48,102.25,1182217
APOLLO,1134,NSE,Small Cap,2024-10-09 10:30:00,102.30,103.97,100.63,103.88,1266774
