Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,112.5,112.95,106.2,111.1,432227
2015-04-06,00:00:00,109.6,111.75,107.65,110.85,405972
2015-04-07,00:00:00,111.5,111.8,108.4,109.6,153959
2015-04-08,00:00:00,110.35,112.4,109.5,112.0,241670
2015-04-09,00:00:00,111.6,114.4,108.6,112.7,278005
2015-04-10,00:00:00,112.55,112.7,108.1,108.45,271688
2015-04-13,00:00:00,108.45,110.7,107.7,108.5,482545
2015-04-15,00:00:00,108.6,108.95,105.35,106.3,427234
2015-04-16,00:00:00,105.25,106.3,101.6,103.75,488091
2015-04-17,00:00:00,103.95,104.95,102.3,103.7,327074
2015-04-20,00:00:00,103.25,104.15,100.25,101.75,502482
2015-04-21,00:00:00,101.0,105.95,101.0,104.5,887250
2015-04-22,00:00:00,104.9,107.95,102.4,106.85,337427
2015-04-23,00:00:00,106.3,108.1,102.9,103.6,675571
2015-04-24,00:00:00,103.75,103.8,100.35,101.1,547711
2015-04-27,00:00:00,102.05,102.8,98.45,101.8,195483
2015-04-28,00:00:00,101.95,106.2,100.9,105.7,372086
2015-04-29,00:00:00,105.2,107.6,103.1,106.75,214041
2015-04-30,00:00:00,105.2,106.65,103.4,105.9,247415
2015-05-04,00:00:00,105.7,108.1,105.25,107.75,173165
2015-05-05,00:00:00,108.1,108.1,102.7,103.5,307628
2015-05-06,00:00:00,103.7,103.75,99.1,100.6,836858
2015-05-07,00:00:00,102.3,102.3,99.8,100.8,458812
2015-05-08,00:00:00,101.8,103.25,100.95,101.85,427067
2015-05-11,00:00:00,102.6,104.4,101.4,102.0,518967
2015-05-12,00:00:00,101.7,102.95,100.0,100.6,115739
2015-05-13,00:00:00,100.4,102.9,98.55,101.45,392395
2015-05-14,00:00:00,101.9,102.75,99.75,100.85,987993
2015-05-15,00:00:00,102.3,103.65,100.85,102.15,156744
2015-05-18,00:00:00,101.8,102.1,99.8,101.05,131457
2015-05-19,00:00:00,101.55,104.25,101.2,101.6,295965
2015-05-20,00:00:00,102.05,102.65,99.9,100.1,168800
2015-05-21,00:00:00,100.85,101.45,99.6,100.9,170404
2015-05-22,00:00:00,101.45,101.6,100.35,101.0,188627
2015-05-25,00:00:00,100.4,100.95,94.05,97.6,460345
2015-05-26,00:00:00,95.55,99.15,95.45,96.95,209117
2015-05-27,00:00:00,96.95,99.35,96.5,98.9,414979
2015-05-28,00:00:00,99.4,99.4,96.7,97.7,1099424
2015-05-29,00:00:00,97.95,100.3,96.65,98.95,375873
2015-06-01,00:00:00,98.9,99.8,96.7,98.75,563439
2015-06-02,00:00:00,98.4,100.15,95.25,96.9,639828
2015-06-03,00:00:00,98.65,98.65,93.45,93.95,327032
2015-06-04,00:00:00,93.75,96.95,93.1,95.9,309731
2015-06-05,00:00:00,95.7,98.25,95.15,97.05,170217
2015-06-08,00:00:00,97.9,97.9,94.85,96.0,268748
2015-06-09,00:00:00,95.05,96.7,94.85,95.3,261513
2015-06-10,00:00:00,95.6,96.85,94.65,95.4,115183
2015-06-11,00:00:00,95.95,96.5,92.2,93.0,93228
2015-06-12,00:00:00,93.25,93.95,92.1,92.2,489007
2015-06-15,00:00:00,92.1,93.65,91.3,91.7,346494
2015-06-16,00:00:00,91.25,92.3,87.9,90.15,483125
