Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,25.0,25.1,23.55,24.3,93362411
2015-04-06,00:00:00,25.15,25.8,24.95,25.35,74617014
2015-04-07,00:00:00,25.5,27.25,25.1,27.0,131649306
2015-04-08,00:00:00,27.15,27.8,25.95,26.1,120378551
2015-04-09,00:00:00,26.6,27.15,25.3,26.75,138485294
2015-04-10,00:00:00,26.9,26.9,25.85,25.95,47703250
2015-04-13,00:00:00,26.1,26.35,25.65,25.9,41286051
2015-04-15,00:00:00,26.0,26.65,25.55,26.0,63968966
2015-04-16,00:00:00,26.1,26.25,25.05,25.55,47556273
2015-04-17,00:00:00,25.65,26.15,25.15,25.4,46231259
2015-04-20,00:00:00,25.3,25.4,24.05,24.25,35255533
2015-04-21,00:00:00,24.3,24.55,23.75,23.85,36129190
2015-04-22,00:00:00,23.95,24.35,22.85,23.65,46236941
2015-04-23,00:00:00,23.85,24.15,23.4,23.6,26552428
2015-04-24,00:00:00,23.75,23.8,22.3,22.55,49926115
2015-04-27,00:00:00,22.75,22.85,20.8,21.05,56382118
2015-04-28,00:00:00,20.5,22.5,20.45,22.05,41301229
2015-04-29,00:00:00,22.2,23.35,21.85,22.0,48984192
2015-04-30,00:00:00,22.05,22.35,21.6,21.85,33845033
2015-05-04,00:00:00,22.15,22.85,22.15,22.7,33584043
2015-05-05,00:00:00,22.75,22.75,21.95,22.1,27671451
2015-05-06,00:00:00,22.0,22.05,20.95,21.1,45060944
2015-05-07,00:00:00,21.1,21.6,20.75,21.1,43051274
2015-05-08,00:00:00,21.6,22.3,21.55,22.1,33743371
2015-05-11,00:00:00,22.3,22.85,22.25,22.35,27159752
2015-05-12,00:00:00,22.35,22.45,21.3,21.4,24974854
2015-05-13,00:00:00,21.6,22.15,21.4,22.0,27096213
2015-05-14,00:00:00,21.9,22.4,21.6,22.15,22735933
2015-05-15,00:00:00,22.5,23.95,22.5,23.45,61133499
2015-05-18,00:00:00,23.5,24.4,22.55,24.0,59551086
2015-05-19,00:00:00,24.25,24.65,23.85,24.0,56846192
2015-05-20,00:00:00,24.2,24.3,23.5,23.65,21418282
2015-05-21,00:00:00,23.5,23.75,23.05,23.2,17362953
2015-05-22,00:00:00,23.25,23.55,22.85,22.95,14856490
2015-05-25,00:00:00,22.95,23.35,22.55,22.75,20142822
2015-05-26,00:00:00,22.75,23.6,22.55,23.1,34724917
2015-05-27,00:00:00,22.8,23.15,22.65,23.0,18013947
2015-05-28,00:00:00,23.1,23.75,23.1,23.3,23019662
2015-05-29,00:00:00,23.35,23.65,22.8,23.15,25053909
2015-06-01,00:00:00,21.85,22.55,21.65,21.95,34049475
2015-06-02,00:00:00,21.95,22.15,20.9,21.05,42302657
2015-06-03,00:00:00,21.05,21.25,18.55,19.15,84584142
2015-06-04,00:00:00,19.45,19.85,18.95,19.6,30801764
2015-06-05,00:00:00,19.6,20.0,19.2,19.6,24416076
2015-06-08,00:00:00,19.65,19.8,18.5,18.8,19885546
2015-06-09,00:00:00,18.7,18.95,18.35,18.8,34021686
2015-06-10,00:00:00,18.8,19.15,18.65,18.95,28890353
2015-06-11,00:00:00,19.05,20.05,18.9,19.5,44606355
2015-06-12,00:00:00,19.6,20.15,19.5,20.0,28912541
2015-06-15,00:00:00,19.95,20.35,19.85,20.2,23905960
2015-06-16,00:00:00,20.2,20.5,19.7,19.95,18142741
2015-06-17,00:00:00,20.2,20.25,19.85,19.95,18763087
2015-06-18,00:00:00,20.0,21.05,19.95,20.6,36611885
2015-06-19,00:00:00,20.8,21.3,20.6,21.05,33155937
2015-06-22,00:00:00,21.35,22.35,21.25,22.15,47178861
2015-06-23,00:00:00,22.3,22.6,21.5,21.6,27882376
