Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,268.5,271.35,266.14,268.35,42173
2015-04-06,00:00:00,273.39,273.39,265.6,267.0,34191
2015-04-07,00:00:00,268.0,268.75,262.6,265.25,126692
2015-04-08,00:00:00,268.0,269.89,265.5,267.5,1204223
2015-04-09,00:00:00,268.5,268.5,262.2,264.75,1146480
2015-04-10,00:00:00,265.0,270.0,262.2,265.6,826149
2015-04-13,00:00:00,265.89,269.45,261.2,262.14,152267
2015-04-15,00:00:00,264.5,264.95,260.5,261.7,834961
2015-04-16,00:00:00,261.7,262.64,257.3,258.75,553300
2015-04-17,00:00:00,259.0,260.75,257.0,258.0,115844
2015-04-20,00:00:00,259.35,259.8,252.95,256.0,109953
2015-04-21,00:00:00,257.39,257.39,254.4,255.95,62740
2015-04-22,00:00:00,256.0,256.95,252.1,255.15,195924
2015-04-23,00:00:00,256.7,276.7,251.7,253.5,235140
2015-04-24,00:00:00,254.7,254.8,250.25,253.2,76032
2015-04-27,00:00:00,255.0,255.0,245.05,247.05,401965
2015-04-28,00:00:00,249.0,257.0,239.55,241.05,331405
2015-04-29,00:00:00,242.0,244.95,239.15,240.1,727125
2015-04-30,00:00:00,241.3,242.0,227.55,229.8,566295
2015-05-04,00:00:00,231.0,234.3,230.55,233.55,196505
2015-05-05,00:00:00,234.95,235.3,232.55,234.9,65860
2015-05-06,00:00:00,236.0,236.0,225.55,229.5,170930
2015-05-07,00:00:00,229.5,236.7,229.5,233.6,152699
2015-05-08,00:00:00,235.0,247.0,232.8,244.7,119870
2015-05-11,00:00:00,245.1,251.95,243.0,246.8,165476
2015-05-12,00:00:00,249.5,256.0,246.6,251.3,156490
2015-05-13,00:00:00,253.25,257.39,247.1,255.35,53730
2015-05-14,00:00:00,255.9,259.0,253.65,256.05,80998
2015-05-15,00:00:00,254.15,257.75,253.0,253.0,464557
2015-05-18,00:00:00,253.0,257.0,249.7,255.1,171153
2015-05-19,00:00:00,253.0,253.0,246.1,247.85,67400
2015-05-20,00:00:00,248.0,249.0,240.5,241.85,69052
2015-05-21,00:00:00,243.25,243.25,238.0,239.85,160957
2015-05-22,00:00:00,237.5,239.0,235.05,236.8,97499
2015-05-25,00:00:00,236.0,236.1,228.1,229.0,66279
2015-05-26,00:00:00,232.75,232.75,227.35,230.0,783566
2015-05-27,00:00:00,232.7,232.7,227.0,230.05,58419
2015-05-28,00:00:00,228.1,232.1,228.1,230.3,33920
