Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,2049.0,2052.44,2000.0,2030.7,3928
2015-04-06,00:00:00,2030.7,2075.0,2011.0,2056.55,6584
2015-04-07,00:00:00,2078.94,2078.94,2032.35,2049.1,25278
2015-04-08,00:00:00,2052.0,2115.0,2035.55,2109.75,9247
2015-04-09,00:00:00,2125.19,2194.69,2095.5,2163.65,127906
2015-04-10,00:00:00,2180.0,2350.0,2115.0,2227.4,82834
2015-04-13,00:00:00,2310.0,2348.0,2265.0,2295.35,52917
2015-04-15,00:00:00,2290.0,2340.0,2268.0,2294.19,20524
2015-04-16,00:00:00,2301.94,2367.44,2300.44,2348.55,44284
2015-04-17,00:00:00,2357.0,2371.3,2160.6,2192.5,109213
2015-04-20,00:00:00,2155.0,2155.0,2030.6,2049.9,39333
2015-04-21,00:00:00,2050.0,2050.0,1960.05,1973.55,30131
2015-04-22,00:00:00,1964.0,2028.0,1964.0,2006.65,25057
2015-04-23,00:00:00,2010.0,2015.95,1990.15,1996.1,17956
2015-04-24,00:00:00,2125.0,2340.0,1876.25,1895.25,412329
2015-04-27,00:00:00,1895.25,2005.0,1780.0,1968.4,114930
2015-04-28,00:00:00,1980.0,1999.65,1913.65,1945.05,30446
2015-04-29,00:00:00,2048.8,2072.6,1953.0,1981.1,90742
2015-04-30,00:00:00,1975.0,1999.0,1924.0,1979.4,32151
2015-05-04,00:00:00,2010.0,2025.0,1945.05,2002.1,84655
2015-05-05,00:00:00,2003.0,2024.0,1980.0,2001.05,20050
2015-05-06,00:00:00,2011.0,2011.0,1952.0,2000.85,23169
2015-05-07,00:00:00,1995.0,2009.95,1952.0,1966.55,13430
2015-05-08,00:00:00,1976.0,2119.75,1975.95,2008.0,72028
2015-05-11,00:00:00,2008.0,2110.0,2007.9,2095.1,42808
2015-05-12,00:00:00,2118.5,2197.0,2110.0,2160.1,147913
2015-05-13,00:00:00,2137.0,2194.0,2063.0,2095.85,29338
2015-05-14,00:00:00,2096.6,2160.05,2073.0,2094.6,22111
2015-05-15,00:00:00,2100.0,2150.0,2051.0,2072.6,26871
2015-05-18,00:00:00,2080.0,2114.55,2079.9,2092.35,11400
2015-05-19,00:00:00,2100.0,2124.5,2078.0,2107.1,14907
2015-05-20,00:00:00,2105.0,2124.0,2051.19,2068.69,15664
2015-05-21,00:00:00,2099.94,2099.94,2036.6,2060.19,12427
2015-05-22,00:00:00,2085.0,2110.0,2041.1,2093.5,27254
2015-05-25,00:00:00,2061.5,2100.0,2044.85,2068.75,18080
2015-05-26,00:00:00,2090.0,2096.85,2055.69,2081.05,16583
2015-05-27,00:00:00,2100.0,2100.0,2055.1,2090.9,15264
2015-05-28,00:00:00,2071.55,2100.0,2025.0,2040.2,11859
2015-05-29,00:00:00,2058.1,2157.94,2046.0,2101.1,204988
