Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,465.95,468.65,458.0,462.25,12752
2015-04-06,00:00:00,463.35,489.85,460.0,482.45,53207
2015-04-07,00:00:00,489.05,494.65,474.35,482.65,31131
2015-04-08,00:00:00,482.7,493.25,482.05,483.55,5751
2015-04-09,00:00:00,489.5,496.65,478.05,481.25,43053
2015-04-10,00:00:00,485.35,488.0,475.45,478.45,22001
2015-04-13,00:00:00,482.95,485.35,476.0,478.15,22712
2015-04-15,00:00:00,478.15,482.15,471.0,476.75,13439
2015-04-16,00:00:00,475.5,485.95,471.4,472.3,20196
2015-04-17,00:00:00,476.1,481.95,468.75,478.05,10604
2015-04-20,00:00:00,489.35,489.35,463.45,466.85,8859
2015-04-21,00:00:00,471.05,475.15,464.65,465.95,9203
2015-04-22,00:00:00,473.3,478.1,460.0,466.65,32832
2015-04-23,00:00:00,470.2,470.75,463.4,464.85,5501
2015-04-24,00:00:00,467.95,469.8,456.0,458.85,10719
2015-04-27,00:00:00,459.05,467.85,446.65,457.85,16439
2015-04-28,00:00:00,453.75,462.0,450.7,459.35,11649
2015-04-29,00:00:00,462.05,465.95,453.4,455.75,17393
2015-04-30,00:00:00,471.35,471.35,446.75,450.3,41852
2015-05-04,00:00:00,459.65,464.65,454.85,459.05,12660
2015-05-05,00:00:00,463.15,483.15,456.65,474.95,89741
2015-05-06,00:00:00,473.15,475.85,452.05,454.05,22355
2015-05-07,00:00:00,453.4,462.65,440.35,446.25,39912
2015-05-08,00:00:00,432.55,432.55,404.05,421.15,57455
2015-05-11,00:00:00,418.45,433.15,408.65,419.85,32877
2015-05-12,00:00:00,420.95,424.95,408.35,416.55,9639
2015-05-13,00:00:00,424.65,459.35,408.75,432.95,60930
2015-05-14,00:00:00,426.65,448.0,422.5,445.2,18515
2015-05-15,00:00:00,446.65,449.55,426.65,430.85,15981
2015-05-18,00:00:00,437.45,440.55,433.7,438.35,52355
2015-05-19,00:00:00,441.35,441.35,424.4,430.05,15395
2015-05-20,00:00:00,425.0,433.35,416.75,426.45,9837
2015-05-21,00:00:00,436.0,438.65,414.65,417.85,14091
2015-05-22,00:00:00,429.25,429.25,417.0,419.75,6840
2015-05-25,00:00:00,426.65,426.65,392.0,396.8,25326
2015-05-26,00:00:00,401.9,401.9,387.4,393.45,11480
2015-05-27,00:00:00,392.05,401.65,375.55,377.45,14636
2015-05-28,00:00:00,398.25,398.25,370.0,373.25,45443
2015-05-29,00:00:00,389.95,400.0,360.75,392.95,150621
2015-06-01,00:00:00,390.65,396.25,378.65,386.85,13194
2015-06-02,00:00:00,378.8,389.65,378.8,385.95,6557
2015-06-03,00:00:00,382.0,387.85,366.65,381.2,9348
2015-06-04,00:00:00,376.65,389.2,373.45,385.0,5700
2015-06-05,00:00:00,379.8,386.65,378.65,380.0,115235
2015-06-08,00:00:00,395.3,395.3,372.0,374.35,5811
2015-06-09,00:00:00,372.0,376.7,361.75,364.8,103589
2015-06-10,00:00:00,360.0,363.3,348.8,355.0,14921
2015-06-11,00:00:00,355.6,364.95,353.35,354.75,10226
2015-06-12,00:00:00,353.35,356.65,347.65,354.1,3786
2015-06-15,00:00:00,356.0,372.35,354.0,356.35,2900
2015-06-16,00:00:00,354.05,360.65,350.6,353.4,9539
2015-06-17,00:00:00,350.2,370.0,350.15,358.95,10706
2015-06-18,00:00:00,373.35,377.35,355.05,374.4,7086
