Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,23.15,23.35,22.8,23.2,649248
2015-04-06,00:00:00,23.4,25.2,23.1,24.7,1737310
2015-04-07,00:00:00,24.9,24.95,23.7,24.2,1133450
2015-04-08,00:00:00,24.35,26.0,24.05,25.3,2604378
2015-04-09,00:00:00,25.6,25.7,24.7,24.95,902307
2015-04-10,00:00:00,24.8,26.7,24.75,25.85,2699014
2015-04-13,00:00:00,25.9,25.95,25.1,25.2,1284579
2015-04-15,00:00:00,25.75,26.9,25.3,25.65,4013924
2015-04-16,00:00:00,25.8,25.95,24.65,24.95,1223297
2015-04-17,00:00:00,25.1,25.45,24.6,24.75,1002905
2015-04-20,00:00:00,24.5,24.8,23.1,23.35,1548802
2015-04-21,00:00:00,23.5,23.95,23.1,23.65,1039298
2015-04-22,00:00:00,23.8,24.0,23.05,23.7,1079893
2015-04-23,00:00:00,23.9,24.0,23.15,23.25,894072
2015-04-24,00:00:00,23.35,23.35,22.35,22.45,916176
2015-04-27,00:00:00,22.6,22.6,21.4,21.65,885931
2015-04-28,00:00:00,21.5,22.15,21.45,22.05,544091
2015-04-29,00:00:00,22.1,22.75,22.05,22.45,566321
2015-04-30,00:00:00,22.45,22.75,22.05,22.45,717876
2015-05-04,00:00:00,22.7,23.1,22.6,22.8,789788
2015-05-05,00:00:00,22.9,23.1,22.4,22.5,683821
2015-05-06,00:00:00,22.45,22.6,21.3,21.55,886733
2015-05-07,00:00:00,21.45,21.55,20.75,20.85,707560
2015-05-08,00:00:00,21.35,21.9,21.1,21.4,764381
2015-05-11,00:00:00,21.5,21.85,21.05,21.6,650066
2015-05-12,00:00:00,21.6,21.6,20.8,20.9,612922
2015-05-13,00:00:00,21.15,21.25,20.75,21.0,501697
2015-05-14,00:00:00,20.95,21.7,20.7,21.5,652683
2015-05-15,00:00:00,21.45,21.7,21.2,21.4,381731
2015-05-18,00:00:00,21.45,21.9,21.35,21.75,460741
2015-05-19,00:00:00,21.85,22.15,21.6,21.9,494462
2015-05-20,00:00:00,22.0,22.75,21.85,22.25,646117
2015-05-21,00:00:00,22.2,22.3,21.5,22.1,443693
2015-05-22,00:00:00,21.85,22.25,21.85,22.0,373524
2015-05-25,00:00:00,22.1,22.25,21.85,21.9,316669
2015-05-26,00:00:00,22.0,22.1,21.15,21.45,534579
2015-05-27,00:00:00,21.45,22.05,21.0,21.3,442872
2015-05-28,00:00:00,21.45,21.65,21.1,21.35,433307
2015-05-29,00:00:00,21.25,21.65,21.25,21.4,561135
2015-06-01,00:00:00,21.3,21.55,21.05,21.15,483781
2015-06-02,00:00:00,21.25,21.35,20.6,20.7,425774
2015-06-03,00:00:00,20.75,20.85,18.35,19.3,1334119
2015-06-04,00:00:00,19.7,20.8,19.15,20.25,1771271
2015-06-05,00:00:00,19.85,20.25,19.3,19.65,1003543
2015-06-08,00:00:00,19.75,19.8,18.8,19.25,603569
2015-06-09,00:00:00,19.15,19.55,18.8,19.1,511709
2015-06-10,00:00:00,19.2,20.45,19.1,20.2,1130640
2015-06-11,00:00:00,20.45,21.6,20.2,21.2,1399762
2015-06-12,00:00:00,21.05,23.15,20.6,22.15,1892474
2015-06-15,00:00:00,22.05,22.55,21.25,21.95,562924
2015-06-16,00:00:00,21.95,21.95,20.95,21.35,478622
2015-06-17,00:00:00,21.5,22.55,21.05,22.0,1532816
2015-06-18,00:00:00,23.15,23.15,22.1,22.25,1924762
2015-06-19,00:00:00,22.25,22.5,21.65,21.85,680197
2015-06-22,00:00:00,22.15,22.9,21.8,22.4,1276793
2015-06-23,00:00:00,22.55,22.85,22.05,22.25,967653
2015-06-24,00:00:00,22.35,22.4,21.75,21.85,503903
2015-06-25,00:00:00,21.85,22.75,21.5,22.1,720579
2015-06-26,00:00:00,22.15,22.45,21.5,21.85,1421354
2015-06-29,00:00:00,21.4,22.0,20.7,21.6,1022979
