Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,7297.35,7315.0,7200.0,7285.55,2036
2015-04-06,00:00:00,7349.9,7360.0,7214.1,7245.65,1218
2015-04-07,00:00:00,7370.0,7370.0,7200.0,7218.05,1852
2015-04-08,00:00:00,7284.9,7299.95,7151.1,7187.9,2358
2015-04-09,00:00:00,7270.0,7270.0,7103.7,7184.7,3425
2015-04-10,00:00:00,7267.95,7267.95,7104.0,7135.3,3428
2015-04-13,00:00:00,7194.0,7194.0,6825.0,6903.75,11881
2015-04-15,00:00:00,7045.0,7070.0,6666.1,6697.35,7200
2015-04-16,00:00:00,6743.0,6899.95,6380.0,6468.75,14576
2015-04-17,00:00:00,6539.95,6540.0,6156.0,6203.0,7306
2015-04-20,00:00:00,6203.0,6250.0,6010.0,6137.65,6522
2015-04-21,00:00:00,6150.0,6150.0,5905.5,5970.45,13049
2015-04-22,00:00:00,6040.0,6150.0,5782.8,5843.85,20515
2015-04-23,00:00:00,5939.9,6170.0,5860.0,6048.45,20170
2015-04-24,00:00:00,6066.0,6124.95,5914.05,6044.65,3139
2015-04-27,00:00:00,6111.6,6111.7,5700.1,5768.55,3205
2015-04-28,00:00:00,5835.0,5925.1,5760.05,5806.8,6572
2015-04-29,00:00:00,5944.95,5944.95,5580.0,5606.8,16441
2015-04-30,00:00:00,5650.0,5800.0,5601.15,5756.9,8578
2015-05-04,00:00:00,5810.1,5977.95,5785.0,5885.45,17462
2015-05-05,00:00:00,5935.0,5975.0,5825.0,5847.25,5552
2015-05-06,00:00:00,5779.85,5935.8,5700.1,5861.9,29097
2015-05-07,00:00:00,5900.0,5900.0,5510.0,5543.2,4254
2015-05-08,00:00:00,5800.0,5899.9,5652.0,5788.95,21405
2015-05-11,00:00:00,5850.0,6590.0,5800.0,6312.45,52150
2015-05-12,00:00:00,6387.45,6450.0,6156.0,6324.65,6546
2015-05-13,00:00:00,6335.0,6600.0,6335.0,6394.35,11118
2015-05-14,00:00:00,6499.95,6779.75,6419.95,6730.05,12709
2015-05-15,00:00:00,6759.9,6977.0,6740.0,6903.05,8236
2015-05-18,00:00:00,6930.0,7023.15,6699.35,6771.4,7553
2015-05-19,00:00:00,6780.0,6815.0,6675.5,6691.0,2938
2015-05-20,00:00:00,6710.0,6870.0,6575.0,6592.1,4593
2015-05-21,00:00:00,6525.05,6730.7,6525.05,6579.25,4373
2015-05-22,00:00:00,6679.9,6945.0,6601.35,6807.75,6774
2015-05-25,00:00:00,6807.7,6817.95,6602.6,6683.6,4388
2015-05-26,00:00:00,6749.95,6749.95,6320.0,6356.55,10908
2015-05-27,00:00:00,6356.55,6356.55,6200.0,6209.0,3332
2015-05-28,00:00:00,6280.0,6379.95,6112.0,6140.7,9272
2015-05-29,00:00:00,6210.95,6490.0,6122.0,6332.8,58845
2015-06-01,00:00:00,6319.8,6391.95,6099.0,6139.3,5535
2015-06-02,00:00:00,6142.0,6176.55,6051.0,6088.95,11346
2015-06-03,00:00:00,6051.9,6145.05,5900.0,5929.8,5069
2015-06-04,00:00:00,5949.95,5950.0,5852.65,5897.7,4067
2015-06-05,00:00:00,5892.1,6080.0,5840.0,5897.4,4682
2015-06-08,00:00:00,5897.05,6039.7,5821.8,5993.8,7590
2015-06-09,00:00:00,5980.0,6084.0,5950.0,6066.15,4284
2015-06-10,00:00:00,6059.7,6184.7,5966.0,6091.95,5993
2015-06-11,00:00:00,6178.9,6189.85,6015.05,6067.4,5561
2015-06-12,00:00:00,6011.0,6097.9,5963.5,6035.35,1561
2015-06-15,00:00:00,6001.55,6087.95,5881.2,5917.75,3643
2015-06-16,00:00:00,5920.0,5929.25,5777.0,5828.9,2645
2015-06-17,00:00:00,5899.95,5949.0,5710.0,5741.95,9308
2015-06-18,00:00:00,5798.95,6800.0,5725.05,5880.15,15338
2015-06-19,00:00:00,5900.0,6108.95,5900.0,5985.85,39823
2015-06-22,00:00:00,5990.1,6219.0,5973.0,6074.85,26126
2015-06-23,00:00:00,6114.0,6146.15,6020.05,6073.75,5914
2015-06-24,00:00:00,6100.1,6100.1,5865.0,5966.55,5087
2015-06-25,00:00:00,6050.0,6149.75,5949.95,6089.45,10874
2015-06-26,00:00:00,6011.0,6122.0,6011.0,6100.45,10238
2015-06-29,00:00:00,6089.65,6149.0,5826.0,6056.2,15043
2015-06-30,00:00:00,6056.0,6298.0,6013.1,6187.9,6918
2015-07-01,00:00:00,6200.1,6356.0,6200.0,6330.9,5899
2015-07-02,00:00:00,6309.0,6479.95,6309.0,6423.55,6166
2015-07-03,00:00:00,6430.0,6490.0,6276.6,6291.65,2192
2015-07-06,00:00:00,6250.0,6389.75,6169.8,6266.25,2101
2015-07-07,00:00:00,6285.0,6315.25,6161.0,6185.0,2700
2015-07-08,00:00:00,6188.8,6260.0,6105.0,6215.7,27246
2015-07-09,00:00:00,6266.1,6266.1,6111.25,6138.7,1776
2015-07-10,00:00:00,6218.15,6218.15,6110.0,6153.3,1232
2015-07-13,00:00:00,6222.65,6267.0,6139.2,6229.3,1857
2015-07-14,00:00:00,6245.0,6322.75,6187.0,6268.05,7223
2015-07-15,00:00:00,6335.95,6360.0,6276.5,6293.45,23086
2015-07-16,00:00:00,6359.95,6360.0,6270.0,6278.2,1089
2015-07-17,00:00:00,6215.05,6339.95,6175.0,6212.8,1895
2015-07-20,00:00:00,6212.05,6430.0,6212.0,6426.3,4818
2015-07-21,00:00:00,6426.0,6470.0,6380.0,6431.65,2569
2015-07-22,00:00:00,6431.05,6574.5,6365.4,6525.65,4303
2015-07-23,00:00:00,6574.95,6657.0,6490.0,6519.4,3237
2015-07-24,00:00:00,6463.15,6569.95,6414.7,6490.45,5826
2015-07-27,00:00:00,6524.0,6524.0,6315.0,6453.25,3723
2015-07-28,00:00:00,6401.0,6540.0,6370.05,6477.8,4060
2015-07-29,00:00:00,6499.0,6588.95,6465.05,6543.25,2268
2015-07-30,00:00:00,6670.0,7059.95,6670.0,6878.3,24972
2015-07-31,00:00:00,6880.0,6999.0,6859.95,6942.1,16265
2015-08-03,00:00:00,6968.95,6969.0,6825.0,6919.2,12680
2015-08-04,00:00:00,6847.2,7315.0,6847.15,7129.05,28754
2015-08-05,00:00:00,6831.0,7479.4,6831.0,7433.45,14140
2015-08-06,00:00:00,7474.0,7682.0,7229.95,7307.85,7050
2015-08-07,00:00:00,7307.05,7388.95,7166.45,7190.5,2100
2015-08-10,00:00:00,7250.0,7270.0,7081.95,7143.05,1976
2015-08-11,00:00:00,7150.0,7319.85,7051.0,7105.1,3490
2015-08-12,00:00:00,7137.95,7140.0,7005.05,7022.3,1479
2015-08-13,00:00:00,7150.0,7189.95,6900.0,7092.15,2950
2015-08-14,00:00:00,7014.9,7250.0,7011.0,7180.25,2672
2015-08-17,00:00:00,7108.0,7203.0,7108.0,7183.35,2602
2015-08-18,00:00:00,7185.05,7283.0,7000.0,7184.8,4236
2015-08-19,00:00:00,7299.0,7455.0,7175.1,7381.85,4200
2015-08-20,00:00:00,7254.6,7429.1,7254.6,7321.6,2507
2015-08-21,00:00:00,7310.0,7310.0,7150.0,7181.65,3761
2015-08-24,00:00:00,7165.0,7165.0,6250.0,6661.25,4026
2015-08-25,00:00:00,6610.0,6965.35,6115.0,6552.55,7886
2015-08-26,00:00:00,6599.95,6676.85,6500.0,6564.75,2100
2015-08-27,00:00:00,6699.85,6827.35,6619.0,6785.4,2355
2015-08-28,00:00:00,6792.05,7049.0,6787.0,6982.6,3727
2015-08-31,00:00:00,6959.0,7000.0,6737.7,6826.75,24895
2015-09-01,00:00:00,6942.65,7140.0,6751.0,6912.25,8012
2015-09-02,00:00:00,6855.15,7275.05,6855.15,7195.95,19916
2015-09-03,00:00:00,7249.95,7291.85,7085.2,7163.2,3459
2015-09-04,00:00:00,7140.0,7250.0,7113.2,7146.05,4757
2015-09-07,00:00:00,7215.0,7215.0,6835.15,7104.85,5691
2015-09-08,00:00:00,7185.0,7185.0,6858.15,6932.05,4707
2015-09-09,00:00:00,7075.0,7140.0,6979.75,7093.5,8450
2015-09-10,00:00:00,7088.0,7100.0,7000.0,7063.8,7913
2015-09-11,00:00:00,7133.0,7135.0,6953.0,6985.1,2794
2015-09-14,00:00:00,7000.0,7005.0,6914.85,6981.0,2590
2015-09-15,00:00:00,6981.05,7000.0,6900.0,6940.6,1760
2015-09-16,00:00:00,6941.0,7000.0,6801.2,6838.2,2491
2015-09-18,00:00:00,6880.0,7700.05,6865.75,7073.8,104264
2015-09-21,00:00:00,6995.8,7113.0,6931.0,7073.35,5315
2015-09-22,00:00:00,7100.0,7149.9,7000.05,7104.15,3121
2015-09-23,00:00:00,7128.0,7164.95,7010.05,7097.3,2704
2015-09-24,00:00:00,7120.0,7159.95,7012.1,7114.1,1644
2015-09-28,00:00:00,7150.0,7299.0,7114.0,7190.3,15372
2015-09-29,00:00:00,7140.0,7354.0,7091.05,7250.85,2186
2015-09-30,00:00:00,7311.9,7525.0,7126.45,7490.6,7531
2015-10-01,00:00:00,7530.0,7530.0,7308.0,7347.65,3146
2015-10-05,00:00:00,7514.95,7514.95,7265.25,7337.95,3176
2015-10-06,00:00:00,7399.0,7493.0,7225.0,7437.9,7199
2015-10-07,00:00:00,7500.0,7579.95,7336.0,7376.0,4503
2015-10-08,00:00:00,7424.95,7520.0,7252.05,7499.3,3287
2015-10-09,00:00:00,7530.0,7579.9,7430.0,7480.05,4513
2015-10-12,00:00:00,7549.9,7549.9,7452.1,7481.9,1491
2015-10-13,00:00:00,7549.7,7549.7,7430.0,7444.3,1254
2015-10-14,00:00:00,7475.05,7478.0,7300.1,7359.7,1421
2015-10-15,00:00:00,7399.9,7425.05,7360.45,7419.45,11831
2015-10-16,00:00:00,7326.5,7598.0,7323.05,7353.1,5337
2015-10-19,00:00:00,7439.2,7550.0,7340.0,7538.15,2191
2015-10-20,00:00:00,7539.95,7695.0,7511.0,7559.45,6796
2015-10-21,00:00:00,7600.2,7668.5,7537.7,7577.65,4093
2015-10-23,00:00:00,7801.0,7850.0,7601.0,7636.65,19116
2015-10-26,00:00:00,7709.95,7739.8,7600.0,7692.9,5203
2015-10-27,00:00:00,7734.85,7750.0,7655.0,7680.25,6832
2015-10-28,00:00:00,7661.6,7675.0,7602.05,7641.75,2981
2015-10-29,00:00:00,7641.0,7800.0,7550.0,7625.1,7439
2015-10-30,00:00:00,7689.95,7750.0,7581.55,7608.1,9402
2015-11-02,00:00:00,7652.15,7700.05,7560.25,7675.25,9252
2015-11-03,00:00:00,7675.0,7679.85,7560.0,7597.0,42320
