Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,174.05,175.8,168.65,171.2,56813
2015-04-06,00:00:00,171.2,175.4,171.2,171.95,28323
2015-04-07,00:00:00,172.25,173.95,166.65,169.85,63916
2015-04-08,00:00:00,172.9,177.3,172.25,172.9,39088
2015-04-09,00:00:00,172.75,174.85,172.1,172.9,532753
2015-04-10,00:00:00,172.05,175.85,171.0,172.55,69789
2015-04-13,00:00:00,173.75,174.2,169.35,170.15,58190
2015-04-15,00:00:00,170.3,173.45,170.3,171.5,28037
2015-04-16,00:00:00,171.15,174.3,169.1,170.0,82367
2015-04-17,00:00:00,172.0,173.45,169.5,171.95,37897
2015-04-20,00:00:00,171.95,173.8,167.65,168.6,30715
2015-04-21,00:00:00,170.9,172.0,165.1,167.15,87740
2015-04-22,00:00:00,167.9,169.45,163.0,164.3,211489
2015-04-23,00:00:00,165.6,169.8,164.75,167.85,34059
2015-04-24,00:00:00,168.5,169.0,158.19,160.69,29383
2015-04-27,00:00:00,163.0,164.0,155.1,159.85,47696
2015-04-28,00:00:00,159.9,161.6,156.1,160.0,1118752
2015-04-29,00:00:00,161.15,169.65,160.25,163.55,1102378
2015-04-30,00:00:00,167.45,172.0,162.8,163.44,92106
2015-05-04,00:00:00,164.95,171.65,164.3,169.75,62602
2015-05-05,00:00:00,169.75,169.75,164.8,165.5,25019
2015-05-06,00:00:00,165.6,167.05,158.69,160.15,22529
2015-05-07,00:00:00,160.19,164.4,155.0,156.69,127621
2015-05-08,00:00:00,159.9,163.69,158.94,159.5,40507
2015-05-11,00:00:00,160.19,166.45,160.19,163.8,47291
2015-05-12,00:00:00,164.7,164.7,160.65,162.35,22433
2015-05-13,00:00:00,162.6,163.35,160.0,160.94,29422
2015-05-14,00:00:00,161.3,162.55,157.3,159.25,41017
2015-05-15,00:00:00,161.94,166.0,159.65,161.94,41538
2015-05-18,00:00:00,160.05,165.9,160.05,163.6,17253
2015-05-19,00:00:00,164.0,164.0,161.19,163.0,10858
2015-05-20,00:00:00,163.0,164.0,158.4,159.6,43948
2015-05-21,00:00:00,161.85,161.85,158.0,158.5,24486
2015-05-22,00:00:00,157.19,159.8,156.55,158.25,36993
2015-05-25,00:00:00,160.1,161.0,157.4,158.85,23700
2015-05-26,00:00:00,161.0,161.0,156.69,157.15,20669
2015-05-27,00:00:00,156.9,160.44,156.05,159.05,20795
2015-05-28,00:00:00,158.0,160.5,156.0,157.35,13733
2015-05-29,00:00:00,158.05,163.0,157.25,162.1,31718
2015-06-01,00:00:00,164.95,165.85,162.15,162.65,29713
2015-06-02,00:00:00,162.94,163.75,157.3,158.4,24612
2015-06-03,00:00:00,158.8,160.5,152.3,155.69,79380
2015-06-04,00:00:00,158.0,160.3,153.1,157.0,36900
2015-06-05,00:00:00,159.94,161.05,155.3,156.65,109802
2015-06-08,00:00:00,159.35,159.35,148.1,152.55,117044
2015-06-09,00:00:00,153.8,155.0,150.6,151.6,37663
2015-06-10,00:00:00,153.9,165.0,148.1,160.25,325448
2015-06-11,00:00:00,161.9,161.9,152.19,152.75,69065
2015-06-12,00:00:00,152.8,160.75,152.19,152.8,71661
2015-06-15,00:00:00,154.44,155.0,152.15,152.6,27035
2015-06-16,00:00:00,152.8,153.0,147.25,148.9,96629
2015-06-17,00:00:00,150.0,150.3,145.5,146.8,110210
2015-06-18,00:00:00,147.8,149.9,145.75,147.0,175066
2015-06-19,00:00:00,148.1,148.1,144.05,144.9,47350
2015-06-22,00:00:00,145.15,146.55,142.75,144.65,84808
2015-06-23,00:00:00,145.8,147.0,143.5,143.9,226579
2015-06-24,00:00:00,145.1,145.8,143.0,143.55,44976
2015-06-25,00:00:00,143.25,143.94,141.1,141.94,133075
2015-06-26,00:00:00,142.65,149.69,142.05,143.1,1075109
2015-06-29,00:00:00,143.1,143.1,139.0,140.3,53629
2015-06-30,00:00:00,140.8,142.05,139.9,140.94,34111
2015-07-01,00:00:00,141.19,146.0,139.6,143.75,111161
2015-07-02,00:00:00,144.85,147.44,142.55,143.4,131968
2015-07-03,00:00:00,144.85,151.25,143.5,145.1,177281
2015-07-06,00:00:00,145.0,151.0,142.1,149.75,178864
2015-07-07,00:00:00,151.94,153.69,148.55,150.15,195362
2015-07-08,00:00:00,149.8,150.1,148.0,148.44,42986
2015-07-09,00:00:00,149.85,150.35,146.0,146.75,44768
2015-07-10,00:00:00,147.15,149.9,143.5,144.85,69264
2015-07-13,00:00:00,145.15,147.5,144.65,146.55,68027
2015-07-14,00:00:00,146.55,152.69,144.94,149.44,865235
2015-07-15,00:00:00,151.0,152.94,148.0,148.4,228885
2015-07-16,00:00:00,148.69,159.0,148.4,157.94,659110
2015-07-17,00:00:00,158.65,161.0,152.0,152.8,197787
2015-07-20,00:00:00,154.94,155.1,149.5,153.15,188420
2015-07-21,00:00:00,158.69,159.5,151.55,151.85,278018
2015-07-22,00:00:00,151.69,154.44,151.55,153.75,110859
2015-07-23,00:00:00,154.94,155.0,152.5,153.9,332533
2015-07-24,00:00:00,154.69,155.5,150.44,151.05,132719
2015-07-27,00:00:00,151.19,151.19,146.4,147.05,101534
2015-07-28,00:00:00,147.19,148.4,143.19,144.75,47074
2015-07-29,00:00:00,145.05,146.3,142.55,143.15,48297
2015-07-30,00:00:00,145.85,150.0,143.0,149.15,108771
2015-07-31,00:00:00,152.0,152.0,147.0,148.19,79448
