Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,494.65,520.3,491.55,511.15,1571557
2015-04-06,00:00:00,515.2,519.6,506.8,511.25,827167
2015-04-07,00:00:00,515.05,515.05,497.95,499.85,1004207
2015-04-08,00:00:00,503.55,507.85,492.95,497.1,997749
2015-04-09,00:00:00,500.95,527.0,498.3,518.25,1883540
2015-04-10,00:00:00,525.9,534.6,513.55,517.45,1619629
2015-04-13,00:00:00,519.55,522.2,513.45,517.65,676375
2015-04-15,00:00:00,519.7,528.6,507.9,511.1,1219151
2015-04-16,00:00:00,511.65,516.15,492.3,508.25,1033203
2015-04-17,00:00:00,506.75,510.5,490.95,494.5,689030
2015-04-20,00:00:00,496.3,497.3,465.55,478.0,1555740
2015-04-21,00:00:00,476.9,500.05,476.25,490.5,1695602
2015-04-22,00:00:00,498.3,507.45,490.5,500.2,1763274
2015-04-23,00:00:00,503.1,506.5,496.05,499.05,1002426
2015-04-24,00:00:00,500.95,505.4,466.3,494.1,2801397
2015-04-27,00:00:00,498.85,507.55,476.9,496.8,3112331
2015-04-28,00:00:00,498.3,515.15,494.8,511.8,1284479
2015-04-29,00:00:00,512.25,529.5,512.25,525.85,2060128
2015-04-30,00:00:00,528.6,533.95,521.45,529.15,2204002
2015-05-04,00:00:00,530.0,535.9,518.3,523.8,818053
2015-05-05,00:00:00,524.95,532.15,520.55,524.75,606391
2015-05-06,00:00:00,516.0,516.0,491.25,498.0,1131688
2015-05-07,00:00:00,494.65,494.65,460.85,482.95,2146621
2015-05-08,00:00:00,486.7,504.8,484.3,498.65,696021
2015-05-11,00:00:00,500.0,508.1,491.35,495.8,517986
2015-05-12,00:00:00,497.4,497.4,474.55,489.8,1421985
2015-05-13,00:00:00,495.35,510.5,492.95,503.3,977896
2015-05-14,00:00:00,504.9,504.9,494.2,499.6,484465
2015-05-15,00:00:00,502.25,504.9,494.7,497.5,1167478
2015-05-18,00:00:00,494.7,505.35,494.45,502.8,591118
2015-05-19,00:00:00,504.3,509.85,494.75,503.65,713002
2015-05-20,00:00:00,505.75,517.75,503.75,511.4,887819
2015-05-21,00:00:00,512.0,521.9,505.3,517.25,1543119
2015-05-22,00:00:00,516.9,535.8,516.1,529.8,1896644
2015-05-25,00:00:00,530.35,534.85,524.3,528.5,1082251
2015-05-26,00:00:00,528.5,535.7,527.7,529.05,1038609
2015-05-27,00:00:00,527.6,530.8,520.55,526.7,1003136
2015-05-28,00:00:00,522.55,531.5,522.55,528.65,1692479
2015-05-29,00:00:00,530.95,541.85,525.1,531.2,1959884
2015-06-01,00:00:00,530.8,545.45,527.9,542.95,1475871
2015-06-02,00:00:00,546.35,548.05,526.15,531.9,2753333
2015-06-03,00:00:00,530.35,540.9,482.7,531.05,1880139
2015-06-04,00:00:00,537.5,539.25,519.8,525.05,909410
2015-06-05,00:00:00,519.7,529.5,519.65,521.65,587693
2015-06-08,00:00:00,523.85,528.35,518.8,524.45,538908
2015-06-09,00:00:00,521.45,524.35,506.5,510.75,596975
2015-06-10,00:00:00,510.7,522.8,506.4,516.05,564268
2015-06-11,00:00:00,519.25,532.6,513.65,516.45,1221459
2015-06-12,00:00:00,518.05,523.35,511.9,514.85,882161
2015-06-15,00:00:00,515.15,523.15,490.55,495.9,609452
2015-06-16,00:00:00,488.55,499.6,484.25,496.35,1136461
2015-06-17,00:00:00,509.2,522.35,506.25,517.5,1284994
2015-06-18,00:00:00,523.5,534.85,523.15,531.6,1633916
2015-06-19,00:00:00,532.25,540.6,526.25,532.85,1269417
2015-06-22,00:00:00,533.5,546.35,533.05,541.4,1804567
2015-06-23,00:00:00,543.55,546.6,529.55,534.7,1170927
2015-06-24,00:00:00,535.7,542.5,530.35,534.25,1447109
2015-06-25,00:00:00,532.15,547.3,530.35,541.55,2153037
2015-06-26,00:00:00,541.05,559.8,531.3,549.45,3479603
2015-06-29,00:00:00,534.85,548.0,509.95,544.1,975352
2015-06-30,00:00:00,544.1,557.45,540.85,554.85,1508761
2015-07-01,00:00:00,557.05,569.4,553.45,561.75,1214231
2015-07-02,00:00:00,565.15,601.3,562.95,594.8,3549876
2015-07-03,00:00:00,597.1,598.9,578.5,583.4,1117387
2015-07-06,00:00:00,574.85,595.45,572.35,591.0,949117
2015-07-07,00:00:00,592.75,593.75,579.5,583.2,1097735
2015-07-08,00:00:00,570.85,582.95,558.9,563.4,1218583
2015-07-09,00:00:00,558.0,566.0,549.8,553.4,1231402
2015-07-10,00:00:00,555.35,570.5,555.35,563.15,1380018
2015-07-13,00:00:00,564.25,571.7,561.8,564.25,1503119
2015-07-14,00:00:00,569.6,579.4,566.8,569.9,1784508
2015-07-15,00:00:00,570.95,574.4,558.9,565.25,923443
2015-07-16,00:00:00,568.7,588.15,564.3,585.25,1364950
2015-07-17,00:00:00,585.65,601.7,579.4,596.15,1097214
2015-07-20,00:00:00,599.45,607.9,594.55,605.25,876640
2015-07-21,00:00:00,606.65,608.1,586.1,592.75,1948958
2015-07-22,00:00:00,599.9,641.8,595.6,636.05,2150451
2015-07-23,00:00:00,638.95,645.2,624.2,639.15,2063329
2015-07-24,00:00:00,632.95,658.55,624.85,648.95,2232892
