Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,69.0,70.34,68.3,68.95,160576
2015-04-06,00:00:00,68.95,72.7,68.95,71.8,329565
2015-04-07,00:00:00,72.84,74.09,71.7,73.15,372742
2015-04-08,00:00:00,73.25,75.0,72.95,73.7,241747
2015-04-09,00:00:00,74.0,77.7,72.84,75.75,435643
2015-04-10,00:00:00,75.8,77.9,75.8,76.3,187781
2015-04-13,00:00:00,76.3,79.0,76.3,77.05,236488
2015-04-15,00:00:00,77.45,78.25,73.8,74.65,220719
2015-04-16,00:00:00,74.75,75.4,72.59,73.55,168813
2015-04-17,00:00:00,73.59,78.25,73.25,77.3,500188
2015-04-20,00:00:00,77.9,85.7,77.3,79.59,1723700
2015-04-21,00:00:00,80.0,82.45,78.59,81.59,688950
2015-04-22,00:00:00,81.95,84.5,81.55,83.65,873019
2015-04-23,00:00:00,84.0,93.5,83.65,91.35,2390527
2015-04-24,00:00:00,91.35,91.35,86.0,86.65,851655
2015-04-27,00:00:00,86.5,87.5,80.95,81.65,338964
2015-04-28,00:00:00,81.65,84.55,80.09,83.55,270083
2015-04-29,00:00:00,82.1,89.5,82.1,86.15,399911
2015-04-30,00:00:00,86.0,92.0,85.5,91.3,758386
2015-05-04,00:00:00,93.9,94.5,91.5,92.55,411377
2015-05-05,00:00:00,92.75,92.95,90.0,90.75,187673
2015-05-06,00:00:00,90.7,90.7,85.25,86.7,242075
2015-05-07,00:00:00,86.0,86.8,82.7,84.05,191839
2015-05-08,00:00:00,85.0,92.4,84.95,91.25,444640
2015-05-11,00:00:00,92.0,93.0,89.15,90.3,254688
2015-05-12,00:00:00,90.0,91.05,87.15,87.5,405889
2015-05-13,00:00:00,89.0,92.0,88.0,90.65,365101
2015-05-14,00:00:00,90.4,93.9,90.4,93.05,477500
2015-05-15,00:00:00,93.5,94.5,90.0,90.35,142567
2015-05-18,00:00:00,91.0,92.9,90.4,91.35,165683
2015-05-19,00:00:00,91.95,92.4,90.2,90.7,105479
2015-05-20,00:00:00,91.5,93.9,89.7,90.35,335449
2015-05-21,00:00:00,91.0,91.6,88.9,89.6,162708
2015-05-22,00:00:00,89.5,91.9,88.65,90.6,347434
2015-05-25,00:00:00,92.4,108.7,92.1,108.65,7569571
2015-05-26,00:00:00,109.0,123.8,105.3,118.5,10861932
2015-05-27,00:00:00,116.6,118.0,110.8,111.25,2070813
2015-05-28,00:00:00,111.2,115.4,108.3,109.9,1228471
2015-05-29,00:00:00,112.0,118.5,111.85,117.35,1955717
2015-06-01,00:00:00,115.1,116.85,111.15,111.85,683275
2015-06-02,00:00:00,112.85,115.3,108.1,108.7,988410
2015-06-03,00:00:00,108.6,109.9,100.9,104.3,840665
2015-06-04,00:00:00,104.55,106.95,101.5,103.8,595497
2015-06-05,00:00:00,103.0,108.75,102.35,106.0,639554
2015-06-08,00:00:00,106.0,112.0,106.0,106.9,671102
2015-06-09,00:00:00,107.45,108.8,103.05,104.25,330687
2015-06-10,00:00:00,104.25,125.1,104.25,125.1,2485629
2015-06-11,00:00:00,131.0,141.94,131.0,133.1,7377912
2015-06-12,00:00:00,132.4,141.4,127.7,134.15,3980321
2015-06-15,00:00:00,135.25,141.75,134.19,135.35,2699669
2015-06-16,00:00:00,136.25,142.15,135.05,139.94,1889073
2015-06-17,00:00:00,141.3,148.5,138.65,143.8,3404410
2015-06-18,00:00:00,144.0,158.8,144.0,151.65,6196947
2015-06-19,00:00:00,153.0,157.9,151.19,153.5,2035005
2015-06-22,00:00:00,154.94,162.5,148.35,157.44,3436975
2015-06-23,00:00:00,158.5,180.5,155.05,175.15,6699178
2015-06-24,00:00:00,176.0,187.85,175.5,179.15,6749860
2015-06-25,00:00:00,177.9,178.7,171.65,175.65,1805067
2015-06-26,00:00:00,174.5,177.2,164.3,166.05,1562156
2015-06-29,00:00:00,158.3,170.75,152.19,168.6,3505031
2015-06-30,00:00:00,169.8,173.8,169.0,170.4,1526516
2015-07-01,00:00:00,170.0,171.75,162.5,163.44,1064762
2015-07-02,00:00:00,164.3,172.25,164.0,166.7,1434728
2015-07-03,00:00:00,168.0,171.85,165.05,165.6,1250216
2015-07-06,00:00:00,163.5,172.4,160.6,168.3,1723411
2015-07-07,00:00:00,170.4,185.1,169.05,182.4,5669778
2015-07-08,00:00:00,184.0,192.4,176.75,178.05,5438542
2015-07-09,00:00:00,178.85,181.9,169.25,170.95,1864777
2015-07-10,00:00:00,171.9,181.4,171.15,178.75,2286472
2015-07-13,00:00:00,180.15,183.9,178.8,181.0,1953675
2015-07-14,00:00:00,181.7,181.75,176.1,178.15,1281663
2015-07-15,00:00:00,178.95,179.05,173.5,175.3,912018
2015-07-16,00:00:00,175.0,182.7,171.6,181.25,1994125
2015-07-17,00:00:00,182.5,185.6,180.5,182.0,1281361
2015-07-20,00:00:00,182.8,191.0,180.5,189.0,1995555
2015-07-21,00:00:00,190.0,192.4,182.2,184.0,1198395
2015-07-22,00:00:00,183.0,188.9,180.0,187.7,1216193
2015-07-23,00:00:00,187.7,189.25,179.25,180.2,689680
2015-07-24,00:00:00,180.6,183.7,177.7,179.55,612984
2015-07-27,00:00:00,178.8,178.8,170.0,172.7,520186
2015-07-28,00:00:00,173.55,177.15,172.0,174.85,496884
2015-07-29,00:00:00,175.75,192.3,172.0,191.7,2973375
2015-07-30,00:00:00,193.8,210.0,191.2,206.95,4226623
2015-07-31,00:00:00,204.9,204.9,189.7,191.9,1470718
2015-08-03,00:00:00,192.2,196.95,180.05,181.15,1566408
2015-08-04,00:00:00,181.7,189.0,181.65,186.15,1481717
2015-08-05,00:00:00,186.3,187.75,177.65,179.2,1010311
2015-08-06,00:00:00,179.8,182.5,174.05,175.5,1400931
2015-08-07,00:00:00,176.25,182.8,172.4,178.65,2451238
2015-08-10,00:00:00,179.6,212.95,174.1,205.1,18405715
2015-08-11,00:00:00,209.0,245.0,209.0,241.4,20864330
2015-08-12,00:00:00,245.0,261.6,229.15,233.3,13422543
2015-08-13,00:00:00,235.9,254.95,229.55,244.55,8631484
2015-08-14,00:00:00,247.0,252.0,235.3,240.25,3757139
2015-08-17,00:00:00,241.0,249.6,235.5,241.45,3083432
2015-08-18,00:00:00,241.7,247.9,238.05,241.25,2725214
2015-08-19,00:00:00,239.0,245.5,238.15,239.65,1519025
2015-08-20,00:00:00,238.9,264.89,238.6,254.1,11191806
2015-08-21,00:00:00,246.9,258.3,241.4,253.35,4135665
2015-08-24,00:00:00,241.0,247.0,212.55,217.85,3749420
2015-08-25,00:00:00,223.0,230.0,197.3,224.45,3899778
2015-08-26,00:00:00,225.2,235.0,218.0,224.5,2991409
2015-08-27,00:00:00,229.9,239.75,229.9,233.35,2032374
2015-08-28,00:00:00,239.0,241.8,230.15,233.6,1844707
2015-08-31,00:00:00,233.65,236.8,227.15,230.9,1544005
2015-09-01,00:00:00,227.9,232.7,215.0,219.9,1566104
2015-09-02,00:00:00,224.0,232.4,220.9,227.2,1727948
2015-09-03,00:00:00,230.55,233.4,228.0,229.1,1155399
2015-09-04,00:00:00,227.9,227.9,214.85,217.6,1182139
2015-09-07,00:00:00,219.0,220.85,199.0,200.7,1347924
2015-09-08,00:00:00,202.8,203.7,185.0,199.65,2419783
