Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,135.45,139.85,134.35,136.75,439975
2015-04-06,00:00:00,137.35,143.0,136.95,140.45,550787
2015-04-07,00:00:00,140.8,140.8,135.75,136.7,336375
2015-04-08,00:00:00,137.9,139.45,132.0,133.55,213253
2015-04-09,00:00:00,134.9,135.25,130.35,130.9,226415
2015-04-10,00:00:00,131.0,139.3,131.0,136.25,984389
2015-04-13,00:00:00,137.35,142.55,136.5,139.9,615178
2015-04-15,00:00:00,138.9,142.4,135.3,136.35,242901
2015-04-16,00:00:00,136.55,140.2,133.65,134.0,261564
2015-04-17,00:00:00,134.4,136.2,130.25,131.75,269890
2015-04-20,00:00:00,132.4,133.5,127.1,128.95,823192
2015-04-21,00:00:00,129.35,131.2,126.4,127.4,212539
2015-04-22,00:00:00,128.2,129.85,125.35,128.5,268315
2015-04-23,00:00:00,130.05,130.05,126.5,127.05,106954
2015-04-24,00:00:00,127.05,127.45,118.55,121.05,289299
2015-04-27,00:00:00,120.45,121.8,113.05,115.7,579160
2015-04-28,00:00:00,114.75,117.1,110.85,115.4,224506
2015-04-29,00:00:00,115.6,118.7,113.8,117.5,258615
2015-04-30,00:00:00,116.2,118.5,112.6,114.3,237776
2015-05-04,00:00:00,115.7,119.2,114.4,115.8,198126
2015-05-05,00:00:00,117.55,121.65,115.75,117.2,378007
2015-05-06,00:00:00,117.15,117.95,110.3,112.1,227968
2015-05-07,00:00:00,112.6,112.6,103.05,105.3,450556
2015-05-08,00:00:00,108.85,113.5,107.8,112.75,441780
2015-05-11,00:00:00,113.95,114.8,111.75,112.35,116414
2015-05-12,00:00:00,113.25,113.25,107.15,107.35,117565
2015-05-13,00:00:00,108.3,111.55,107.7,110.05,189398
2015-05-14,00:00:00,111.45,113.5,108.95,112.25,147641
2015-05-15,00:00:00,113.45,114.75,111.15,113.0,206719
2015-05-18,00:00:00,113.05,117.1,111.8,116.4,147358
2015-05-19,00:00:00,116.75,117.85,114.85,115.75,74111
2015-05-20,00:00:00,116.6,118.4,116.05,116.75,74044
2015-05-21,00:00:00,117.15,118.0,115.8,117.55,44655
2015-05-22,00:00:00,117.55,123.4,117.5,121.5,241699
2015-05-25,00:00:00,125.3,125.7,120.95,121.9,375150
2015-05-26,00:00:00,124.3,124.3,120.0,120.65,181844
2015-05-27,00:00:00,119.85,119.85,116.75,117.6,96660
2015-05-28,00:00:00,117.3,118.65,111.45,116.05,238134
2015-05-29,00:00:00,116.2,119.55,114.5,116.85,743032
2015-06-01,00:00:00,115.8,116.75,113.5,113.7,86715
2015-06-02,00:00:00,111.85,115.15,110.8,111.45,115151
2015-06-03,00:00:00,111.5,111.6,106.35,107.25,234948
2015-06-04,00:00:00,108.05,108.6,106.0,107.7,115714
2015-06-05,00:00:00,107.3,111.65,105.35,107.95,585985
2015-06-08,00:00:00,109.8,109.8,104.75,105.65,93874
2015-06-09,00:00:00,107.15,107.8,103.95,104.55,159123
2015-06-10,00:00:00,104.9,108.8,103.6,107.05,361857
2015-06-11,00:00:00,108.05,108.7,101.05,103.5,414650
2015-06-12,00:00:00,103.95,103.95,99.9,101.0,100404
2015-06-15,00:00:00,100.8,104.4,100.4,102.95,53061
2015-06-16,00:00:00,102.6,102.9,100.35,102.05,87900
2015-06-17,00:00:00,102.95,109.25,101.9,107.8,239623
2015-06-18,00:00:00,108.2,111.9,106.85,111.2,250569
2015-06-19,00:00:00,111.1,112.75,107.3,108.1,95915
2015-06-22,00:00:00,108.05,112.6,108.05,112.1,270841
2015-06-23,00:00:00,112.15,112.95,110.35,111.2,73600
2015-06-24,00:00:00,110.75,115.15,110.05,111.75,163444
2015-06-25,00:00:00,111.65,113.1,108.1,108.8,138791
2015-06-26,00:00:00,109.15,113.75,109.0,111.3,129084
2015-06-29,00:00:00,106.4,112.45,103.85,111.3,212278
2015-06-30,00:00:00,111.3,113.5,110.35,113.1,98902
2015-07-01,00:00:00,113.1,117.6,112.7,116.0,154810
2015-07-02,00:00:00,116.05,118.65,115.8,116.8,102483
2015-07-03,00:00:00,116.4,121.15,115.9,116.95,207654
2015-07-06,00:00:00,111.35,117.6,111.35,116.85,77726
2015-07-07,00:00:00,116.35,119.8,115.9,117.05,78368
2015-07-08,00:00:00,116.2,119.85,113.55,114.1,141701
2015-07-09,00:00:00,115.55,117.2,114.55,115.45,47375
2015-07-10,00:00:00,117.8,118.4,113.55,118.05,103020
2015-07-13,00:00:00,118.05,120.75,117.25,118.65,93625
2015-07-14,00:00:00,119.65,120.85,117.2,119.45,129280
2015-07-15,00:00:00,119.85,120.75,116.4,117.4,149821
2015-07-16,00:00:00,118.3,122.4,117.4,119.55,264141
2015-07-17,00:00:00,119.1,125.1,119.1,121.1,285683
