Date,Timestamp,Open,High,Low,Close,Volume
2016-04-04,00:00:00,11.14,11.49,10.84,10.99,293899872
2016-04-05,00:00:00,10.84,11.29,10.84,10.94,39680880
2016-04-06,00:00:00,10.99,11.24,10.84,11.09,25923301
2016-04-07,00:00:00,11.14,11.29,10.89,10.94,18449393
2016-04-08,00:00:00,10.99,11.09,10.64,11.04,34100645
2016-04-11,00:00:00,11.04,11.09,10.89,10.99,4568650
2016-04-12,00:00:00,10.99,11.64,10.94,11.44,14602213
2016-04-13,00:00:00,11.59,12.84,11.49,12.44,68760722
2016-04-18,00:00:00,12.54,12.54,11.94,12.04,12271742
2016-04-20,00:00:00,12.09,12.44,11.94,12.04,8948087
2016-04-21,00:00:00,12.29,12.29,11.94,12.14,12781983
2016-04-22,00:00:00,12.09,12.44,12.04,12.14,3268817
2016-04-25,00:00:00,12.14,12.24,12.09,12.19,16430404
2016-04-26,00:00:00,12.19,12.84,12.19,12.44,30944388
2016-04-27,00:00:00,12.44,12.74,12.34,12.74,25157716
2016-04-28,00:00:00,12.54,12.89,12.39,12.49,23406664
2016-04-29,00:00:00,12.59,12.74,12.34,12.54,25352697
2016-05-02,00:00:00,12.64,12.89,12.39,12.74,27244663
2016-05-03,00:00:00,12.89,13.19,12.59,12.79,30012541
2016-05-04,00:00:00,12.79,12.99,12.54,12.59,26477088
2016-05-05,00:00:00,12.64,12.74,12.44,12.54,25186679
2016-05-06,00:00:00,12.54,12.79,12.34,12.59,27454471
2016-05-09,00:00:00,12.69,13.19,11.94,12.54,26373422
2016-05-10,00:00:00,12.64,12.69,12.29,12.49,25463795
2016-05-11,00:00:00,12.34,12.44,12.29,12.34,25049014
2016-05-12,00:00:00,12.44,12.44,12.04,12.24,24631754
2016-05-13,00:00:00,12.24,12.34,11.79,12.24,29085975
2016-05-16,00:00:00,12.39,12.59,12.14,12.49,28918982
2016-05-17,00:00:00,12.44,12.59,12.34,12.49,26925991
2016-05-18,00:00:00,12.49,12.49,12.34,12.44,27959269
