Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,74.5,74.5,73.5,73.84,171568
2015-04-06,00:00:00,74.59,77.09,74.09,74.59,523285
2015-04-07,00:00:00,75.0,75.55,74.09,75.09,214661
2015-04-08,00:00:00,75.8,79.45,75.2,78.05,475864
2015-04-09,00:00:00,78.3,81.9,78.2,78.95,558672
2015-04-10,00:00:00,79.2,79.84,77.8,78.2,188147
2015-04-13,00:00:00,78.7,80.84,78.34,80.15,189183
2015-04-15,00:00:00,80.84,81.75,78.05,78.55,201172
2015-04-16,00:00:00,79.0,79.5,77.5,77.84,124294
2015-04-17,00:00:00,78.4,78.4,74.59,75.0,198961
2015-04-20,00:00:00,75.45,75.45,70.7,71.34,374017
2015-04-21,00:00:00,71.8,73.15,70.8,71.09,218305
2015-04-22,00:00:00,71.59,73.2,70.4,72.25,138325
2015-04-23,00:00:00,72.5,73.3,71.59,72.15,121299
2015-04-24,00:00:00,71.95,72.3,70.2,71.2,159227
2015-04-27,00:00:00,73.05,75.25,70.65,71.75,430621
2015-04-28,00:00:00,71.84,72.55,71.05,71.59,81225
2015-04-29,00:00:00,71.59,72.7,71.3,71.5,99209
2015-04-30,00:00:00,71.25,71.9,69.65,70.15,192935
2015-05-04,00:00:00,71.8,74.3,71.25,73.55,516780
2015-05-05,00:00:00,73.75,75.95,72.65,75.3,211348
2015-05-06,00:00:00,74.9,74.9,71.15,71.55,233858
2015-05-07,00:00:00,71.25,71.8,68.15,68.7,139271
2015-05-08,00:00:00,70.0,71.5,69.0,69.59,108144
2015-05-11,00:00:00,70.0,71.2,70.0,70.59,80848
2015-05-12,00:00:00,70.59,71.0,68.55,69.34,69707
2015-05-13,00:00:00,69.9,70.65,68.84,69.2,93423
2015-05-14,00:00:00,69.25,69.75,68.5,68.84,75260
2015-05-15,00:00:00,69.0,72.9,68.5,71.4,160217
2015-05-18,00:00:00,72.09,72.8,71.0,72.3,110862
2015-05-19,00:00:00,72.3,72.75,71.09,71.34,102040
2015-05-20,00:00:00,72.09,72.9,70.09,70.34,90011
2015-05-21,00:00:00,70.34,71.4,69.95,70.84,69458
2015-05-22,00:00:00,70.25,72.0,70.2,70.5,70581
2015-05-25,00:00:00,70.0,71.7,70.0,70.5,113930
2015-05-26,00:00:00,69.3,70.84,67.5,69.2,316782
2015-05-27,00:00:00,68.3,68.59,67.5,67.8,142450
2015-05-28,00:00:00,67.84,67.95,66.5,66.75,95596
2015-05-29,00:00:00,67.05,69.25,65.8,67.8,320800
2015-06-01,00:00:00,68.15,69.7,67.5,69.15,87557
2015-06-02,00:00:00,69.25,70.4,68.0,68.05,166825
2015-06-03,00:00:00,68.0,69.0,64.55,66.5,92718
2015-06-04,00:00:00,66.5,67.59,65.25,65.7,78450
2015-06-05,00:00:00,66.0,66.4,64.3,64.75,74289
2015-06-08,00:00:00,64.9,66.0,64.09,64.34,49255
2015-06-09,00:00:00,64.0,64.5,62.7,63.5,42137
2015-06-10,00:00:00,63.4,65.59,62.5,64.59,65725
2015-06-11,00:00:00,64.3,65.45,61.7,61.9,77745
2015-06-12,00:00:00,61.5,62.5,61.2,61.4,48961
2015-06-15,00:00:00,61.15,63.2,61.15,62.6,47580
2015-06-16,00:00:00,62.25,62.9,61.2,62.05,55376
2015-06-17,00:00:00,62.5,63.85,62.0,63.05,96469
2015-06-18,00:00:00,62.25,64.2,62.1,62.85,62839
2015-06-19,00:00:00,63.1,63.5,62.3,62.6,69731
2015-06-22,00:00:00,64.95,69.8,63.25,66.65,448467
2015-06-23,00:00:00,67.09,69.3,65.59,68.7,176550
2015-06-24,00:00:00,68.7,71.34,68.4,70.65,211126
2015-06-25,00:00:00,70.95,72.75,70.05,72.0,131421
2015-06-26,00:00:00,73.0,74.2,72.09,73.15,306271
2015-06-29,00:00:00,68.75,71.84,68.75,71.05,107529
2015-06-30,00:00:00,71.0,73.45,71.0,72.75,64178
2015-07-01,00:00:00,72.0,74.59,72.0,73.65,119724
2015-07-02,00:00:00,74.59,75.0,71.55,71.95,133046
2015-07-03,00:00:00,72.0,73.2,71.55,71.95,54238
2015-07-06,00:00:00,70.0,74.5,70.0,73.84,106558
2015-07-07,00:00:00,74.4,75.95,73.0,74.84,140966
2015-07-08,00:00:00,73.0,73.45,71.55,71.8,85430
2015-07-09,00:00:00,73.25,73.25,69.0,69.75,173753
2015-07-10,00:00:00,71.5,72.4,69.3,69.55,77752
2015-07-13,00:00:00,72.0,72.0,69.75,70.59,80097
2015-07-14,00:00:00,70.7,74.2,70.7,73.09,163610
2015-07-15,00:00:00,73.5,74.2,73.15,73.55,91398
2015-07-16,00:00:00,73.9,74.4,73.15,73.7,53311
2015-07-17,00:00:00,73.55,74.2,72.84,73.95,59038
2015-07-20,00:00:00,73.8,79.8,72.0,76.65,410287
2015-07-21,00:00:00,77.15,77.8,72.8,73.34,172387
2015-07-22,00:00:00,73.34,75.75,69.5,70.84,469852
2015-07-23,00:00:00,72.5,73.34,71.5,72.55,279863
2015-07-24,00:00:00,73.0,74.65,72.2,72.7,174378
2015-07-27,00:00:00,72.09,72.5,70.05,70.55,87118
2015-07-28,00:00:00,70.2,72.4,70.2,71.09,91904
2015-07-29,00:00:00,71.05,73.25,71.05,72.45,121609
2015-07-30,00:00:00,74.0,75.4,72.55,73.05,151768
2015-07-31,00:00:00,73.3,73.9,72.3,73.09,86107
2015-08-03,00:00:00,73.45,74.3,72.09,72.5,140709
2015-08-04,00:00:00,72.95,72.95,70.59,70.9,148756
2015-08-05,00:00:00,70.59,73.4,70.59,71.7,962138
2015-08-06,00:00:00,72.4,73.2,71.55,71.84,95010
2015-08-07,00:00:00,73.0,73.55,71.84,73.2,272981
2015-08-10,00:00:00,73.15,74.59,72.55,73.0,130169
2015-08-11,00:00:00,73.2,76.4,73.05,74.09,482279
2015-08-12,00:00:00,73.75,74.75,71.5,71.8,153194
2015-08-13,00:00:00,72.0,73.3,70.09,70.45,91351
2015-08-14,00:00:00,70.65,71.9,69.15,70.45,110015
2015-08-17,00:00:00,70.5,73.45,70.5,72.2,110541
2015-08-18,00:00:00,72.84,73.84,72.55,73.09,90456
2015-08-19,00:00:00,72.8,78.15,72.55,77.09,924183
2015-08-20,00:00:00,77.09,81.4,76.84,77.5,749851
2015-08-21,00:00:00,75.7,79.25,74.09,78.55,199048
2015-08-24,00:00:00,73.0,74.8,70.8,72.2,537935
2015-08-25,00:00:00,73.0,73.4,66.7,70.45,606115
2015-08-26,00:00:00,70.45,72.7,68.95,69.84,100992
2015-08-27,00:00:00,70.25,73.5,70.25,72.59,121101
2015-08-28,00:00:00,73.95,75.75,72.75,75.05,427788
2015-08-31,00:00:00,76.5,77.5,74.2,76.5,166822
2015-09-01,00:00:00,76.0,76.0,74.0,75.2,112338
2015-09-02,00:00:00,75.5,80.45,73.59,78.5,288570
2015-09-03,00:00:00,79.09,83.25,78.5,82.05,656382
2015-09-04,00:00:00,82.2,82.8,74.4,75.65,360497
2015-09-07,00:00:00,76.0,77.45,71.5,72.2,139275
2015-09-08,00:00:00,73.0,73.75,71.09,73.25,122162
2015-09-09,00:00:00,74.5,75.0,73.0,73.5,349414
2015-09-10,00:00:00,73.0,73.7,71.55,73.09,84624
2015-09-11,00:00:00,74.0,74.25,71.45,71.95,126054
2015-09-14,00:00:00,72.34,73.9,72.3,73.7,48863
2015-09-15,00:00:00,73.25,74.05,71.84,72.45,48422
2015-09-16,00:00:00,73.55,74.4,72.59,73.05,50637
2015-09-18,00:00:00,73.0,75.0,73.0,73.65,144574
2015-09-21,00:00:00,73.34,75.09,72.84,74.59,97128
2015-09-22,00:00:00,75.15,75.25,72.4,72.84,63572
2015-09-23,00:00:00,71.2,74.0,71.2,72.75,40965
2015-09-24,00:00:00,73.65,74.7,72.8,72.95,84934
2015-09-28,00:00:00,72.4,73.55,72.05,72.5,47718
2015-09-29,00:00:00,71.2,74.25,71.2,73.59,74575
2015-09-30,00:00:00,74.4,74.59,73.25,73.4,69600
2015-10-01,00:00:00,74.3,74.4,72.5,73.84,188039
2015-10-05,00:00:00,74.4,78.7,74.05,78.09,269884
2015-10-06,00:00:00,82.05,82.4,79.15,79.95,744796
2015-10-07,00:00:00,79.5,81.0,78.15,78.5,154698
2015-10-08,00:00:00,79.3,80.09,78.15,79.0,109214
2015-10-09,00:00:00,79.0,81.8,77.9,78.3,121327
2015-10-12,00:00:00,78.4,79.84,76.9,77.05,68794
2015-10-13,00:00:00,78.0,80.7,76.59,79.05,83343
2015-10-14,00:00:00,78.59,83.7,78.0,81.34,482693
2015-10-15,00:00:00,82.3,84.75,80.8,83.1,410058
2015-10-16,00:00:00,82.3,82.9,81.5,82.15,102612
2015-10-19,00:00:00,81.59,83.1,80.59,82.0,56406
2015-10-20,00:00:00,81.5,83.25,81.5,82.15,76600
2015-10-21,00:00:00,82.75,82.75,80.8,81.2,80065
2015-10-23,00:00:00,82.4,82.4,78.8,79.2,56869
2015-10-26,00:00:00,78.75,79.9,76.8,77.15,56387
2015-10-27,00:00:00,77.25,77.7,76.55,77.25,54737
2015-10-28,00:00:00,77.0,79.45,77.0,77.59,53479
2015-10-29,00:00:00,78.3,80.15,77.45,79.05,106359
2015-10-30,00:00:00,79.0,79.0,74.15,75.3,216297
2015-11-02,00:00:00,74.45,75.8,72.25,74.05,98800
2015-11-03,00:00:00,74.9,75.84,73.15,73.59,45747
2015-11-04,00:00:00,74.9,75.0,73.9,74.75,59623
