Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,11.7,12.25,11.4,11.95,788968
2015-04-06,00:00:00,12.05,12.5,11.8,12.15,823382
2015-04-07,00:00:00,12.2,13.75,12.05,13.5,3019321
2015-04-08,00:00:00,13.6,13.7,12.8,13.05,1260811
2015-04-09,00:00:00,13.2,14.5,12.8,14.0,3314672
2015-04-10,00:00:00,14.0,14.55,13.75,14.0,1483673
2015-04-13,00:00:00,14.2,14.5,14.05,14.2,1250362
2015-04-15,00:00:00,14.2,17.0,14.0,16.64,8465282
2015-04-16,00:00:00,16.3,16.64,14.4,15.2,5825212
2015-04-17,00:00:00,15.35,17.75,14.25,16.85,12090998
2015-04-20,00:00:00,17.0,18.6,17.0,18.25,8726866
2015-04-21,00:00:00,18.75,18.89,17.14,17.35,5184366
2015-04-22,00:00:00,17.64,17.8,15.9,16.7,3684563
2015-04-23,00:00:00,17.3,17.7,16.8,17.25,3332593
2015-04-24,00:00:00,17.25,17.35,15.55,15.7,2905990
2015-04-27,00:00:00,15.7,15.7,14.15,14.2,4614152
2015-04-28,00:00:00,14.4,14.9,13.5,14.9,3347993
2015-04-29,00:00:00,15.15,15.6,14.75,15.6,3493079
2015-04-30,00:00:00,15.6,16.35,15.3,15.95,2493512
2015-05-04,00:00:00,16.3,16.6,16.05,16.25,1207146
2015-05-05,00:00:00,15.8,16.25,15.45,15.55,1535772
2015-05-06,00:00:00,15.65,15.65,14.8,14.8,789743
2015-05-07,00:00:00,14.3,14.65,14.1,14.1,2107722
2015-05-08,00:00:00,14.4,14.5,13.6,14.0,1374441
2015-05-11,00:00:00,14.2,14.65,14.2,14.4,638490
2015-05-12,00:00:00,14.35,14.4,13.75,13.8,600289
2015-05-13,00:00:00,13.85,14.45,13.85,14.45,564413
2015-05-14,00:00:00,14.75,15.15,14.25,15.15,1793358
2015-05-15,00:00:00,15.45,15.9,14.85,15.8,2267918
2015-05-18,00:00:00,15.05,15.05,15.05,15.05,94216
