Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,68.0,70.0,67.0,69.55,178140
2015-04-06,00:00:00,70.0,72.15,68.2,71.8,290802
2015-04-07,00:00:00,72.0,73.95,67.35,72.15,779670
2015-04-08,00:00:00,72.15,75.0,71.25,73.8,446290
2015-04-09,00:00:00,74.0,79.4,72.3,78.75,908810
2015-04-10,00:00:00,79.9,81.5,78.6,79.6,1564615
2015-04-13,00:00:00,79.6,82.6,78.65,80.15,959950
2015-04-15,00:00:00,80.35,83.45,79.75,81.3,783897
2015-04-16,00:00:00,81.45,81.6,77.6,78.15,207851
2015-04-17,00:00:00,78.8,79.6,77.05,77.95,182836
2015-04-20,00:00:00,77.95,78.2,73.05,74.0,162788
2015-04-21,00:00:00,74.05,75.65,73.5,74.0,138073
2015-04-22,00:00:00,74.35,75.05,72.6,74.5,132205
2015-04-23,00:00:00,75.15,75.55,73.4,73.9,101780
2015-04-24,00:00:00,73.95,73.95,71.7,72.05,127979
2015-04-27,00:00:00,72.25,72.25,68.25,68.95,176459
2015-04-28,00:00:00,68.55,72.1,67.0,71.1,178358
2015-04-29,00:00:00,70.35,72.95,69.75,71.7,107313
2015-04-30,00:00:00,71.85,71.9,69.15,70.8,128974
2015-05-04,00:00:00,71.35,73.6,70.9,71.85,124144
2015-05-05,00:00:00,73.4,73.4,71.4,72.0,77323
2015-05-06,00:00:00,71.7,71.7,68.65,69.1,99876
2015-05-07,00:00:00,67.7,69.4,65.6,66.6,145006
2015-05-08,00:00:00,69.4,70.55,67.8,68.35,298954
2015-05-11,00:00:00,69.5,70.3,68.45,69.75,121077
2015-05-12,00:00:00,69.95,69.95,66.8,67.3,85180
2015-05-13,00:00:00,67.7,68.55,66.35,67.65,106788
2015-05-14,00:00:00,67.05,68.8,66.0,68.0,103152
2015-05-15,00:00:00,68.2,69.05,67.3,67.95,98923
2015-05-18,00:00:00,68.55,68.9,67.55,68.55,69338
