Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,94.65,96.8,93.7,96.15,69692
2015-04-06,00:00:00,97.15,99.65,97.15,98.35,161324
2015-04-07,00:00:00,98.35,99.0,97.75,98.45,54260
2015-04-08,00:00:00,98.5,101.9,98.35,100.6,128188
2015-04-09,00:00:00,100.85,102.15,98.85,100.2,91492
2015-04-10,00:00:00,100.35,101.35,99.5,99.95,74136
2015-04-13,00:00:00,100.0,100.0,97.35,98.25,125600
2015-04-15,00:00:00,99.15,100.75,97.75,98.35,150628
2015-04-16,00:00:00,98.35,100.35,96.85,98.65,190288
2015-04-17,00:00:00,98.15,98.75,96.95,98.05,126832
2015-04-20,00:00:00,98.4,98.65,95.85,97.1,133324
2015-04-21,00:00:00,97.5,98.3,96.65,97.1,30092
2015-04-22,00:00:00,97.75,98.1,95.85,96.4,38608
2015-04-23,00:00:00,97.55,97.85,95.65,96.15,45416
2015-04-24,00:00:00,96.0,96.65,93.85,94.35,74860
2015-04-27,00:00:00,95.65,97.5,91.15,92.25,81336
2015-04-28,00:00:00,91.85,94.3,91.65,93.45,60180
2015-04-29,00:00:00,92.6,95.0,92.6,94.4,35900
2015-04-30,00:00:00,94.4,95.35,93.0,94.9,43460
2015-05-04,00:00:00,94.85,97.25,94.55,96.25,53988
2015-05-05,00:00:00,96.0,98.05,95.95,96.5,42572
2015-05-06,00:00:00,95.9,97.0,94.35,95.85,89340
2015-05-07,00:00:00,94.5,96.15,90.85,91.75,66624
2015-05-08,00:00:00,94.85,94.85,92.0,92.75,63672
2015-05-11,00:00:00,93.15,94.6,92.5,92.8,67572
2015-05-12,00:00:00,93.5,93.5,91.25,91.5,61372
2015-05-13,00:00:00,92.5,93.15,90.7,91.15,100344
2015-05-14,00:00:00,91.35,91.45,90.25,90.9,43464
2015-05-15,00:00:00,91.15,92.5,90.85,91.25,87784
2015-05-18,00:00:00,91.2,95.25,91.2,94.35,81428
2015-05-19,00:00:00,94.35,96.9,93.45,96.55,116836
2015-05-20,00:00:00,96.7,97.55,96.15,96.75,57268
2015-05-21,00:00:00,95.7,97.15,94.95,96.55,37368
2015-05-22,00:00:00,95.9,97.5,95.9,96.7,31760
2015-05-25,00:00:00,97.15,97.15,94.6,94.85,30284
2015-05-26,00:00:00,96.0,98.3,95.05,96.45,67224
2015-05-27,00:00:00,96.35,97.25,95.45,95.85,27292
2015-05-28,00:00:00,96.65,98.0,95.65,95.85,97936
2015-05-29,00:00:00,96.65,96.65,95.0,95.3,49480
2015-06-01,00:00:00,96.3,96.3,94.7,95.8,31836
2015-06-02,00:00:00,96.65,96.65,94.15,95.85,35956
2015-06-03,00:00:00,94.35,95.85,91.35,91.95,145872
