Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,81.25,87.9,81.25,87.05,77904
2015-04-06,00:00:00,86.6,101.7,85.55,100.2,431537
2015-04-07,00:00:00,102.35,104.95,100.2,102.6,694343
2015-04-08,00:00:00,101.95,102.65,100.0,100.4,93360
2015-04-09,00:00:00,100.8,102.45,96.05,96.9,74920
2015-04-10,00:00:00,96.75,98.75,95.35,96.35,54809
2015-04-13,00:00:00,96.7,98.5,96.7,97.2,52168
2015-04-15,00:00:00,101.3,101.3,95.65,96.45,24945
2015-04-16,00:00:00,98.85,99.55,96.1,97.15,78753
2015-04-17,00:00:00,97.0,97.7,95.6,96.25,28836
2015-04-20,00:00:00,96.45,96.45,91.2,92.05,20206
2015-04-21,00:00:00,91.1,93.25,91.05,91.8,15717
2015-04-22,00:00:00,91.0,93.2,90.8,92.75,25765
2015-04-23,00:00:00,93.95,96.9,92.55,95.6,55816
2015-04-24,00:00:00,94.85,95.0,91.5,91.95,31278
2015-04-27,00:00:00,91.6,93.15,90.4,91.1,10590
2015-04-28,00:00:00,91.9,93.0,89.2,92.15,19507
2015-04-29,00:00:00,93.35,94.5,92.0,93.4,32799
2015-04-30,00:00:00,93.0,94.45,92.55,93.2,21282
2015-05-04,00:00:00,92.35,94.9,92.35,93.5,15211
2015-05-05,00:00:00,93.3,98.45,93.3,96.2,84873
2015-05-06,00:00:00,96.0,97.6,91.0,91.85,41757
2015-05-07,00:00:00,91.0,93.6,89.1,89.9,24830
2015-05-08,00:00:00,91.6,92.2,89.5,89.7,16586
2015-05-11,00:00:00,90.0,91.95,89.8,90.65,11116
2015-05-12,00:00:00,90.15,91.0,87.6,88.05,9218
2015-05-13,00:00:00,88.45,88.9,85.0,86.3,31121
2015-05-14,00:00:00,86.0,89.0,85.15,87.8,13899
2015-05-15,00:00:00,87.9,90.0,87.9,88.7,13236
2015-05-18,00:00:00,88.5,89.85,87.3,87.9,15804
2015-05-19,00:00:00,88.0,89.7,88.0,88.95,31594
2015-05-20,00:00:00,89.9,90.0,87.95,88.65,20901
2015-05-21,00:00:00,88.55,89.0,87.35,88.9,12188
2015-05-22,00:00:00,88.9,89.45,88.25,88.7,17922
2015-05-25,00:00:00,89.0,89.0,86.5,86.7,8071
2015-05-26,00:00:00,87.6,87.6,85.3,85.7,10332
2015-05-27,00:00:00,85.2,87.7,83.15,87.4,21906
2015-05-28,00:00:00,86.95,91.7,86.9,89.3,69076
2015-05-29,00:00:00,89.5,89.55,86.25,86.8,14036
2015-06-01,00:00:00,86.0,89.5,85.9,86.25,18766
2015-06-02,00:00:00,88.45,88.45,84.6,85.2,11543
2015-06-03,00:00:00,88.35,88.35,80.5,81.34,18866
2015-06-04,00:00:00,81.0,82.6,80.0,81.3,11159
2015-06-05,00:00:00,83.95,83.95,80.45,82.0,20132
2015-06-08,00:00:00,80.05,84.7,80.05,81.05,49452
2015-06-09,00:00:00,80.7,81.0,77.0,79.59,12893
2015-06-10,00:00:00,79.5,82.0,79.05,81.7,7775
2015-06-11,00:00:00,81.55,82.75,78.59,78.84,9927
2015-06-12,00:00:00,78.0,80.2,78.0,79.15,12592
2015-06-15,00:00:00,79.3,80.7,78.0,79.59,14763
2015-06-16,00:00:00,79.0,81.5,79.0,80.55,15487
2015-06-17,00:00:00,80.0,81.75,79.3,81.0,9176
2015-06-18,00:00:00,80.59,84.9,80.0,81.3,14420
2015-06-19,00:00:00,80.59,82.7,80.55,80.95,20532
2015-06-22,00:00:00,80.95,83.0,80.95,82.35,11378
2015-06-23,00:00:00,84.4,84.4,81.34,81.59,25615
2015-06-24,00:00:00,82.0,83.5,80.59,81.2,21900
2015-06-25,00:00:00,81.75,82.4,80.59,81.7,14184
2015-06-26,00:00:00,82.0,83.7,80.5,81.7,16377
2015-06-29,00:00:00,81.0,81.0,78.5,80.2,17876
2015-06-30,00:00:00,79.55,86.25,79.55,83.25,75479
2015-07-01,00:00:00,83.0,85.15,83.0,84.1,28417
2015-07-02,00:00:00,84.0,86.6,83.65,85.25,37266
2015-07-03,00:00:00,84.85,85.9,83.4,83.6,17720
2015-07-06,00:00:00,85.0,90.9,83.05,88.4,92540
2015-07-07,00:00:00,89.0,98.25,88.9,93.45,273897
2015-07-08,00:00:00,92.3,94.0,89.2,90.4,49053
2015-07-09,00:00:00,91.85,92.7,89.0,89.2,23009
2015-07-10,00:00:00,90.0,91.8,88.05,88.95,19021
2015-07-13,00:00:00,89.4,90.4,88.55,89.05,14888
2015-07-14,00:00:00,88.1,91.7,88.1,90.0,20812
2015-07-15,00:00:00,90.3,93.4,90.2,92.35,53911
2015-07-16,00:00:00,92.35,95.8,92.3,93.7,46058
2015-07-17,00:00:00,93.05,96.8,93.05,95.3,63791
2015-07-20,00:00:00,95.0,98.0,95.0,95.5,27497
2015-07-21,00:00:00,93.7,96.25,92.05,92.4,19711
2015-07-22,00:00:00,91.8,93.7,90.3,92.6,11346
2015-07-23,00:00:00,92.6,94.0,90.8,91.5,14867
2015-07-24,00:00:00,90.8,96.5,90.8,93.65,55048
2015-07-27,00:00:00,94.8,96.0,93.1,93.4,31713
2015-07-28,00:00:00,94.3,95.0,93.5,94.1,13701
2015-07-29,00:00:00,94.2,96.3,94.2,94.85,27439
2015-07-30,00:00:00,96.4,96.8,94.75,96.3,41491
2015-07-31,00:00:00,96.05,103.8,96.05,100.55,239740
2015-08-03,00:00:00,100.9,102.9,98.0,99.0,67910
2015-08-04,00:00:00,97.5,102.0,97.5,99.25,34739
2015-08-05,00:00:00,99.25,102.3,98.1,99.7,49854
2015-08-06,00:00:00,99.75,99.9,97.2,97.6,25383
2015-08-07,00:00:00,97.1,98.5,95.25,95.85,33568
2015-08-10,00:00:00,94.75,102.9,94.75,99.0,120827
2015-08-11,00:00:00,108.25,114.4,107.0,108.5,1534149
2015-08-12,00:00:00,107.1,108.9,101.5,102.3,206079
2015-08-13,00:00:00,102.3,107.3,98.0,99.7,88071
2015-08-14,00:00:00,99.5,103.3,98.1,100.05,81221
2015-08-17,00:00:00,99.95,107.3,98.5,103.6,127201
2015-08-18,00:00:00,103.2,107.1,103.2,104.4,69174
2015-08-19,00:00:00,104.0,106.5,103.6,104.1,53851
2015-08-20,00:00:00,104.0,104.8,99.0,99.75,37576
2015-08-21,00:00:00,98.9,98.9,96.1,96.85,31070
2015-08-24,00:00:00,94.0,94.8,85.05,85.85,63915
2015-08-25,00:00:00,86.25,88.95,81.59,83.8,52272
2015-08-26,00:00:00,85.0,87.8,80.25,86.65,44554
2015-08-27,00:00:00,87.05,89.5,87.05,88.65,19324
2015-08-28,00:00:00,90.25,93.0,88.25,88.85,22827
2015-08-31,00:00:00,88.2,92.4,87.2,88.9,22116
2015-09-01,00:00:00,88.0,88.7,83.4,84.25,20701
2015-09-02,00:00:00,84.4,87.5,83.35,84.75,22478
2015-09-03,00:00:00,85.0,86.85,84.2,85.15,14317
2015-09-04,00:00:00,84.45,84.8,81.7,82.25,16853
2015-09-07,00:00:00,82.45,83.8,79.5,80.09,16466
2015-09-08,00:00:00,80.5,82.8,79.34,81.09,16704
