Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,134.25,139.5,133.19,137.9,88005
2015-04-06,00:00:00,138.0,141.94,138.0,140.8,104391
2015-04-07,00:00:00,140.6,147.55,138.5,144.94,167123
2015-04-08,00:00:00,143.94,146.8,142.0,144.8,68765
2015-04-09,00:00:00,146.5,147.0,143.0,143.6,69772
2015-04-10,00:00:00,143.5,148.0,142.0,144.5,95724
2015-04-13,00:00:00,145.65,150.0,145.6,147.0,137567
2015-04-15,00:00:00,147.4,153.75,147.1,148.0,153703
2015-04-16,00:00:00,147.5,149.25,142.0,143.4,92812
2015-04-17,00:00:00,144.0,146.65,143.0,143.5,83260
2015-04-20,00:00:00,140.6,146.0,138.85,140.8,67042
2015-04-21,00:00:00,141.65,145.69,138.0,143.0,82209
2015-04-22,00:00:00,142.05,144.19,138.5,140.6,69230
2015-04-23,00:00:00,141.9,148.5,141.9,146.1,140365
2015-04-24,00:00:00,146.94,146.94,138.8,139.44,94584
2015-04-27,00:00:00,140.0,140.0,131.55,132.1,52667
2015-04-28,00:00:00,132.0,140.35,130.3,138.65,75215
2015-04-29,00:00:00,138.15,139.4,135.5,136.65,36638
2015-04-30,00:00:00,136.35,136.75,131.55,132.94,45056
2015-05-04,00:00:00,133.8,141.9,133.8,140.35,63551
2015-05-05,00:00:00,141.6,144.69,140.05,141.6,57649
2015-05-06,00:00:00,141.6,141.6,135.1,136.19,45398
2015-05-07,00:00:00,137.0,137.19,130.6,132.94,36292
2015-05-08,00:00:00,135.9,137.44,133.5,134.35,31596
2015-05-11,00:00:00,135.1,138.94,134.8,135.35,44597
2015-05-12,00:00:00,135.6,137.4,131.55,132.5,31930
2015-05-13,00:00:00,133.0,135.0,127.5,134.0,61322
2015-05-14,00:00:00,134.94,136.94,132.25,135.4,54021
2015-05-15,00:00:00,135.5,138.3,135.44,137.6,44557
2015-05-18,00:00:00,137.75,139.5,133.8,134.25,45424
2015-05-19,00:00:00,135.0,135.8,133.0,134.19,38452
2015-05-20,00:00:00,134.9,135.8,133.5,134.3,27967
2015-05-21,00:00:00,134.19,144.0,132.0,141.69,643089
2015-05-22,00:00:00,142.44,142.44,134.5,134.85,169427
2015-05-25,00:00:00,135.1,135.75,131.1,131.94,48935
2015-05-26,00:00:00,132.0,132.6,130.1,130.35,53647
2015-05-27,00:00:00,130.55,130.9,127.25,127.65,44211
2015-05-28,00:00:00,129.5,130.0,122.65,123.7,102689
2015-05-29,00:00:00,126.0,126.0,120.25,121.1,72145
2015-06-01,00:00:00,120.0,122.45,116.6,117.15,56941
2015-06-02,00:00:00,118.0,118.95,113.0,113.7,62620
2015-06-03,00:00:00,113.3,116.0,105.15,108.75,86758
2015-06-04,00:00:00,113.0,113.95,107.0,109.8,47549
2015-06-05,00:00:00,110.0,113.9,109.2,111.85,33789
2015-06-08,00:00:00,117.0,117.0,113.05,113.95,138536
2015-06-09,00:00:00,113.6,113.6,108.4,109.0,44061
2015-06-10,00:00:00,110.3,112.5,109.35,111.4,29723
2015-06-11,00:00:00,112.45,115.9,110.55,111.3,55868
2015-06-12,00:00:00,110.25,112.3,109.5,110.45,18330
2015-06-15,00:00:00,110.0,114.0,108.35,110.15,17954
2015-06-16,00:00:00,109.05,110.0,107.0,108.8,14900
2015-06-17,00:00:00,110.0,119.75,107.35,116.05,274355
2015-06-18,00:00:00,116.7,116.9,112.55,113.35,46116
2015-06-19,00:00:00,115.0,117.8,113.0,114.55,57044
2015-06-22,00:00:00,116.45,116.5,113.5,115.95,33690
2015-06-23,00:00:00,115.5,119.7,115.1,117.15,46053
2015-06-24,00:00:00,117.55,118.9,113.1,114.05,34809
2015-06-25,00:00:00,116.0,116.0,114.0,114.25,12434
2015-06-26,00:00:00,114.05,114.75,111.5,112.15,37195
2015-06-29,00:00:00,110.9,110.9,105.1,109.5,36835
2015-06-30,00:00:00,108.2,111.6,107.0,107.6,45019
2015-07-01,00:00:00,108.1,111.0,108.1,109.0,45338
2015-07-02,00:00:00,111.15,111.4,109.5,109.8,28405
2015-07-03,00:00:00,109.2,110.95,109.2,109.75,32037
2015-07-06,00:00:00,108.0,113.85,107.15,112.5,73549
2015-07-07,00:00:00,112.65,116.7,112.5,113.0,46451
2015-07-08,00:00:00,114.55,118.3,112.2,113.95,291177
2015-07-09,00:00:00,114.9,116.75,112.5,113.35,89432
2015-07-10,00:00:00,114.5,114.8,111.0,111.4,42780
2015-07-13,00:00:00,113.5,113.5,108.7,109.75,43733
2015-07-14,00:00:00,110.3,110.5,107.55,108.45,73605
2015-07-15,00:00:00,108.0,111.15,108.0,108.5,57938
2015-07-16,00:00:00,110.5,110.85,108.75,109.4,34947
2015-07-17,00:00:00,109.15,113.8,108.8,111.0,63976
2015-07-20,00:00:00,112.9,112.9,109.6,110.6,38950
2015-07-21,00:00:00,108.25,111.3,107.55,108.35,46589
2015-07-22,00:00:00,108.0,130.0,107.5,130.0,1530096
2015-07-23,00:00:00,133.0,134.75,126.15,127.15,877306
2015-07-24,00:00:00,127.0,134.5,125.0,130.69,384494
2015-07-27,00:00:00,130.0,138.9,129.19,136.85,416365
2015-07-28,00:00:00,137.1,142.5,137.05,138.3,494954
2015-07-29,00:00:00,139.3,142.85,135.69,137.44,243182
2015-07-30,00:00:00,138.1,139.85,130.65,132.65,126275
2015-07-31,00:00:00,133.19,141.9,133.0,141.25,263056
2015-08-03,00:00:00,141.44,148.25,141.44,147.19,314528
2015-08-04,00:00:00,148.0,152.6,145.0,151.3,343120
2015-08-05,00:00:00,152.94,156.6,152.5,155.25,228462
2015-08-06,00:00:00,159.9,161.5,157.25,159.0,251555
2015-08-07,00:00:00,158.6,158.94,152.5,154.1,108501
2015-08-10,00:00:00,154.0,159.4,153.1,157.69,149705
2015-08-11,00:00:00,158.0,159.44,149.35,151.25,137772
2015-08-12,00:00:00,150.0,168.9,145.5,154.6,571004
2015-08-13,00:00:00,156.75,163.0,149.19,150.69,230290
2015-08-14,00:00:00,151.3,154.5,148.1,151.94,89168
2015-08-17,00:00:00,154.0,157.4,148.8,155.05,158769
2015-08-18,00:00:00,155.44,160.0,153.6,154.65,134792
2015-08-19,00:00:00,154.19,165.9,153.0,161.3,378408
2015-08-20,00:00:00,160.0,165.0,156.0,157.05,250598
2015-08-21,00:00:00,153.9,153.9,148.35,150.4,150565
2015-08-24,00:00:00,143.5,143.5,130.0,131.44,126364
2015-08-25,00:00:00,129.0,135.9,122.65,133.85,105460
2015-08-26,00:00:00,133.0,138.8,130.0,132.6,71043
2015-08-27,00:00:00,135.25,139.55,132.5,133.85,74294
2015-08-28,00:00:00,137.8,142.69,135.0,136.9,159497
2015-08-31,00:00:00,137.69,142.35,134.9,136.3,89482
2015-09-01,00:00:00,136.0,136.0,128.6,130.25,77555
2015-09-02,00:00:00,131.44,133.0,125.1,126.65,105503
2015-09-03,00:00:00,127.7,131.94,127.7,130.35,97793
2015-09-04,00:00:00,129.1,129.4,124.0,124.9,89315
2015-09-07,00:00:00,125.0,125.6,119.0,119.9,52581
2015-09-08,00:00:00,121.6,123.55,117.0,119.85,139021
2015-09-09,00:00:00,125.05,129.25,125.05,127.05,235159
2015-09-10,00:00:00,125.6,132.5,124.55,129.69,356520
2015-09-11,00:00:00,130.94,131.5,126.5,128.05,80264
2015-09-14,00:00:00,128.44,138.94,125.6,135.05,313737
2015-09-15,00:00:00,135.75,138.0,130.1,130.65,110394
2015-09-16,00:00:00,132.5,135.4,129.1,130.4,60739
2015-09-18,00:00:00,132.44,134.69,131.5,132.15,61744
2015-09-21,00:00:00,131.0,133.94,127.95,132.6,63323
2015-09-22,00:00:00,133.0,134.5,128.3,129.05,51819
2015-09-23,00:00:00,126.85,129.94,125.1,128.9,40631
2015-09-24,00:00:00,128.0,129.44,126.0,127.5,31238
2015-09-28,00:00:00,127.0,130.0,127.0,127.95,37751
2015-09-29,00:00:00,126.0,129.5,123.8,126.5,41028
2015-09-30,00:00:00,127.65,129.69,126.2,127.8,39305
2015-10-01,00:00:00,128.94,131.5,127.4,128.4,58645
