Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,28.1,30.6,27.35,30.1,283800
2015-04-06,00:00:00,30.35,31.1,30.0,30.45,58800
2015-04-07,00:00:00,30.3,30.85,30.1,30.5,51900
2015-04-08,00:00:00,31.1,31.9,30.85,31.05,83290
2015-04-09,00:00:00,30.9,32.0,30.9,31.15,92350
2015-04-10,00:00:00,31.2,32.4,31.2,32.1,131240
2015-04-13,00:00:00,32.4,34.3,31.6,32.8,205200
2015-04-15,00:00:00,33.0,34.7,33.0,33.25,363200
2015-04-16,00:00:00,33.5,33.85,31.8,32.5,106170
2015-04-17,00:00:00,32.5,33.75,31.9,32.45,83630
2015-04-20,00:00:00,32.6,32.65,31.0,31.25,62490
2015-04-21,00:00:00,31.1,31.65,30.5,30.6,43760
2015-04-22,00:00:00,30.8,31.5,30.35,31.2,71730
2015-04-23,00:00:00,31.45,32.2,31.1,31.65,83530
2015-04-24,00:00:00,31.9,35.0,29.9,31.2,2908830
2015-04-27,00:00:00,31.8,31.8,28.8,29.2,243630
2015-04-28,00:00:00,29.0,29.6,28.0,28.8,188980
2015-04-29,00:00:00,28.6,29.75,28.6,29.05,136320
2015-04-30,00:00:00,29.5,29.5,28.2,28.7,71360
2015-05-04,00:00:00,29.4,29.8,28.75,29.25,138230
2015-05-05,00:00:00,29.5,30.8,29.25,29.6,270240
2015-05-06,00:00:00,29.8,30.3,28.35,28.7,134940
2015-05-07,00:00:00,29.35,29.35,28.1,28.25,39710
2015-05-08,00:00:00,28.55,29.4,28.55,29.0,49100
2015-05-11,00:00:00,29.5,31.3,29.5,30.8,228270
2015-05-12,00:00:00,30.7,31.5,29.6,30.45,129390
2015-05-13,00:00:00,30.7,31.6,30.25,30.35,115020
2015-05-14,00:00:00,30.1,30.5,29.85,30.0,33910
2015-05-15,00:00:00,30.2,30.8,29.6,30.55,114650
2015-05-18,00:00:00,30.5,31.1,30.3,30.35,29870
2015-05-19,00:00:00,30.4,30.8,29.9,30.05,62690
2015-05-20,00:00:00,30.55,33.3,30.55,30.95,1117140
2015-05-21,00:00:00,31.3,31.5,30.6,30.9,249460
2015-05-22,00:00:00,30.85,31.3,30.6,30.7,58590
2015-05-25,00:00:00,30.55,30.95,30.0,30.1,56350
2015-05-26,00:00:00,29.9,30.8,29.6,30.05,97110
2015-05-27,00:00:00,30.3,32.1,29.7,30.4,567040
2015-05-28,00:00:00,30.3,30.9,29.8,30.1,112340
2015-05-29,00:00:00,30.1,30.9,30.0,30.4,88120
2015-06-01,00:00:00,30.1,30.85,29.9,30.3,73050
2015-06-02,00:00:00,30.2,30.4,29.2,29.4,45590
2015-06-03,00:00:00,29.3,29.4,28.0,28.65,78150
2015-06-04,00:00:00,28.5,29.35,28.0,28.4,113930
2015-06-05,00:00:00,28.2,28.8,28.0,28.45,49580
2015-06-08,00:00:00,28.2,28.65,28.2,28.5,22250
2015-06-09,00:00:00,28.25,28.55,27.7,27.85,40580
2015-06-10,00:00:00,28.0,28.6,27.7,27.75,82730
2015-06-11,00:00:00,28.1,28.4,27.2,27.3,110950
2015-06-12,00:00:00,27.2,27.4,26.5,26.75,40640
2015-06-15,00:00:00,26.6,28.55,26.55,26.75,524420
2015-06-16,00:00:00,27.15,27.15,26.6,26.8,114660
2015-06-17,00:00:00,27.0,27.35,26.8,26.9,97940
2015-06-18,00:00:00,27.0,27.5,26.75,27.1,36480
2015-06-19,00:00:00,27.0,27.45,26.9,26.95,53810
2015-06-22,00:00:00,26.8,27.8,26.8,27.5,81030
2015-06-23,00:00:00,27.6,28.35,27.3,27.85,66740
2015-06-24,00:00:00,27.6,28.9,27.6,28.2,113180
2015-06-25,00:00:00,28.2,28.7,27.65,28.4,67810
2015-06-26,00:00:00,28.5,29.7,28.15,28.8,199440
2015-06-29,00:00:00,28.6,28.6,27.3,27.45,85320
2015-06-30,00:00:00,27.2,27.95,27.2,27.7,25170
2015-07-01,00:00:00,27.5,28.7,27.25,28.5,75730
2015-07-02,00:00:00,28.55,29.4,28.35,29.05,134610
2015-07-03,00:00:00,29.65,30.7,29.0,29.65,231120
2015-07-06,00:00:00,29.4,30.9,28.35,30.45,156340
2015-07-07,00:00:00,29.55,31.3,29.55,29.85,121050
