Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,10.95,11.85,10.6,11.7,68125
2015-04-06,00:00:00,12.25,12.4,11.1,11.45,23012
2015-04-07,00:00:00,11.85,12.6,11.6,12.15,62812
2015-04-08,00:00:00,12.55,14.15,12.5,13.25,242075
2015-04-09,00:00:00,13.75,13.75,13.2,13.2,13500
2015-04-10,00:00:00,13.5,13.5,12.55,12.7,40500
2015-04-13,00:00:00,12.8,12.8,12.15,12.25,33188
2015-04-15,00:00:00,12.8,13.95,12.0,12.65,51300
2015-04-16,00:00:00,13.1,13.1,12.0,12.3,13000
2015-04-17,00:00:00,12.1,13.45,11.6,12.25,86650
2015-04-20,00:00:00,12.9,12.9,11.85,12.0,12312
2015-04-21,00:00:00,11.9,12.45,11.65,11.95,5250
2015-04-22,00:00:00,11.5,12.4,11.5,11.65,7875
2015-04-23,00:00:00,12.6,12.8,12.0,12.35,34600
2015-04-24,00:00:00,12.0,12.5,11.6,11.7,19438
2015-04-27,00:00:00,12.25,12.3,11.35,11.35,8725
2015-04-28,00:00:00,11.25,12.1,11.25,11.6,8062
2015-04-29,00:00:00,11.85,12.0,11.6,11.9,5962
2015-04-30,00:00:00,11.45,12.1,11.25,11.75,43912
2015-05-04,00:00:00,11.25,12.6,11.25,12.15,26688
2015-05-05,00:00:00,12.4,12.8,12.0,12.3,53050
2015-05-06,00:00:00,11.9,12.4,11.9,12.25,27412
2015-05-07,00:00:00,12.15,12.15,11.05,11.35,56688
2015-05-08,00:00:00,11.6,12.2,11.45,11.95,57338
2015-05-11,00:00:00,12.45,12.45,11.45,12.0,33000
2015-05-12,00:00:00,12.4,12.4,11.7,12.1,49925
2015-05-13,00:00:00,12.0,12.7,11.75,11.8,8150
2015-05-14,00:00:00,12.45,12.55,11.9,12.15,29412
2015-05-15,00:00:00,12.7,12.7,12.0,12.3,42250
2015-05-18,00:00:00,12.8,12.8,12.1,12.15,40250
2015-05-19,00:00:00,12.55,12.55,12.1,12.15,3838
2015-05-20,00:00:00,11.9,13.6,11.9,13.05,51338
2015-05-21,00:00:00,14.0,14.0,12.4,12.85,15900
2015-05-22,00:00:00,13.35,13.35,11.85,12.1,49062
2015-05-25,00:00:00,12.45,12.75,12.05,12.25,29250
2015-05-26,00:00:00,12.25,13.85,12.2,12.35,98862
2015-05-27,00:00:00,12.9,12.9,11.6,11.95,38250
2015-05-28,00:00:00,12.5,12.5,11.45,11.65,84025
2015-05-29,00:00:00,12.25,12.65,11.75,12.05,45738
2015-06-01,00:00:00,12.5,12.5,11.65,11.7,19025
2015-06-02,00:00:00,11.6,11.9,11.55,11.65,23438
2015-06-03,00:00:00,11.5,11.6,11.2,11.25,16212
2015-06-04,00:00:00,11.3,11.45,11.1,11.15,22462
2015-06-05,00:00:00,10.9,11.5,10.9,11.35,7288
2015-06-08,00:00:00,11.6,11.8,11.0,11.1,34150
2015-06-09,00:00:00,10.9,11.3,10.9,10.9,8050
2015-06-10,00:00:00,11.6,11.6,10.9,11.0,50775
2015-06-11,00:00:00,10.9,11.3,10.55,10.7,43212
2015-06-12,00:00:00,11.5,11.5,10.65,10.7,6838
2015-06-15,00:00:00,11.5,11.5,11.05,11.05,375
2015-06-16,00:00:00,11.2,11.2,10.55,10.8,16025
2015-06-17,00:00:00,11.05,11.4,10.7,10.85,7912
2015-06-18,00:00:00,10.8,11.1,10.75,11.1,23688
2015-06-19,00:00:00,11.35,11.5,11.1,11.15,14675
2015-06-22,00:00:00,11.2,11.3,11.0,11.2,10075
2015-06-23,00:00:00,10.95,11.7,10.95,11.1,9475
2015-06-24,00:00:00,11.1,11.5,11.1,11.3,12812
2015-06-25,00:00:00,11.1,11.45,11.1,11.3,14262
2015-06-26,00:00:00,11.2,11.2,10.7,10.85,72788
2015-06-29,00:00:00,11.3,11.5,9.35,10.75,24312
2015-06-30,00:00:00,11.4,11.4,10.5,10.9,26588
2015-07-01,00:00:00,10.9,11.45,10.8,11.4,56425
2015-07-02,00:00:00,11.15,11.35,10.9,11.15,5275
2015-07-03,00:00:00,11.2,11.35,11.2,11.3,3000
2015-07-06,00:00:00,11.95,11.95,10.15,10.7,126875
2015-07-07,00:00:00,10.8,11.25,10.8,11.05,62800
2015-07-08,00:00:00,10.8,11.2,10.7,10.9,7175
2015-07-09,00:00:00,10.95,10.95,10.8,10.85,107662
2015-07-10,00:00:00,10.8,11.2,10.05,10.15,280588
2015-07-13,00:00:00,10.55,10.95,10.0,10.0,342750
2015-07-14,00:00:00,10.5,10.5,9.7,10.1,108688
2015-07-15,00:00:00,10.5,10.8,10.15,10.35,67162
2015-07-16,00:00:00,10.8,10.8,10.0,10.1,68725
2015-07-17,00:00:00,10.65,10.65,10.0,10.3,176500
2015-07-20,00:00:00,10.1,11.0,10.05,10.8,48950
2015-07-21,00:00:00,11.1,11.1,8.85,10.65,106175
2015-07-22,00:00:00,11.0,11.05,10.15,10.9,32325
2015-07-23,00:00:00,10.9,11.2,10.8,11.1,58388
2015-07-24,00:00:00,11.2,11.3,10.95,11.1,54762
2015-07-27,00:00:00,11.1,11.65,10.5,10.7,103862
2015-07-28,00:00:00,10.9,11.2,10.6,10.85,21125
2015-07-29,00:00:00,10.9,10.9,10.55,10.6,66412
2015-07-30,00:00:00,11.1,11.1,10.6,10.7,5288
2015-07-31,00:00:00,11.8,12.45,10.8,11.15,45138
2015-08-03,00:00:00,11.7,11.7,11.0,11.1,27112
2015-08-04,00:00:00,10.65,11.85,10.65,11.5,146750
2015-08-05,00:00:00,11.7,12.5,11.7,12.1,191938
2015-08-06,00:00:00,12.25,12.65,12.15,12.45,65588
2015-08-07,00:00:00,12.4,13.5,12.15,12.9,225750
2015-08-10,00:00:00,13.1,13.1,12.0,12.25,38112
2015-08-11,00:00:00,12.0,12.3,11.95,12.1,13025
2015-08-12,00:00:00,12.3,12.3,11.7,11.7,44562
2015-08-13,00:00:00,11.35,12.1,11.35,11.6,50488
2015-08-14,00:00:00,12.0,12.4,11.75,12.1,32450
2015-08-17,00:00:00,12.55,12.55,11.5,11.85,74100
2015-08-18,00:00:00,12.5,12.5,11.7,12.2,55988
2015-08-19,00:00:00,12.1,14.1,11.6,13.7,694675
2015-08-20,00:00:00,13.6,13.6,12.55,12.75,78312
