Date,Timestamp,Open,High,Low,Close,Volume
2024-09-06,00:00:00,389.0,431.15,378.4,400.0,26824688
2024-09-09,00:00:00,394.0,397.2,373.0,375.75,4307045
2024-09-10,00:00:00,377.7,388.7,356.15,365.25,2977636
2024-09-11,00:00:00,369.7,375.6,361.25,370.55,1512159
2024-09-12,00:00:00,376.0,377.0,363.0,364.9,680652
2024-09-13,00:00:00,366.0,367.9,358.0,359.45,1018873
2024-09-16,00:00:00,359.95,362.4,340.6,348.85,1513492
2024-09-17,00:00:00,347.9,367.3,343.15,361.7,1337164
2024-09-18,00:00:00,365.75,367.7,353.45,355.2,648370
2024-09-19,00:00:00,358.0,361.95,349.0,351.6,606426
2024-09-20,00:00:00,354.15,360.35,353.45,356.75,489770
2024-09-23,00:00:00,361.45,367.5,351.6,360.4,542528
2024-09-24,00:00:00,361.85,387.0,358.7,382.9,1974826
2024-09-25,00:00:00,385.7,385.7,367.0,370.85,893174
2024-09-26,00:00:00,367.25,369.9,354.35,357.9,620343
2024-09-27,00:00:00,357.6,359.5,350.1,351.0,241047
2024-09-30,00:00:00,351.05,385.0,343.85,382.05,1212327
2024-10-01,00:00:00,380.55,393.3,380.55,386.1,1093398
2024-10-03,00:00:00,422.0,428.2,401.55,411.05,6154375
2024-10-04,00:00:00,410.0,410.0,380.7,383.4,1347711
2024-10-07,00:00:00,386.0,393.45,360.0,362.65,615411
2024-10-08,00:00:00,360.0,369.7,357.35,363.1,971989
2024-10-09,00:00:00,368.0,380.0,366.65,373.95,405806
2024-10-10,00:00:00,377.8,379.0,359.0,368.1,608453
2024-10-11,00:00:00,368.0,382.0,362.5,379.3,783242
2024-10-14,00:00:00,382.8,387.0,369.5,372.5,673045
2024-10-15,00:00:00,376.45,376.45,359.45,360.9,766860
2024-10-16,00:00:00,363.5,364.6,357.0,360.2,373088
2024-10-17,00:00:00,363.0,366.5,354.15,356.35,307386
2024-10-18,00:00:00,356.0,357.5,350.1,355.2,145682
2024-10-21,00:00:00,356.9,360.0,346.0,349.15,162974
