Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,1.75,1.75,1.55,1.55,5480
2015-04-07,00:00:00,1.3,1.3,1.3,1.3,100
2015-04-08,00:00:00,1.4,1.6,1.4,1.6,5600
2015-04-09,00:00:00,1.3,1.9,1.3,1.8,12640
2015-04-10,00:00:00,1.8,1.8,1.6,1.8,1560
2015-04-13,00:00:00,1.55,2.1,1.55,2.1,12000
2015-04-15,00:00:00,2.2,2.5,2.2,2.5,25100
2015-04-16,00:00:00,2.3,2.5,2.3,2.5,4070
2015-04-17,00:00:00,2.7,2.75,2.5,2.75,13800
2015-04-20,00:00:00,3.0,3.0,2.65,3.0,24780
2015-04-21,00:00:00,2.9,3.2,2.75,3.2,3010
2015-04-22,00:00:00,3.05,3.25,3.05,3.05,17060
2015-04-24,00:00:00,2.9,2.9,2.9,2.9,850
2015-04-30,00:00:00,3.0,3.0,3.0,3.0,200
2015-05-04,00:00:00,3.0,3.0,3.0,3.0,20
2015-05-20,00:00:00,2.85,3.0,2.85,3.0,3830
2015-05-26,00:00:00,2.85,2.85,2.85,2.85,500
2015-06-29,00:00:00,2.7,2.7,2.7,2.7,4000
2015-07-01,00:00:00,2.65,2.65,2.65,2.65,10
2015-07-03,00:00:00,2.55,2.55,2.55,2.55,10
2015-07-07,00:00:00,2.4,2.4,2.4,2.4,110
2015-07-09,00:00:00,2.3,2.3,2.3,2.3,1400
2015-07-14,00:00:00,2.25,2.25,2.2,2.2,1500
2015-07-16,00:00:00,2.1,2.1,2.05,2.05,2300
2015-07-27,00:00:00,2.0,2.0,2.0,2.0,18700
2015-07-29,00:00:00,2.1,2.1,2.1,2.1,100
2015-07-30,00:00:00,2.2,2.2,2.2,2.2,4600
2015-07-31,00:00:00,2.35,2.35,2.1,2.1,51020
2015-08-03,00:00:00,2.2,2.2,2.0,2.2,200
2015-08-04,00:00:00,2.3,2.3,2.3,2.3,2190
2015-08-05,00:00:00,2.4,2.4,2.2,2.2,12750
2015-08-06,00:00:00,2.1,2.15,2.1,2.15,2490
2015-08-07,00:00:00,2.05,2.25,2.05,2.25,6000
2015-08-13,00:00:00,2.15,2.35,2.15,2.35,2150
2015-08-18,00:00:00,2.45,2.45,2.45,2.45,110
2015-08-20,00:00:00,2.35,2.35,2.35,2.35,110
2015-08-21,00:00:00,2.25,2.25,2.2,2.2,6000
2015-08-25,00:00:00,2.1,2.1,2.1,2.1,25000
2015-08-26,00:00:00,2.2,2.2,2.2,2.2,2000
2015-08-31,00:00:00,2.1,2.1,2.1,2.1,1000
2015-09-01,00:00:00,2.0,2.0,2.0,2.0,3750
2015-09-02,00:00:00,1.9,1.9,1.9,1.9,3100
2015-09-08,00:00:00,1.8,1.8,1.8,1.8,3310
2015-09-09,00:00:00,1.7,1.9,1.7,1.75,9860
2015-09-10,00:00:00,1.7,1.8,1.7,1.75,2910
2015-09-11,00:00:00,1.8,1.8,1.65,1.65,8720
2015-09-14,00:00:00,1.75,1.75,1.75,1.75,50
2015-09-18,00:00:00,1.8,1.8,1.8,1.8,300
2015-09-24,00:00:00,1.9,1.9,1.9,1.9,39020
2015-09-28,00:00:00,1.9,2.0,1.8,1.8,8530
2015-09-29,00:00:00,1.9,1.9,1.75,1.8,5500
2015-09-30,00:00:00,1.7,1.7,1.7,1.7,12000
2015-10-01,00:00:00,1.65,1.65,1.6,1.6,7760
2015-10-15,00:00:00,1.55,1.7,1.55,1.7,10190
2015-10-29,00:00:00,1.75,1.75,1.6,1.75,1200
2015-11-20,00:00:00,1.65,1.65,1.65,1.65,100
2015-11-24,00:00:00,1.6,1.75,1.6,1.75,2880
2015-12-02,00:00:00,1.8,1.8,1.8,1.8,4000
2015-12-07,00:00:00,1.75,1.75,1.75,1.75,2020
2015-12-09,00:00:00,1.65,1.65,1.65,1.65,5500
2015-12-10,00:00:00,1.55,1.55,1.55,1.55,2000
2015-12-16,00:00:00,1.5,1.5,1.5,1.5,3000
2015-12-17,00:00:00,1.4,1.4,1.4,1.4,69360
2015-12-18,00:00:00,1.35,1.5,1.35,1.5,6080
2015-12-23,00:00:00,1.4,1.55,1.4,1.55,1060
2015-12-24,00:00:00,1.6,1.6,1.6,1.6,490
2016-01-04,00:00:00,1.65,1.65,1.65,1.65,1700
2016-01-06,00:00:00,1.65,1.75,1.55,1.7,1740
2016-01-07,00:00:00,1.75,1.75,1.75,1.75,1000
2016-01-22,00:00:00,1.8,1.8,1.8,1.8,4700
2016-01-25,00:00:00,1.85,1.9,1.85,1.9,4652430
2016-01-28,00:00:00,1.95,1.95,1.8,1.8,5500
2016-02-18,00:00:00,1.9,1.9,1.9,1.9,10
2016-03-02,00:00:00,1.8,1.8,1.8,1.8,5000
2016-03-03,00:00:00,1.8,1.8,1.8,1.8,1000
2016-03-04,00:00:00,1.9,1.9,1.9,1.9,2000
2016-03-30,00:00:00,1.9,1.9,1.8,1.8,6693830
2016-04-22,00:00:00,1.7,1.7,1.7,1.7,280
2016-05-10,00:00:00,1.7,1.7,1.7,1.7,5000
2016-05-25,00:00:00,1.6,1.6,1.6,1.6,200
2016-07-01,00:00:00,1.6,1.6,1.6,1.6,10
2016-08-04,00:00:00,1.55,1.55,1.55,1.55,1000
2016-08-05,00:00:00,1.45,1.55,1.45,1.55,1500
2016-08-08,00:00:00,1.5,1.6,1.5,1.6,3000
2016-08-10,00:00:00,1.55,1.55,1.55,1.55,1000
2016-08-12,00:00:00,1.45,1.45,1.45,1.45,7000
2016-08-17,00:00:00,1.4,1.4,1.4,1.4,1330
2016-08-23,00:00:00,1.3,1.3,1.3,1.3,1000
2016-08-30,00:00:00,1.25,1.4,1.25,1.4,2000
2016-08-31,00:00:00,1.3,1.3,1.3,1.3,280
2016-09-01,00:00:00,1.3,1.3,1.25,1.25,11900
2016-09-02,00:00:00,1.25,1.25,1.25,1.25,1610
2016-09-07,00:00:00,1.2,1.2,1.2,1.2,2840
2016-09-08,00:00:00,1.15,1.15,1.15,1.15,56400
2016-09-09,00:00:00,1.1,1.1,1.1,1.1,2120
2016-09-12,00:00:00,1.1,1.1,1.1,1.1,900
2016-09-16,00:00:00,1.05,1.05,1.05,1.05,9000
2016-09-22,00:00:00,1.1,1.1,1.0,1.0,1500
2016-09-26,00:00:00,0.95,0.95,0.95,0.95,15000
2016-09-29,00:00:00,0.95,0.95,0.95,0.95,500
2016-09-30,00:00:00,0.95,0.95,0.95,0.95,2050
2016-10-03,00:00:00,0.9,0.9,0.9,0.9,5801080
2016-10-14,00:00:00,0.9,0.9,0.9,0.9,2210
2016-10-17,00:00:00,0.95,0.95,0.95,0.95,10
2016-10-18,00:00:00,1.0,1.0,1.0,1.0,10000
2016-10-25,00:00:00,1.05,1.05,1.05,1.05,300
