Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,169.75,171.4,166.25,170.25,16884
2015-04-06,00:00:00,170.75,174.5,166.85,168.9,50784
2015-04-07,00:00:00,168.75,171.25,166.75,168.1,18016
2015-04-08,00:00:00,165.4,170.5,163.9,168.8,297552
2015-04-09,00:00:00,169.95,181.0,165.4,177.95,145596
2015-04-10,00:00:00,181.6,185.0,179.3,180.7,173824
2015-04-13,00:00:00,181.75,181.75,170.75,178.05,66924
2015-04-15,00:00:00,179.25,179.25,173.0,174.7,32260
2015-04-16,00:00:00,175.25,183.6,169.9,179.1,56392
2015-04-17,00:00:00,180.0,180.0,171.25,172.2,35220
2015-04-20,00:00:00,175.0,175.0,162.5,164.9,42160
2015-04-21,00:00:00,163.45,168.7,158.5,164.3,55540
2015-04-22,00:00:00,164.5,167.25,162.5,165.2,43364
2015-04-23,00:00:00,166.8,173.75,164.5,169.4,23088
2015-04-24,00:00:00,170.05,171.0,165.3,167.65,54216
2015-04-27,00:00:00,167.75,168.75,159.2,165.2,88984
2015-04-28,00:00:00,161.25,167.9,161.25,164.9,11080
2015-04-29,00:00:00,162.5,173.6,162.5,166.05,222148
2015-04-30,00:00:00,165.25,169.4,162.75,167.65,28844
2015-05-04,00:00:00,168.75,174.25,166.5,168.8,27476
2015-05-05,00:00:00,169.5,173.5,168.8,172.5,43632
2015-05-06,00:00:00,171.5,172.4,166.0,167.3,47752
2015-05-07,00:00:00,165.25,167.5,161.3,162.3,45892
2015-05-08,00:00:00,160.0,165.75,160.0,163.05,16828
2015-05-11,00:00:00,165.0,170.4,163.0,168.55,44896
2015-05-12,00:00:00,169.75,174.85,164.4,167.85,21660
2015-05-13,00:00:00,165.5,171.3,165.5,170.8,42592
2015-05-14,00:00:00,167.75,173.25,167.75,172.25,15240
2015-05-15,00:00:00,171.0,174.05,169.75,171.6,34752
2015-05-18,00:00:00,172.5,173.85,168.75,171.4,57712
2015-05-19,00:00:00,177.75,178.75,165.35,168.3,545856
2015-05-20,00:00:00,168.5,168.5,159.75,162.8,320360
2015-05-21,00:00:00,160.0,167.4,160.0,164.5,79244
2015-05-22,00:00:00,162.6,167.25,162.55,164.8,52960
2015-05-25,00:00:00,164.75,167.25,163.4,164.2,25084
2015-05-26,00:00:00,164.6,166.5,162.5,163.8,32076
2015-05-27,00:00:00,164.05,164.5,162.5,163.8,29072
2015-05-28,00:00:00,162.5,166.0,162.5,163.9,23576
2015-05-29,00:00:00,163.0,164.95,160.9,163.4,24600
2015-06-01,00:00:00,161.8,165.0,161.8,163.5,28692
2015-06-02,00:00:00,167.25,167.25,160.0,160.6,58508
2015-06-03,00:00:00,160.9,162.05,148.0,150.85,36636
2015-06-04,00:00:00,151.4,152.05,142.8,144.05,98772
2015-06-05,00:00:00,140.65,152.75,140.65,149.8,57196
2015-06-08,00:00:00,150.0,151.25,148.75,149.05,47596
2015-06-09,00:00:00,150.3,151.25,148.25,149.8,78460
2015-06-10,00:00:00,149.75,153.5,149.75,151.2,12808
2015-06-11,00:00:00,154.0,154.0,142.75,144.3,334812
2015-06-12,00:00:00,142.75,147.25,140.25,145.05,21908
2015-06-15,00:00:00,147.25,147.25,142.8,146.45,12960
2015-06-16,00:00:00,145.0,148.75,145.0,147.0,14304
2015-06-17,00:00:00,146.0,153.0,145.9,152.2,17276
2015-06-18,00:00:00,155.0,155.0,150.25,151.15,7224
2015-06-19,00:00:00,151.1,154.75,150.5,153.5,8032
2015-06-22,00:00:00,156.5,156.5,149.1,150.7,60228
2015-06-23,00:00:00,154.9,154.9,150.0,151.25,19764
2015-06-24,00:00:00,151.4,154.5,150.3,151.9,41092
2015-06-25,00:00:00,152.0,152.75,149.75,151.4,33588
2015-06-26,00:00:00,149.55,152.75,149.55,150.65,45944
2015-06-29,00:00:00,150.0,152.2,146.35,151.1,45084
2015-06-30,00:00:00,152.5,152.5,149.25,150.7,11356
2015-07-01,00:00:00,152.25,155.35,150.15,153.9,37556
2015-07-02,00:00:00,153.8,156.65,152.5,155.65,28872
2015-07-03,00:00:00,155.0,156.25,152.5,155.0,21576
2015-07-06,00:00:00,150.4,156.25,150.4,155.6,26796
2015-07-07,00:00:00,156.25,170.45,156.0,163.4,318916
2015-07-08,00:00:00,161.5,163.5,157.75,158.4,39872
2015-07-09,00:00:00,159.6,166.0,159.6,160.1,55080
2015-07-10,00:00:00,162.5,175.8,162.5,169.15,2408072
2015-07-13,00:00:00,171.75,174.4,170.3,171.45,274504
2015-07-14,00:00:00,172.5,176.25,170.5,171.3,193820
2015-07-15,00:00:00,171.5,172.25,170.0,170.55,58536
2015-07-16,00:00:00,170.0,171.75,167.6,168.8,61728
2015-07-17,00:00:00,168.9,170.5,167.5,168.1,32700
2015-07-20,00:00:00,168.5,172.5,165.6,170.2,91560
2015-07-21,00:00:00,171.5,171.5,168.75,169.15,22180
2015-07-22,00:00:00,169.15,170.75,168.5,169.05,43864
2015-07-23,00:00:00,169.95,170.0,168.0,168.75,47408
2015-07-24,00:00:00,168.95,170.5,166.3,167.15,29116
2015-07-27,00:00:00,165.25,167.4,162.5,166.25,26924
2015-07-28,00:00:00,166.0,170.1,166.0,167.7,32984
2015-07-29,00:00:00,169.15,172.5,167.75,170.75,42244
2015-07-30,00:00:00,170.75,172.5,168.4,169.35,16188
2015-07-31,00:00:00,168.5,170.25,167.8,169.5,21060
2015-08-03,00:00:00,171.2,178.9,170.75,177.55,183292
2015-08-04,00:00:00,178.75,179.25,170.25,173.25,128044
2015-08-05,00:00:00,171.25,171.25,161.25,165.25,330368
2015-08-06,00:00:00,167.25,167.25,164.75,165.1,82044
2015-08-07,00:00:00,163.75,168.5,163.75,165.0,45820
2015-08-10,00:00:00,165.0,169.5,165.0,168.05,73132
