Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,80.95,82.25,79.95,81.8,35115
2015-04-06,00:00:00,82.0,84.5,81.34,83.45,42568
2015-04-07,00:00:00,83.8,83.8,82.05,82.35,52098
2015-04-08,00:00:00,82.85,85.5,82.45,83.1,66629
2015-04-09,00:00:00,82.9,84.5,82.25,82.6,51326
2015-04-10,00:00:00,82.9,87.2,82.6,85.9,127148
2015-04-13,00:00:00,85.6,86.75,84.2,85.65,94285
2015-04-15,00:00:00,85.5,88.3,84.35,85.3,116757
2015-04-16,00:00:00,85.75,86.0,83.2,84.35,52695
2015-04-17,00:00:00,84.0,86.4,84.0,85.35,46514
2015-04-20,00:00:00,84.15,86.75,83.25,84.05,96973
2015-04-21,00:00:00,84.6,85.75,83.5,84.8,62595
2015-04-22,00:00:00,84.25,85.35,83.25,83.6,34922
2015-04-23,00:00:00,84.0,84.95,82.2,82.8,40454
2015-04-24,00:00:00,82.55,83.2,79.25,81.09,59476
2015-04-27,00:00:00,80.55,80.7,77.2,79.95,69551
2015-04-28,00:00:00,80.0,80.34,77.0,79.84,62729
2015-04-29,00:00:00,79.75,81.84,79.05,79.7,22953
2015-04-30,00:00:00,79.25,80.9,77.0,79.2,81055
2015-05-04,00:00:00,80.0,81.5,79.05,80.84,41207
2015-05-05,00:00:00,81.0,81.5,80.5,80.75,26624
2015-05-06,00:00:00,80.0,80.8,78.59,79.2,37873
2015-05-07,00:00:00,78.84,78.84,76.3,76.45,27915
2015-05-08,00:00:00,78.7,78.75,76.5,76.9,40109
2015-05-11,00:00:00,78.8,78.8,76.84,77.84,66627
2015-05-12,00:00:00,78.25,78.25,76.5,76.75,27258
2015-05-13,00:00:00,78.2,78.45,76.8,77.65,35673
2015-05-14,00:00:00,77.65,79.5,76.25,78.05,16265
2015-05-15,00:00:00,79.0,80.5,78.0,79.59,27516
2015-05-18,00:00:00,81.0,93.0,81.0,83.8,186580
2015-05-19,00:00:00,83.95,86.0,83.4,83.5,58207
2015-05-20,00:00:00,84.55,86.0,83.85,84.05,41600
2015-05-21,00:00:00,84.6,85.05,83.8,84.25,25159
2015-05-22,00:00:00,84.3,85.3,83.3,84.7,43586
2015-05-25,00:00:00,88.2,89.8,84.3,84.8,268006
2015-05-26,00:00:00,83.25,86.2,83.1,84.4,62027
2015-05-27,00:00:00,84.0,86.5,83.5,85.15,127668
2015-05-28,00:00:00,85.05,86.5,84.0,84.5,73475
2015-05-29,00:00:00,84.7,85.2,82.7,83.45,47188
2015-06-01,00:00:00,83.6,84.2,82.0,82.45,31689
2015-06-02,00:00:00,83.5,83.5,80.0,80.34,31964
2015-06-03,00:00:00,80.84,80.84,74.4,76.9,77594
2015-06-04,00:00:00,77.9,78.5,76.15,77.05,26665
2015-06-05,00:00:00,77.0,77.5,75.0,76.95,56301
2015-06-08,00:00:00,76.5,77.2,75.0,76.45,27594
2015-06-09,00:00:00,74.05,76.95,74.05,75.0,26368
2015-06-10,00:00:00,74.5,77.45,74.5,76.7,20429
2015-06-11,00:00:00,77.0,77.5,74.09,74.95,46265
2015-06-12,00:00:00,75.9,76.5,74.95,75.5,15374
2015-06-15,00:00:00,75.7,77.5,74.5,77.15,35760
2015-06-16,00:00:00,76.0,77.5,75.59,77.0,28413
2015-06-17,00:00:00,77.0,79.9,76.5,78.75,67732
2015-06-18,00:00:00,82.95,84.6,80.2,81.34,1132382
2015-06-19,00:00:00,82.0,82.85,79.5,80.75,113666
2015-06-22,00:00:00,80.95,81.7,79.3,80.0,299029
2015-06-23,00:00:00,79.3,81.8,78.3,79.65,61194
2015-06-24,00:00:00,80.0,83.6,80.0,81.95,215203
2015-06-25,00:00:00,81.0,82.65,80.7,81.09,69014
2015-06-26,00:00:00,80.7,89.65,79.8,86.85,2149860
2015-06-29,00:00:00,85.2,87.9,81.0,86.7,318152
2015-06-30,00:00:00,87.0,94.6,86.55,93.55,1184995
2015-07-01,00:00:00,96.0,97.0,91.1,91.8,742119
2015-07-02,00:00:00,91.25,94.9,91.25,92.25,362150
2015-07-03,00:00:00,92.25,92.9,90.15,90.85,130769
2015-07-06,00:00:00,90.2,98.4,88.0,98.0,764518
2015-07-07,00:00:00,99.2,101.25,96.0,96.8,837918
2015-07-08,00:00:00,94.9,100.8,94.05,97.1,610254
