Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,4.1,4.35,4.1,4.3,90640
2015-04-06,00:00:00,4.65,4.65,4.15,4.35,169280
2015-04-07,00:00:00,4.3,4.55,4.3,4.5,69480
2015-04-08,00:00:00,4.65,4.65,4.3,4.45,178760
2015-04-09,00:00:00,4.4,4.6,4.35,4.5,143610
2015-04-10,00:00:00,4.4,4.65,4.4,4.55,231710
2015-04-13,00:00:00,4.65,4.85,4.6,4.8,437100
2015-04-15,00:00:00,4.8,4.9,4.7,4.8,101780
2015-04-16,00:00:00,4.85,4.85,4.6,4.7,131530
2015-04-17,00:00:00,4.65,4.75,4.55,4.6,127060
2015-04-20,00:00:00,4.5,4.65,4.5,4.6,41570
2015-04-21,00:00:00,4.4,4.65,4.4,4.5,194760
2015-04-22,00:00:00,4.95,4.95,4.4,4.5,164510
2015-04-23,00:00:00,4.5,4.55,4.5,4.5,79400
2015-04-24,00:00:00,4.5,4.5,4.2,4.25,52660
2015-04-27,00:00:00,4.2,4.3,4.05,4.1,57280
2015-04-28,00:00:00,4.1,4.3,4.1,4.15,79790
2015-04-29,00:00:00,4.1,4.25,4.1,4.15,162080
2015-04-30,00:00:00,4.25,4.4,4.15,4.2,49870
2015-05-04,00:00:00,4.3,4.4,4.2,4.3,69100
2015-05-05,00:00:00,4.3,4.4,4.2,4.3,9420
2015-05-06,00:00:00,4.25,4.3,4.1,4.15,10960
2015-05-07,00:00:00,4.1,4.3,3.9,4.2,64450
2015-05-08,00:00:00,4.4,4.45,4.15,4.4,246760
2015-05-11,00:00:00,4.35,4.5,4.2,4.35,49060
2015-05-12,00:00:00,4.35,4.4,4.2,4.35,16700
2015-05-13,00:00:00,4.35,4.35,4.1,4.25,39380
2015-05-14,00:00:00,4.3,4.8,4.1,4.4,21270
2015-05-15,00:00:00,4.4,4.85,4.3,4.8,319690
2015-05-18,00:00:00,4.65,5.1,4.65,4.8,364710
2015-05-19,00:00:00,4.8,5.0,4.7,4.9,391680
2015-05-20,00:00:00,4.7,5.05,4.5,4.65,223770
2015-05-21,00:00:00,4.85,4.85,4.45,4.55,47360
2015-05-22,00:00:00,4.8,5.0,4.55,4.55,959240
2015-05-25,00:00:00,4.5,4.65,4.45,4.55,6000
2015-05-26,00:00:00,4.7,4.7,4.35,4.4,13800
2015-05-27,00:00:00,4.35,4.6,4.15,4.2,72620
2015-05-28,00:00:00,4.2,4.4,4.2,4.25,39060
2015-05-29,00:00:00,4.2,4.25,4.2,4.2,16970
2015-06-01,00:00:00,4.35,4.4,4.2,4.25,16380
2015-06-02,00:00:00,4.2,4.35,4.0,4.05,160420
2015-06-03,00:00:00,4.1,4.25,3.75,3.95,130860
2015-06-04,00:00:00,3.95,4.2,3.95,4.0,21850
2015-06-05,00:00:00,4.1,4.1,3.9,3.95,7410
2015-06-08,00:00:00,4.0,4.1,3.7,3.8,52420
2015-06-09,00:00:00,3.8,3.8,3.8,3.8,3470
2015-06-10,00:00:00,3.85,4.0,3.85,3.9,14790
2015-06-11,00:00:00,4.0,4.1,3.9,4.0,49240
2015-06-12,00:00:00,3.95,4.0,3.75,3.85,74700
2015-06-15,00:00:00,4.15,4.15,3.85,4.0,50160
2015-06-16,00:00:00,3.95,4.0,3.85,3.95,10810
2015-06-17,00:00:00,3.9,4.05,3.8,4.0,8590
2015-06-18,00:00:00,3.95,4.1,3.95,3.95,20950
2015-06-19,00:00:00,4.0,4.0,3.95,4.0,154550
2015-06-22,00:00:00,4.0,4.05,3.9,4.0,23300
2015-06-23,00:00:00,4.05,4.1,3.95,4.0,15460
2015-06-24,00:00:00,4.2,4.2,3.95,4.05,3220
2015-06-25,00:00:00,4.0,4.1,3.9,3.95,11940
2015-06-26,00:00:00,3.9,4.0,3.9,3.95,11320
2015-06-29,00:00:00,3.9,4.0,3.85,3.9,17430
2015-06-30,00:00:00,3.9,3.95,3.9,3.9,10760
