Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,42.1,48.0,42.1,48.0,74
2015-04-06,00:00:00,48.05,50.3,48.05,48.6,3929
2015-04-07,00:00:00,49.0,49.0,46.1,48.65,868
2015-04-08,00:00:00,51.2,51.2,47.05,47.5,1045
2015-04-09,00:00:00,47.2,47.2,47.2,47.2,73
2015-04-10,00:00:00,46.0,50.9,46.0,48.6,730
2015-04-13,00:00:00,49.5,53.0,46.2,49.9,1696
2015-04-15,00:00:00,48.6,52.5,48.6,51.5,5159
2015-04-16,00:00:00,51.0,51.55,49.0,49.85,1354
2015-04-17,00:00:00,49.0,55.95,48.05,48.8,1005
2015-04-20,00:00:00,51.0,51.0,46.5,46.5,2358
2015-04-21,00:00:00,46.55,49.0,46.5,47.65,708
2015-04-22,00:00:00,54.7,54.7,47.15,48.5,2018
2015-04-23,00:00:00,49.95,52.7,49.0,50.9,8782
2015-04-24,00:00:00,51.85,53.0,49.5,50.0,1324
2015-04-27,00:00:00,48.0,50.0,46.8,46.9,999
2015-04-28,00:00:00,46.7,49.95,46.0,49.65,360
2015-04-29,00:00:00,48.0,48.45,46.5,47.15,220
2015-04-30,00:00:00,46.0,47.95,46.0,46.15,329
2015-05-04,00:00:00,46.0,48.05,46.0,48.05,210
2015-05-05,00:00:00,48.0,49.0,48.0,49.0,324
2015-05-06,00:00:00,48.0,48.0,46.55,48.0,2001
2015-05-07,00:00:00,48.0,48.0,46.75,48.0,3679
2015-05-08,00:00:00,46.0,52.0,46.0,50.1,11206
2015-05-11,00:00:00,49.0,50.25,47.2,47.9,740
2015-05-12,00:00:00,49.35,49.35,47.0,47.0,335
2015-05-13,00:00:00,47.1,48.95,47.1,48.75,227
2015-05-14,00:00:00,48.5,48.9,48.3,48.3,250
2015-05-15,00:00:00,48.3,48.3,48.3,48.3,1000
2015-05-18,00:00:00,48.0,48.0,46.6,46.7,696
2015-05-19,00:00:00,46.0,47.05,44.0,47.0,2078
2015-05-20,00:00:00,46.0,46.6,44.0,46.6,773
2015-05-21,00:00:00,46.0,49.0,46.0,46.5,138
2015-05-22,00:00:00,46.0,48.0,46.0,47.7,606
2015-05-25,00:00:00,45.0,47.75,44.0,46.7,8228
2015-05-26,00:00:00,53.35,53.35,46.05,47.0,3945
2015-05-27,00:00:00,46.55,46.75,46.55,46.7,217
2015-05-28,00:00:00,46.55,46.55,46.55,46.55,267
2015-05-29,00:00:00,46.15,47.9,46.0,46.05,1492
2015-06-01,00:00:00,53.0,55.25,53.0,55.25,7128
2015-06-02,00:00:00,58.9,58.9,52.1,53.1,15661
2015-06-03,00:00:00,52.1,54.55,49.65,53.0,1680
2015-06-04,00:00:00,50.15,52.2,50.1,52.2,776
2015-06-05,00:00:00,52.0,54.0,52.0,52.4,1118
2015-06-08,00:00:00,53.2,53.2,48.55,51.65,714
2015-06-09,00:00:00,51.05,51.9,49.3,51.9,155
2015-06-10,00:00:00,51.85,51.95,50.45,51.0,179
2015-06-11,00:00:00,50.05,52.0,49.25,50.5,1385
2015-06-12,00:00:00,51.0,51.0,49.0,50.0,430
2015-06-15,00:00:00,50.0,51.1,47.9,47.9,3282
2015-06-16,00:00:00,49.5,49.5,45.55,47.55,737
2015-06-17,00:00:00,45.3,47.5,43.5,47.15,18173
2015-06-18,00:00:00,45.45,49.75,45.45,47.45,800
2015-06-19,00:00:00,45.45,49.0,45.45,48.95,1414
2015-06-22,00:00:00,49.5,50.0,48.45,49.4,1651
2015-06-23,00:00:00,48.5,50.0,48.5,49.75,3610
2015-06-24,00:00:00,53.0,53.0,49.1,49.25,1650
2015-06-25,00:00:00,50.0,53.0,50.0,52.0,2835
2015-06-26,00:00:00,54.8,58.8,49.5,55.55,10482
2015-06-29,00:00:00,52.6,56.85,51.1,55.2,8556
2015-06-30,00:00:00,58.6,63.0,55.65,60.3,7980
2015-07-01,00:00:00,63.8,65.0,58.7,60.0,3249
2015-07-02,00:00:00,63.0,63.0,59.05,60.15,2567
2015-07-03,00:00:00,60.0,67.75,59.15,64.3,14013
2015-07-06,00:00:00,66.0,77.15,66.0,76.4,74253
2015-07-07,00:00:00,81.75,81.75,69.59,70.55,25236
2015-07-08,00:00:00,74.3,81.0,70.0,79.05,59012
2015-07-09,00:00:00,83.5,83.5,76.05,76.5,18481
2015-07-10,00:00:00,77.5,77.9,71.34,75.34,10841
2015-07-13,00:00:00,77.9,81.9,76.0,77.09,8206
2015-07-14,00:00:00,76.0,84.8,76.0,82.85,52884
2015-07-15,00:00:00,79.15,86.0,75.59,78.95,27032
2015-07-16,00:00:00,77.3,81.0,77.3,79.95,12847
2015-07-17,00:00:00,78.0,79.7,78.0,78.8,3493
2015-07-20,00:00:00,76.5,83.0,76.5,81.25,10711
2015-07-21,00:00:00,83.0,83.0,76.34,79.34,7645
2015-07-22,00:00:00,76.05,81.0,76.05,78.3,3186
2015-07-23,00:00:00,82.0,82.8,78.34,82.1,8199
2015-07-24,00:00:00,80.05,84.8,80.0,80.59,10416
2015-07-27,00:00:00,79.3,84.0,79.3,80.65,7568
2015-07-28,00:00:00,80.0,82.5,76.15,78.65,7312
2015-07-29,00:00:00,77.0,81.9,77.0,77.95,9991
2015-07-30,00:00:00,81.95,81.95,77.15,77.95,14932
2015-07-31,00:00:00,77.0,77.95,74.8,75.9,12589
2015-08-03,00:00:00,78.0,82.9,78.0,81.5,11146
2015-08-04,00:00:00,78.0,81.59,78.0,79.5,2882
2015-08-05,00:00:00,78.5,83.75,78.45,81.15,7328
2015-08-06,00:00:00,80.95,82.5,77.45,79.75,3646
2015-08-07,00:00:00,75.5,79.84,73.5,75.9,6996
2015-08-10,00:00:00,74.0,76.0,72.09,74.65,6114
2015-08-11,00:00:00,69.2,77.9,69.2,75.0,3186
2015-08-12,00:00:00,74.75,74.75,72.05,72.05,827
2015-08-13,00:00:00,81.45,81.45,71.15,72.05,2214
2015-08-14,00:00:00,73.0,75.45,57.65,58.35,57309
2015-08-17,00:00:00,57.0,63.5,56.0,61.1,11772
2015-08-18,00:00:00,58.0,62.5,58.0,60.95,8501
2015-08-19,00:00:00,59.95,62.0,59.7,60.15,7313
2015-08-20,00:00:00,59.1,61.35,58.4,60.0,6876
2015-08-21,00:00:00,54.65,59.75,54.65,59.5,6606
2015-08-24,00:00:00,59.5,59.5,52.0,52.05,8190
2015-08-25,00:00:00,50.5,55.1,50.0,54.35,9773
2015-08-26,00:00:00,55.0,58.8,54.6,56.1,1843
2015-08-27,00:00:00,54.9,60.95,52.95,59.6,3929
2015-08-28,00:00:00,60.75,60.75,55.1,58.15,2292
2015-08-31,00:00:00,60.0,60.0,57.6,57.6,1719
2015-09-01,00:00:00,58.4,60.25,52.3,54.6,1611
2015-09-02,00:00:00,58.2,58.2,54.25,56.05,1040
2015-09-03,00:00:00,54.45,60.85,54.45,55.55,1252
