Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,824.7,837.9,819.0,828.8,6754
2015-04-06,00:00:00,835.0,838.0,830.0,835.0,7516
2015-04-07,00:00:00,849.0,860.0,836.0,854.35,7930
2015-04-08,00:00:00,859.9,910.0,855.2,889.15,32131
2015-04-09,00:00:00,900.0,911.0,875.0,878.95,7153
2015-04-10,00:00:00,868.0,895.95,860.2,866.05,8825
2015-04-13,00:00:00,868.7,887.85,868.7,879.2,36082
2015-04-15,00:00:00,888.0,890.0,860.0,866.55,10237
2015-04-16,00:00:00,860.25,875.3,860.0,866.3,4361
2015-04-17,00:00:00,866.0,878.55,858.05,862.25,5158
2015-04-20,00:00:00,1034.7,1034.7,950.2,986.35,328511
2015-04-21,00:00:00,985.0,999.0,965.25,982.45,88712
2015-04-22,00:00:00,995.0,1014.9,961.25,977.25,107118
2015-04-23,00:00:00,929.0,969.75,892.85,903.1,230296
2015-04-24,00:00:00,896.7,901.65,874.0,878.4,47480
2015-04-27,00:00:00,875.35,880.0,860.25,870.5,22515
2015-04-28,00:00:00,871.05,884.9,863.05,877.7,11814
2015-04-29,00:00:00,871.0,885.0,866.0,878.15,10027
2015-04-30,00:00:00,872.05,880.0,846.0,850.6,21186
2015-05-04,00:00:00,867.75,867.75,830.55,833.15,43755
2015-05-05,00:00:00,838.95,843.0,831.0,834.45,23894
2015-05-06,00:00:00,834.15,838.95,826.0,835.6,10948
2015-05-07,00:00:00,844.75,844.75,830.5,832.85,9940
2015-05-08,00:00:00,842.0,843.95,830.0,832.15,11631
2015-05-11,00:00:00,835.0,835.0,825.75,827.65,17438
2015-05-12,00:00:00,830.0,833.85,822.05,824.3,9957
2015-05-13,00:00:00,824.0,835.0,821.25,830.05,16957
2015-05-14,00:00:00,830.1,834.8,815.05,820.15,13916
2015-05-15,00:00:00,815.0,826.5,815.0,817.8,6101
2015-05-18,00:00:00,817.5,824.85,814.95,817.9,14782
2015-05-19,00:00:00,818.1,826.95,815.55,819.75,9890
2015-05-20,00:00:00,819.75,820.05,812.4,814.35,34173
2015-05-21,00:00:00,824.65,827.95,809.0,810.7,31665
2015-05-22,00:00:00,813.0,820.0,808.05,809.55,27507
2015-05-25,00:00:00,814.75,814.75,806.0,809.95,12581
2015-05-26,00:00:00,813.9,820.0,805.4,810.35,29926
2015-05-27,00:00:00,806.5,812.85,804.05,806.25,15758
2015-05-28,00:00:00,806.6,810.0,801.95,803.2,23338
2015-05-29,00:00:00,807.95,813.0,803.25,806.9,10687
2015-06-01,00:00:00,808.95,814.0,803.95,807.45,12096
2015-06-02,00:00:00,810.0,810.0,802.0,807.5,12147
2015-06-03,00:00:00,807.9,828.95,805.05,810.5,26181
2015-06-04,00:00:00,808.0,822.95,807.05,817.6,7731
2015-06-05,00:00:00,817.55,834.3,817.05,824.55,19087
2015-06-08,00:00:00,825.0,825.0,820.0,823.3,22804
2015-06-09,00:00:00,835.0,849.0,829.95,837.05,74868
2015-06-10,00:00:00,838.0,869.5,838.0,854.1,45215
2015-06-11,00:00:00,859.35,867.9,842.0,850.1,26030
2015-06-12,00:00:00,845.0,858.0,842.15,844.3,14644
2015-06-15,00:00:00,844.65,854.0,844.5,846.05,17576
2015-06-16,00:00:00,849.0,853.65,841.0,846.75,18955
2015-06-17,00:00:00,848.35,854.7,846.0,851.95,25394
2015-06-18,00:00:00,852.4,865.2,851.05,864.0,20966
2015-06-19,00:00:00,869.35,880.0,864.5,873.2,52286
2015-06-22,00:00:00,861.0,879.35,861.0,872.9,28259
2015-06-23,00:00:00,878.9,878.9,851.5,855.05,15013
2015-06-24,00:00:00,859.85,862.0,847.0,848.95,11066
2015-06-25,00:00:00,854.0,857.9,841.65,845.3,6096
2015-06-26,00:00:00,843.0,854.0,840.1,844.6,9618
2015-06-29,00:00:00,839.9,855.0,839.85,843.3,7680
