Date,Timestamp,Open,High,Low,Close,Volume
2015-04-08,00:00:00,7.2,7.2,7.2,7.2,825
2015-04-09,00:00:00,7.0,7.0,6.95,6.95,4275
2015-04-16,00:00:00,6.95,6.95,6.95,6.95,750
2015-05-05,00:00:00,6.6,6.65,6.6,6.65,2475
2015-05-13,00:00:00,6.8,6.8,6.8,6.8,450
2015-05-19,00:00:00,6.45,6.45,6.45,6.45,8
2015-05-21,00:00:00,6.4,6.4,6.4,6.4,450
2015-05-22,00:00:00,6.4,6.4,6.05,6.05,375
2015-05-25,00:00:00,6.25,6.25,5.85,5.85,4575
2015-05-28,00:00:00,6.15,6.15,6.15,6.15,1500
2015-05-29,00:00:00,6.15,6.15,6.15,6.15,750
2015-06-01,00:00:00,6.25,6.25,6.25,6.25,2588
2015-06-02,00:00:00,5.95,5.95,5.95,5.95,75
2015-06-03,00:00:00,5.65,5.65,5.65,5.65,75
2015-06-08,00:00:00,5.35,5.35,5.35,5.35,375
2015-06-09,00:00:00,5.1,5.1,5.1,5.1,765
2015-06-15,00:00:00,5.1,5.1,5.05,5.05,3338
2015-06-16,00:00:00,4.95,4.95,4.85,4.85,2250
2015-06-23,00:00:00,4.75,4.75,4.6,4.6,855
2015-06-24,00:00:00,4.5,4.5,4.35,4.45,3008
2015-06-25,00:00:00,4.65,4.65,4.65,4.65,8
2015-06-26,00:00:00,4.85,4.85,4.85,4.85,142
2015-06-29,00:00:00,5.1,5.1,5.1,5.1,2505
2015-06-30,00:00:00,4.85,4.85,4.85,4.85,750
2015-07-01,00:00:00,4.65,4.65,4.65,4.65,1028
2015-07-06,00:00:00,4.5,4.9,4.45,4.45,2415
2015-07-08,00:00:00,4.65,4.65,4.65,4.65,30
2015-07-16,00:00:00,4.85,4.85,4.85,4.85,1125
2015-07-20,00:00:00,5.1,5.1,5.1,5.1,22
2015-07-21,00:00:00,5.3,5.3,5.3,5.3,30
2015-08-04,00:00:00,5.05,5.05,5.05,5.05,15
2015-08-05,00:00:00,5.3,5.3,5.3,5.3,375
2015-08-10,00:00:00,5.05,5.55,5.05,5.55,390
2015-08-11,00:00:00,5.25,5.25,5.25,5.25,15
2015-08-12,00:00:00,5.0,5.0,5.0,5.0,38
2015-08-13,00:00:00,4.75,4.75,4.75,4.75,38
2015-08-14,00:00:00,4.55,4.55,4.55,4.55,15
2015-08-17,00:00:00,4.35,4.35,4.35,4.35,1620
2015-08-27,00:00:00,4.55,4.55,4.55,4.55,750
2015-08-28,00:00:00,4.3,4.3,4.3,4.3,375
2015-08-31,00:00:00,4.5,4.5,4.5,4.5,202
2015-09-02,00:00:00,4.7,4.7,4.65,4.65,382
2015-09-09,00:00:00,4.75,4.75,4.45,4.45,2738
2015-09-10,00:00:00,4.4,4.4,4.4,4.4,750
2015-09-11,00:00:00,4.6,4.6,4.25,4.25,30
2015-09-16,00:00:00,4.05,4.05,4.05,4.05,300
2015-09-18,00:00:00,4.25,4.25,3.9,3.9,450
2015-09-23,00:00:00,4.1,4.1,4.1,4.1,8
2015-10-01,00:00:00,4.3,4.3,4.3,4.3,750
2015-10-05,00:00:00,4.5,4.5,4.5,4.5,2385
2015-10-06,00:00:00,4.75,4.75,4.75,4.75,15
2015-10-07,00:00:00,4.55,4.95,4.55,4.95,412
2015-10-08,00:00:00,5.2,5.2,5.2,5.2,15
2015-10-09,00:00:00,5.45,5.45,5.45,5.45,15
2015-10-12,00:00:00,5.3,5.3,5.3,5.3,765
2015-10-13,00:00:00,5.3,5.3,5.3,5.3,188
2015-10-14,00:00:00,5.3,5.3,5.3,5.3,4380
2015-10-15,00:00:00,5.3,5.3,5.3,5.3,15
2015-10-23,00:00:00,5.3,5.3,5.3,5.3,3450
2015-11-02,00:00:00,5.55,5.55,5.55,5.55,8835
2015-11-04,00:00:00,5.85,5.85,5.85,5.85,149812
2015-11-05,00:00:00,6.15,6.15,6.15,6.15,41400
2015-11-06,00:00:00,6.35,6.35,6.35,6.35,750
2015-11-10,00:00:00,6.55,6.55,6.55,6.55,75
2015-11-18,00:00:00,6.55,6.55,6.55,6.55,750
2015-11-19,00:00:00,6.55,6.55,6.55,6.55,1920
2015-11-20,00:00:00,6.55,6.55,6.55,6.55,375
2015-11-24,00:00:00,6.55,6.55,6.55,6.55,210
2015-11-26,00:00:00,6.55,6.55,6.55,6.55,3668
2015-12-07,00:00:00,6.55,6.55,6.55,6.55,375
2015-12-08,00:00:00,6.55,6.55,6.55,6.55,375
2015-12-09,00:00:00,6.55,6.55,6.55,6.55,375
2015-12-10,00:00:00,6.55,6.55,6.55,6.55,450
2015-12-17,00:00:00,6.55,6.55,6.55,6.55,375
2015-12-23,00:00:00,6.55,6.55,6.55,6.55,1148
