Date,Timestamp,Open,High,Low,Close,Volume
2015-08-10,00:00:00,283.0,297.7,283.0,297.7,200
2022-03-08,00:00:00,445.0,446.55,422.75,435.85,929
2022-03-09,00:00:00,414.1,425.0,414.1,414.1,585
2022-03-10,00:00:00,393.4,393.4,393.4,393.4,281
2022-03-11,00:00:00,373.75,373.75,373.75,373.75,414
2022-03-14,00:00:00,355.1,355.1,355.1,355.1,53
2022-03-15,00:00:00,337.35,337.35,337.35,337.35,3
2022-03-16,00:00:00,320.5,320.5,320.5,320.5,28
2022-03-17,00:00:00,304.5,320.5,304.5,310.0,4773
2022-03-21,00:00:00,300.0,325.5,300.0,325.5,11830
2022-03-22,00:00:00,341.75,341.75,341.0,341.75,15397
2022-03-23,00:00:00,358.8,358.8,358.8,358.8,10700
2022-03-24,00:00:00,376.7,376.7,376.6,376.7,10690
2022-03-25,00:00:00,395.5,395.5,395.5,395.5,372
2022-03-28,00:00:00,415.25,415.25,415.25,415.25,2858
2022-03-29,00:00:00,430.0,436.0,394.5,434.3,6962
2022-03-30,00:00:00,434.0,456.0,426.0,452.6,1678
2022-03-31,00:00:00,440.0,459.0,440.0,441.0,521
2022-04-01,00:00:00,418.95,450.0,418.95,435.0,754
2022-04-04,00:00:00,415.25,456.75,415.25,435.0,1523
2022-04-05,00:00:00,435.0,456.75,435.0,456.75,3427
2022-04-06,00:00:00,479.0,479.55,450.0,479.55,4589
2022-04-07,00:00:00,479.55,480.0,479.55,480.0,424
2022-04-08,00:00:00,503.0,503.0,459.0,460.8,1927
2022-04-11,00:00:00,458.0,483.8,458.0,475.05,1177
2022-04-12,00:00:00,475.05,475.05,451.9,460.0,3379
2022-04-13,00:00:00,475.0,483.0,460.0,483.0,38
2022-04-18,00:00:00,507.0,507.0,462.0,479.45,275
2022-04-19,00:00:00,501.0,503.4,499.95,503.0,2282
2022-04-20,00:00:00,510.0,528.15,503.0,528.15,1794
2022-04-21,00:00:00,554.55,554.55,501.75,505.0,138
2022-04-22,00:00:00,525.0,530.25,501.0,525.05,4777
2022-04-25,00:00:00,550.0,551.3,550.0,551.3,2519
2022-04-26,00:00:00,578.0,578.0,552.0,577.0,1066
2022-04-27,00:00:00,598.0,600.0,560.0,598.0,2170
2022-04-28,00:00:00,619.5,619.5,575.0,617.0,1268
2022-04-29,00:00:00,617.0,617.0,586.2,600.0,793
2022-05-02,00:00:00,615.0,615.0,570.0,600.0,835
2022-05-04,00:00:00,570.0,600.0,570.0,570.0,7653
2022-05-05,00:00:00,558.6,598.5,541.5,574.8,2646
2022-05-06,00:00:00,586.3,586.3,546.1,546.1,556
2022-05-09,00:00:00,546.1,570.0,518.8,518.8,2069
2022-05-10,00:00:00,508.45,508.45,495.0,495.0,2279
2022-05-11,00:00:00,482.0,482.0,470.25,470.25,2098
2022-05-12,00:00:00,450.0,452.0,450.0,450.0,115
2022-05-13,00:00:00,450.0,450.0,427.5,427.5,3139
2022-05-16,00:00:00,427.5,427.5,407.0,423.25,211
2022-05-17,00:00:00,423.25,423.25,423.25,423.25,8
2022-05-18,00:00:00,402.1,427.5,402.1,427.5,548
2022-05-19,00:00:00,427.5,427.5,410.0,410.0,123
