Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,600.0,600.0,570.25,582.75,114
2015-04-06,00:00:00,570.0,597.0,561.0,581.5,130
2015-04-08,00:00:00,547.0,581.0,545.25,580.0,119
2015-04-09,00:00:00,579.0,581.5,579.0,579.5,50
2015-04-10,00:00:00,554.0,554.0,553.0,553.75,35
2015-04-13,00:00:00,574.0,615.0,574.0,598.5,6236
2015-04-15,00:00:00,602.0,602.0,571.5,592.75,277
2015-04-16,00:00:00,599.75,600.0,585.0,600.0,4918
2015-04-17,00:00:00,600.0,618.0,585.0,601.75,2921
2015-04-20,00:00:00,600.0,613.0,600.0,600.0,1567
2015-04-21,00:00:00,600.0,600.0,571.0,597.0,2142
2015-04-22,00:00:00,585.0,600.0,570.0,583.25,3116
2015-04-23,00:00:00,598.75,616.5,595.0,595.0,684
2015-04-24,00:00:00,572.5,618.0,570.0,588.25,431
2015-04-27,00:00:00,600.0,612.75,572.5,599.75,1234
2015-04-28,00:00:00,598.0,608.0,580.5,596.5,46
2015-04-29,00:00:00,609.0,614.0,579.0,605.0,240
2015-04-30,00:00:00,599.0,600.0,599.0,600.0,278
2015-05-04,00:00:00,581.5,595.0,581.5,595.0,100
2015-05-05,00:00:00,600.0,621.0,600.0,608.5,150
2015-05-06,00:00:00,599.75,600.25,571.0,599.75,5985
2015-05-07,00:00:00,579.0,599.5,578.0,595.25,371
2015-05-08,00:00:00,583.5,595.0,572.25,588.75,157
2015-05-11,00:00:00,594.5,595.0,594.5,594.75,30
2015-05-12,00:00:00,578.0,586.75,536.0,584.75,202
2015-05-13,00:00:00,550.75,579.0,550.5,578.0,250
2015-05-14,00:00:00,552.25,588.75,552.25,583.25,49
2015-05-15,00:00:00,550.25,588.5,550.0,588.5,119
2015-05-18,00:00:00,594.0,594.0,563.25,588.0,116
2015-05-19,00:00:00,575.25,599.5,572.25,572.25,139
2015-05-20,00:00:00,572.25,594.0,572.25,590.0,428
2015-05-21,00:00:00,572.25,590.0,572.25,584.0,197
2015-05-22,00:00:00,580.0,590.0,577.25,588.75,230
2015-05-25,00:00:00,570.25,599.75,570.25,585.75,137
2015-05-26,00:00:00,585.0,585.0,575.25,575.25,34
2015-05-27,00:00:00,593.75,593.75,555.25,589.5,155
2015-05-28,00:00:00,605.0,618.0,577.25,591.75,97
2015-05-29,00:00:00,580.0,580.0,580.0,580.0,10
2015-06-01,00:00:00,520.0,528.0,505.0,513.25,2368
2015-06-02,00:00:00,501.25,565.0,501.25,524.0,232
2015-06-03,00:00:00,525.0,548.0,483.0,508.75,173
2015-06-04,00:00:00,507.0,519.0,507.0,517.75,73
2015-06-05,00:00:00,547.0,547.0,547.0,547.0,10
2015-06-08,00:00:00,525.0,533.0,525.0,533.0,201
2015-06-09,00:00:00,505.25,534.0,505.25,531.0,292
2015-06-10,00:00:00,508.75,550.0,508.25,548.0,1437
2015-06-11,00:00:00,550.0,550.0,527.25,540.0,1735
2015-06-12,00:00:00,540.0,540.0,480.5,512.5,180
2015-06-15,00:00:00,510.0,514.0,499.25,504.5,686
2015-06-16,00:00:00,500.0,513.0,490.0,507.5,611
2015-06-17,00:00:00,491.25,523.0,490.0,518.0,645
2015-06-18,00:00:00,500.0,540.0,500.0,525.5,879
2015-06-19,00:00:00,515.25,550.0,505.75,534.0,1666
2015-06-22,00:00:00,540.0,600.0,523.0,579.0,4811
2015-06-23,00:00:00,570.0,570.0,562.0,568.0,111
2015-06-24,00:00:00,540.25,565.0,540.25,565.0,177
2015-06-25,00:00:00,550.0,560.0,550.0,560.0,85
2015-06-26,00:00:00,540.5,566.0,540.5,563.5,300
2015-06-29,00:00:00,556.75,556.75,530.0,547.0,194
2015-06-30,00:00:00,493.25,548.0,493.25,535.0,207
2015-07-01,00:00:00,517.25,539.75,516.0,525.0,603
2015-07-03,00:00:00,540.0,540.0,515.0,535.0,193
2015-07-06,00:00:00,527.0,540.0,527.0,530.0,305
2015-07-07,00:00:00,530.0,540.0,512.0,540.0,782
2015-07-08,00:00:00,533.0,540.0,533.0,539.75,844
2015-07-09,00:00:00,534.0,554.0,534.0,550.0,1167
2015-07-10,00:00:00,539.0,570.0,505.25,561.75,2038
2015-07-13,00:00:00,535.0,567.0,535.0,564.25,69
2015-07-14,00:00:00,560.0,560.0,542.25,557.75,174
2015-07-15,00:00:00,569.0,569.0,569.0,569.0,9
2015-07-16,00:00:00,525.5,555.5,525.5,554.5,328
2015-07-17,00:00:00,542.25,557.0,542.25,553.0,238
2015-07-21,00:00:00,545.0,550.0,545.0,550.0,245
2015-07-22,00:00:00,549.0,550.0,549.0,550.0,683
2015-07-23,00:00:00,559.0,560.0,559.0,559.0,512
2015-07-24,00:00:00,555.0,560.0,555.0,558.75,195
2015-07-27,00:00:00,559.0,560.0,540.0,558.0,1052
2015-07-28,00:00:00,550.0,550.0,525.0,535.0,488
2015-07-29,00:00:00,535.0,549.0,533.5,541.5,412
2015-07-30,00:00:00,524.75,540.0,524.5,536.0,618
2015-07-31,00:00:00,530.5,543.0,530.5,542.75,85
2015-08-03,00:00:00,525.25,560.0,525.0,540.5,1928
2015-08-04,00:00:00,527.75,550.0,527.75,542.5,782
2015-08-05,00:00:00,514.5,575.0,514.5,574.25,1716
2015-08-06,00:00:00,510.0,570.0,510.0,565.5,1148
2015-08-07,00:00:00,548.25,565.5,548.25,562.75,196
2015-08-10,00:00:00,562.75,589.75,554.0,577.5,1375
2015-08-11,00:00:00,550.0,579.0,550.0,575.75,927
2015-08-14,00:00:00,549.75,570.0,538.25,559.75,555
2015-08-17,00:00:00,496.0,580.0,495.25,579.25,1911
2015-08-18,00:00:00,580.0,600.0,565.5,599.75,6722
2015-08-19,00:00:00,610.0,610.0,570.0,588.75,1409
2015-08-20,00:00:00,576.0,619.0,546.0,602.25,2538
2015-08-21,00:00:00,572.0,600.0,570.0,578.5,307
2015-08-24,00:00:00,540.5,569.0,540.0,565.25,180
2015-08-25,00:00:00,510.25,586.75,510.0,557.75,405
2015-08-26,00:00:00,550.0,574.0,535.75,568.0,132
2015-08-27,00:00:00,566.0,566.0,533.0,564.0,220
2015-08-28,00:00:00,536.25,578.0,536.25,578.0,171
2015-08-31,00:00:00,551.75,593.0,550.0,570.5,795
2015-09-01,00:00:00,550.25,558.0,550.0,558.0,287
2015-09-02,00:00:00,530.0,589.75,501.25,557.0,591
2015-09-03,00:00:00,550.0,550.0,531.0,545.75,162
2015-09-04,00:00:00,524.25,524.25,518.0,520.0,641
2015-09-07,00:00:00,488.25,550.0,488.25,542.0,158
2015-09-08,00:00:00,550.0,550.0,550.0,550.0,2
2015-09-09,00:00:00,562.75,563.0,501.0,541.25,1146
2015-09-10,00:00:00,530.0,548.0,530.0,545.5,209
2015-09-11,00:00:00,568.0,569.0,535.0,551.0,736
2015-09-14,00:00:00,540.0,549.0,535.0,544.0,295
2015-09-15,00:00:00,545.5,564.0,545.5,548.25,59
2015-09-16,00:00:00,549.0,550.0,537.0,544.75,220
2015-09-18,00:00:00,537.0,558.0,525.0,544.75,576
2015-09-22,00:00:00,525.0,548.0,522.5,544.75,310
2015-09-23,00:00:00,549.0,549.0,549.0,549.0,10
2015-09-28,00:00:00,526.25,547.0,526.25,546.0,105
2015-09-29,00:00:00,525.0,542.0,525.0,542.0,115
2015-09-30,00:00:00,543.0,543.0,543.0,543.0,9
2015-10-01,00:00:00,533.0,565.0,533.0,538.25,487
2015-10-05,00:00:00,549.75,549.75,549.75,549.75,9
2015-10-06,00:00:00,521.75,559.0,521.75,550.5,220
2015-10-07,00:00:00,550.0,582.0,541.0,565.0,714
2015-10-08,00:00:00,541.25,562.0,541.25,556.75,328
2015-10-09,00:00:00,550.0,566.75,536.75,555.0,180
2015-10-13,00:00:00,550.0,581.75,550.0,558.75,500
2015-10-14,00:00:00,550.0,573.5,549.0,549.25,715
2015-10-15,00:00:00,558.5,598.5,550.0,577.25,2511
2015-10-19,00:00:00,575.0,578.0,574.75,577.25,172
2015-10-20,00:00:00,575.0,599.0,552.25,584.75,755
2015-10-21,00:00:00,580.0,585.0,572.0,582.75,259
2015-10-23,00:00:00,567.0,598.0,565.0,577.5,412
2015-10-26,00:00:00,583.0,583.0,583.0,583.0,9
2015-10-27,00:00:00,560.5,597.0,560.5,590.25,270
2015-10-28,00:00:00,551.25,589.25,551.25,589.0,168
2015-10-30,00:00:00,596.0,596.0,596.0,596.0,9
2015-11-02,00:00:00,595.0,595.0,554.25,588.25,201
2015-11-03,00:00:00,590.0,590.0,577.0,581.25,72
2015-11-04,00:00:00,550.0,564.0,542.5,548.0,417
2015-11-05,00:00:00,598.75,600.0,575.0,585.0,893
2015-11-06,00:00:00,579.0,580.0,555.5,579.25,498
