Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,15.0,15.25,15.0,15.15,23850
2015-04-06,00:00:00,15.5,15.95,15.25,15.4,43596
2015-04-07,00:00:00,15.75,17.5,15.75,17.1,111350
2015-04-08,00:00:00,17.25,17.9,17.1,17.5,87002
2015-04-09,00:00:00,17.7,18.4,17.3,17.5,85096
2015-04-10,00:00:00,17.1,17.5,17.1,17.3,44164
2015-04-13,00:00:00,17.5,17.8,17.1,17.6,70826
2015-04-15,00:00:00,17.6,19.1,17.3,18.1,258014
2015-04-16,00:00:00,18.5,18.9,17.5,17.9,280610
2015-04-17,00:00:00,17.8,20.25,17.5,19.1,307338
2015-04-20,00:00:00,20.0,20.25,18.55,18.95,277346
2015-04-21,00:00:00,18.5,19.25,18.5,18.75,43290
2015-04-22,00:00:00,19.0,19.2,18.55,18.7,45036
2015-04-23,00:00:00,18.6,19.25,18.55,18.55,45590
2015-04-24,00:00:00,18.6,18.6,17.15,17.5,70884
2015-04-27,00:00:00,17.6,17.7,16.25,16.5,44746
2015-04-28,00:00:00,16.75,17.15,16.6,16.75,58422
2015-04-29,00:00:00,17.2,17.75,17.05,17.25,17036
2015-04-30,00:00:00,17.4,17.7,17.0,17.6,30996
2015-05-04,00:00:00,18.0,18.45,17.75,18.2,62600
2015-05-05,00:00:00,18.2,18.2,17.65,17.8,33580
2015-05-06,00:00:00,17.4,17.4,16.9,17.0,19194
2015-05-07,00:00:00,17.45,17.45,16.4,16.5,23496
2015-05-08,00:00:00,16.7,17.1,16.4,16.55,29258
2015-05-11,00:00:00,16.2,17.25,16.2,16.95,11548
2015-05-12,00:00:00,16.9,16.9,16.05,16.3,19280
2015-05-13,00:00:00,16.75,16.85,16.25,16.4,18216
2015-05-14,00:00:00,16.65,16.8,16.5,16.6,9706
2015-05-15,00:00:00,16.4,16.9,16.4,16.4,11008
2015-05-18,00:00:00,16.3,16.95,16.3,16.9,17040
2015-05-19,00:00:00,16.5,17.25,16.5,16.9,13770
2015-05-20,00:00:00,17.0,17.5,16.75,16.9,14674
2015-05-21,00:00:00,16.9,17.0,16.5,16.8,6740
2015-05-22,00:00:00,17.0,17.35,16.6,16.6,17942
2015-05-25,00:00:00,16.5,17.0,16.5,17.0,23640
2015-05-26,00:00:00,17.25,17.25,16.65,16.8,4452
2015-05-27,00:00:00,16.75,16.75,16.25,16.5,11502
2015-05-28,00:00:00,16.45,16.9,16.2,16.8,9562
2015-05-29,00:00:00,16.8,17.25,16.5,16.9,23498
2015-06-01,00:00:00,17.0,17.2,16.9,17.0,7040
2015-06-02,00:00:00,17.05,17.75,16.5,16.6,26170
2015-06-03,00:00:00,16.5,16.5,15.6,16.2,11954
2015-06-04,00:00:00,15.75,16.8,15.75,16.35,13558
2015-06-05,00:00:00,16.7,16.75,16.3,16.3,6404
2015-06-08,00:00:00,15.75,16.4,15.5,15.55,10002
2015-06-09,00:00:00,15.5,16.4,15.5,16.0,9492
2015-06-10,00:00:00,16.45,17.2,16.0,16.5,35026
2015-06-11,00:00:00,16.25,16.4,16.0,16.0,24302
2015-06-12,00:00:00,16.05,16.35,16.05,16.1,6840
2015-06-15,00:00:00,16.35,16.35,16.05,16.1,14152
2015-06-16,00:00:00,16.05,16.3,15.15,15.5,50136
2015-06-17,00:00:00,15.7,15.9,15.35,15.5,13578
2015-06-18,00:00:00,15.9,16.0,15.5,15.8,17922
2015-06-19,00:00:00,16.25,16.9,15.9,15.95,82722
2015-06-22,00:00:00,15.1,16.7,15.1,16.25,35994
2015-06-23,00:00:00,16.4,16.75,16.4,16.5,46962
2015-06-24,00:00:00,16.5,17.5,16.4,16.7,72006
2015-06-25,00:00:00,16.75,17.15,16.5,16.85,13362
2015-06-26,00:00:00,16.75,16.8,16.25,16.5,13758
2015-06-29,00:00:00,15.6,16.4,15.5,16.4,17470
2015-06-30,00:00:00,16.7,16.75,16.3,16.6,10190
2015-07-01,00:00:00,16.55,17.9,16.55,17.45,70878
2015-07-02,00:00:00,17.65,17.65,17.05,17.1,15036
2015-07-03,00:00:00,17.5,17.65,17.0,17.1,29470
2015-07-06,00:00:00,17.0,17.9,16.9,17.55,26180
2015-07-07,00:00:00,17.9,18.5,17.75,17.9,89208
2015-07-08,00:00:00,17.9,17.9,17.05,17.3,44954
2015-07-09,00:00:00,16.0,17.35,16.0,17.1,32040
2015-07-10,00:00:00,17.45,17.7,17.0,17.65,15698
2015-07-13,00:00:00,17.3,18.3,17.3,17.75,69718
2015-07-14,00:00:00,17.85,21.3,17.85,20.3,1173740
2015-07-15,00:00:00,20.4,21.5,20.05,20.25,321476
2015-07-16,00:00:00,20.5,20.8,19.55,19.9,168164
2015-07-17,00:00:00,20.0,20.95,19.1,19.9,117196
2015-07-20,00:00:00,18.1,18.9,17.25,17.5,250076
2015-07-21,00:00:00,18.0,18.0,16.85,17.0,109722
2015-07-22,00:00:00,16.75,17.45,16.0,17.2,32330
2015-07-23,00:00:00,17.0,17.5,16.9,17.25,27140
2015-07-24,00:00:00,17.5,17.8,16.75,16.9,32332
2015-07-27,00:00:00,17.0,17.3,16.3,16.5,28856
2015-07-28,00:00:00,16.75,16.75,15.5,15.7,85916
2015-07-29,00:00:00,15.7,17.1,15.7,16.9,54040
2015-07-30,00:00:00,17.0,18.25,17.0,17.8,97954
2015-07-31,00:00:00,18.5,18.5,17.3,18.0,48540
2015-08-03,00:00:00,17.65,18.45,17.6,18.0,55382
2015-08-04,00:00:00,18.0,18.45,17.6,18.2,34302
2015-08-05,00:00:00,18.0,20.25,17.65,18.9,176600
