Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,149.69,152.8,148.0,149.0,12676
2015-04-06,00:00:00,148.1,151.0,146.8,149.3,8770
2015-04-07,00:00:00,151.69,158.9,148.1,156.4,44363
2015-04-08,00:00:00,158.5,167.0,155.1,160.4,42890
2015-04-09,00:00:00,161.0,165.5,159.1,164.5,36754
2015-04-10,00:00:00,164.0,173.9,164.0,171.2,60064
2015-04-13,00:00:00,173.8,175.9,168.0,168.6,42282
2015-04-15,00:00:00,169.3,169.8,164.0,165.4,9552
2015-04-16,00:00:00,162.6,167.2,156.5,158.6,28512
2015-04-17,00:00:00,158.1,162.0,155.3,156.6,10298
2015-04-20,00:00:00,155.5,157.5,151.1,151.3,18906
2015-04-21,00:00:00,150.0,154.19,150.0,153.6,6087
2015-04-22,00:00:00,152.0,156.9,151.8,154.1,13144
2015-04-23,00:00:00,153.5,156.5,153.0,154.1,5336
2015-04-24,00:00:00,153.0,156.0,150.19,150.5,14209
2015-04-27,00:00:00,151.0,151.0,145.5,145.8,13137
2015-04-28,00:00:00,145.0,152.0,145.0,151.19,10471
2015-04-29,00:00:00,153.3,153.3,147.0,148.9,9102
2015-04-30,00:00:00,147.0,151.0,147.0,149.69,8442
2015-05-04,00:00:00,149.5,153.0,149.1,152.5,10794
2015-05-05,00:00:00,152.5,159.0,152.4,157.19,6459
2015-05-06,00:00:00,157.1,157.1,151.0,153.1,9780
2015-05-07,00:00:00,153.0,153.0,149.19,150.0,5633
2015-05-08,00:00:00,151.1,153.5,150.1,150.9,8827
2015-05-11,00:00:00,152.0,153.0,150.0,150.1,2767
2015-05-12,00:00:00,151.0,151.0,146.9,147.19,4233
2015-05-13,00:00:00,150.0,150.0,145.8,146.3,7627
2015-05-14,00:00:00,146.1,147.19,145.5,146.5,3555
2015-05-15,00:00:00,146.3,149.4,145.19,145.5,11123
2015-05-18,00:00:00,145.1,149.0,145.0,146.9,5856
2015-05-19,00:00:00,147.0,148.9,146.5,146.9,3174
2015-05-20,00:00:00,146.6,147.3,145.6,146.5,8510
2015-05-21,00:00:00,146.8,146.8,144.8,145.8,9580
2015-05-22,00:00:00,146.5,146.5,143.6,144.1,3453
2015-05-25,00:00:00,144.3,145.5,143.0,143.1,3634
2015-05-26,00:00:00,144.1,145.0,143.69,143.8,1323
2015-05-27,00:00:00,143.19,144.9,139.0,140.6,13466
2015-05-28,00:00:00,141.0,141.0,136.19,138.1,9082
2015-05-29,00:00:00,137.19,143.9,137.1,140.1,11929
2015-06-01,00:00:00,138.5,140.6,138.19,139.19,2883
2015-06-02,00:00:00,141.8,141.8,136.8,137.3,9564
2015-06-03,00:00:00,137.1,137.1,127.0,132.5,18909
2015-06-04,00:00:00,133.5,133.5,128.9,130.69,14588
2015-06-05,00:00:00,131.4,133.5,130.5,131.1,9582
2015-06-08,00:00:00,134.0,134.0,131.0,132.6,4373
2015-06-09,00:00:00,132.0,134.5,129.0,130.6,5898
2015-06-10,00:00:00,129.3,133.9,129.3,130.9,3800
2015-06-11,00:00:00,132.9,133.0,130.19,132.0,3028
2015-06-12,00:00:00,131.19,131.9,128.5,129.8,2902
2015-06-15,00:00:00,129.0,132.0,129.0,130.6,3956
2015-06-16,00:00:00,128.0,130.9,127.0,128.6,6372
2015-06-17,00:00:00,129.69,131.8,128.5,130.5,2229
2015-06-18,00:00:00,133.0,135.0,131.0,134.4,2573
2015-06-19,00:00:00,134.0,135.0,130.0,134.1,5539
2015-06-22,00:00:00,134.0,137.9,134.0,136.19,1909
2015-06-23,00:00:00,133.19,137.69,133.19,135.69,733
2015-06-24,00:00:00,137.5,137.5,130.0,130.69,12889
2015-06-25,00:00:00,133.6,134.0,131.69,133.4,2053
2015-06-26,00:00:00,133.4,133.4,128.5,129.6,8317
2015-06-29,00:00:00,129.6,130.4,127.1,129.69,3152
2015-06-30,00:00:00,129.4,136.0,128.0,134.19,8157
2015-07-01,00:00:00,136.5,143.9,130.1,134.0,9580
2015-07-02,00:00:00,133.0,136.0,133.0,134.19,2657
2015-07-03,00:00:00,135.0,135.0,133.0,133.1,6010
2015-07-06,00:00:00,131.19,135.9,131.1,134.9,1232
2015-07-07,00:00:00,137.4,151.8,135.6,144.4,100928
2015-07-08,00:00:00,144.69,149.19,139.19,140.4,28629
2015-07-09,00:00:00,142.0,143.69,138.1,138.69,5024
