Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,16.5,17.35,16.5,17.35,162
2015-04-06,00:00:00,17.5,17.85,16.6,16.7,20372
2015-04-07,00:00:00,17.35,17.4,16.85,17.0,4582
2015-04-08,00:00:00,17.15,17.8,17.0,17.7,3062
2015-04-09,00:00:00,17.7,18.15,17.35,17.35,5324
2015-04-10,00:00:00,17.5,18.0,17.5,17.5,7334
2015-04-13,00:00:00,17.95,18.0,17.0,17.2,4304
2015-04-15,00:00:00,18.4,18.45,17.55,17.75,9364
2015-04-16,00:00:00,17.5,17.85,17.2,17.75,6966
2015-04-17,00:00:00,17.5,17.5,16.85,17.4,18176
2015-04-20,00:00:00,17.0,17.85,16.55,17.3,5284
2015-04-21,00:00:00,17.0,17.25,16.8,16.9,17228
2015-04-22,00:00:00,17.05,17.4,16.75,17.35,2096
2015-04-23,00:00:00,17.0,17.75,16.75,17.5,5156
2015-04-24,00:00:00,17.05,17.5,17.05,17.2,1700
2015-04-27,00:00:00,17.0,17.25,16.05,16.5,690
2015-04-28,00:00:00,16.35,17.3,16.3,17.05,8310
2015-04-29,00:00:00,16.7,16.95,16.5,16.55,1518
2015-04-30,00:00:00,16.5,17.35,16.5,17.35,6030
2015-05-04,00:00:00,17.0,17.45,16.55,17.3,42
2015-05-05,00:00:00,17.55,17.55,17.55,17.55,2
2015-05-06,00:00:00,17.3,17.75,16.55,17.1,11778
2015-05-07,00:00:00,17.5,17.5,17.0,17.25,906
2015-05-08,00:00:00,17.0,18.2,16.5,17.95,9028
2015-05-11,00:00:00,17.5,17.5,16.75,17.4,4062
2015-05-12,00:00:00,17.25,20.85,16.75,20.0,225382
2015-05-13,00:00:00,19.5,20.95,17.8,20.35,140658
2015-05-14,00:00:00,20.25,20.85,19.0,20.5,36944
2015-05-15,00:00:00,20.25,22.15,19.85,21.7,61548
2015-05-18,00:00:00,22.2,22.2,20.2,21.4,46692
2015-05-19,00:00:00,21.0,21.5,19.6,20.15,10106
2015-05-20,00:00:00,20.2,20.45,19.7,19.75,14230
2015-05-21,00:00:00,19.8,19.8,18.75,19.05,7612
2015-05-22,00:00:00,19.0,19.0,15.5,18.55,23112
2015-05-25,00:00:00,18.25,19.2,17.3,18.35,1890
2015-05-26,00:00:00,18.0,19.95,17.75,19.1,20464
2015-05-27,00:00:00,19.0,19.0,18.1,18.5,14842
2015-05-28,00:00:00,18.4,19.0,18.25,18.8,7588
2015-05-29,00:00:00,18.5,19.0,17.95,18.95,7406
2015-06-01,00:00:00,18.5,18.95,17.8,18.8,556
2015-06-02,00:00:00,18.5,19.0,17.75,18.65,4926
2015-06-03,00:00:00,18.45,18.9,17.65,18.25,9420
2015-06-04,00:00:00,18.3,18.35,17.6,18.05,3674
2015-06-05,00:00:00,18.5,18.5,17.35,17.6,14008
2015-06-08,00:00:00,19.0,19.0,17.65,17.9,8146
2015-06-09,00:00:00,18.0,18.65,17.9,17.95,4250
2015-06-10,00:00:00,19.45,19.45,17.45,17.7,15306
2015-06-11,00:00:00,17.75,18.45,17.35,17.35,1162
2015-06-12,00:00:00,19.7,19.7,17.4,17.4,1852
2015-06-15,00:00:00,17.45,18.4,17.45,18.1,3312
2015-06-16,00:00:00,17.5,18.35,17.0,18.05,2472
2015-06-17,00:00:00,18.6,18.75,17.55,18.3,6186
2015-06-18,00:00:00,18.9,19.0,17.8,18.55,12070
2015-06-19,00:00:00,18.9,18.9,17.55,18.4,6202
2015-06-22,00:00:00,18.55,19.0,17.55,17.9,460
2015-06-23,00:00:00,18.2,19.45,18.2,18.2,2288
2015-06-24,00:00:00,18.25,18.4,17.75,17.95,1746
2015-06-25,00:00:00,17.65,18.45,17.55,17.8,934
2015-06-26,00:00:00,17.55,18.75,17.5,18.7,47110
2015-06-29,00:00:00,18.5,18.75,18.0,18.0,1298
2015-06-30,00:00:00,18.3,18.85,17.55,18.2,1336
2015-07-01,00:00:00,18.0,19.0,17.85,18.3,10950
2015-07-02,00:00:00,19.3,19.95,18.05,18.65,15450
2015-07-03,00:00:00,18.5,18.95,18.25,18.65,4978
2015-07-06,00:00:00,18.5,19.95,18.15,19.55,14088
2015-07-07,00:00:00,19.0,20.35,18.8,19.8,15338
2015-07-08,00:00:00,19.5,20.5,18.8,19.55,9492
2015-07-09,00:00:00,19.5,21.0,18.65,19.45,4228
2015-07-10,00:00:00,19.25,19.9,19.0,19.3,5898
2015-07-13,00:00:00,18.1,19.7,18.1,18.95,1474
2015-07-14,00:00:00,19.95,19.95,18.75,19.0,5180
2015-07-15,00:00:00,19.2,19.45,18.35,18.5,22186
2015-07-16,00:00:00,19.2,19.2,18.75,19.2,2692
2015-07-17,00:00:00,19.0,19.85,18.5,19.0,3580
2015-07-20,00:00:00,19.25,19.9,19.2,19.75,138662
2015-07-21,00:00:00,19.9,20.35,18.6,19.45,41858
2015-07-22,00:00:00,19.5,19.9,18.55,19.5,33120
2015-07-23,00:00:00,19.25,20.85,19.25,20.35,82630
2015-07-24,00:00:00,20.2,21.7,19.85,21.5,214674
2015-07-27,00:00:00,21.9,21.9,20.15,21.25,40414
2015-07-28,00:00:00,21.05,21.25,20.5,20.75,14052
2015-07-29,00:00:00,20.55,21.7,20.25,21.5,54452
2015-07-30,00:00:00,21.45,21.7,21.0,21.5,95114
2015-07-31,00:00:00,22.0,24.95,22.0,24.55,386442
2015-08-03,00:00:00,25.0,27.45,24.15,27.0,634220
2015-08-04,00:00:00,26.9,29.95,24.45,28.75,903082
2015-08-05,00:00:00,29.75,31.6,27.05,31.25,553634
2015-08-06,00:00:00,32.2,33.95,29.8,30.85,425104
2015-08-07,00:00:00,30.95,31.7,30.95,31.05,57458
2015-08-10,00:00:00,31.05,31.05,28.75,29.05,100842
2015-08-11,00:00:00,30.4,30.5,26.85,28.15,81386
2015-08-12,00:00:00,27.5,28.95,25.35,25.4,78038
2015-08-13,00:00:00,25.85,27.25,25.85,26.1,108202
2015-08-14,00:00:00,25.0,26.75,24.1,25.9,69454
2015-08-17,00:00:00,23.9,26.4,23.9,25.05,22804
2015-08-18,00:00:00,25.3,26.85,24.1,25.6,31764
2015-08-19,00:00:00,25.7,26.8,25.25,26.65,31016
2015-08-20,00:00:00,26.0,27.3,25.65,25.85,34132
2015-08-21,00:00:00,24.05,26.25,24.05,26.1,22748
2015-08-24,00:00:00,26.1,26.1,23.5,23.5,24584
2015-08-25,00:00:00,21.5,23.2,21.2,21.7,40874
2015-08-26,00:00:00,22.85,23.35,21.25,22.5,43738
2015-08-27,00:00:00,23.9,24.35,22.6,23.4,9932
2015-08-28,00:00:00,23.45,25.5,23.05,24.45,21350
2015-08-31,00:00:00,24.75,25.25,24.25,24.4,12582
2015-09-01,00:00:00,24.15,26.3,24.15,26.05,35824
2015-09-02,00:00:00,26.3,26.95,25.25,25.65,18402
2015-09-03,00:00:00,25.35,28.2,25.05,27.95,49844
2015-09-04,00:00:00,29.2,29.9,27.0,27.55,35212
2015-09-07,00:00:00,27.9,27.95,26.25,26.6,21202
2015-09-08,00:00:00,26.5,27.5,26.5,27.0,13910
2015-09-09,00:00:00,26.6,27.5,26.1,26.75,10124
2015-09-10,00:00:00,27.05,27.5,25.2,26.9,5254
2015-09-11,00:00:00,27.0,29.8,26.55,28.85,28792
2015-09-14,00:00:00,29.9,31.1,28.65,30.4,46506
2015-09-15,00:00:00,30.4,31.1,29.95,30.35,61726
2015-09-16,00:00:00,30.05,30.55,29.15,30.5,124976
2015-09-18,00:00:00,30.5,30.55,29.75,30.45,58614
2015-09-21,00:00:00,29.5,30.85,29.5,30.5,58514
2015-09-22,00:00:00,30.5,32.45,30.0,30.5,48816
2015-09-23,00:00:00,30.25,31.25,30.0,30.9,15118
2015-09-24,00:00:00,30.05,31.5,30.0,30.9,46454
2015-09-28,00:00:00,30.55,31.45,30.5,31.0,47168
2015-09-29,00:00:00,30.0,32.05,30.0,31.1,19800
2015-09-30,00:00:00,31.0,32.05,31.0,31.95,31718
2015-10-01,00:00:00,31.5,32.0,31.25,31.8,25048
2015-10-05,00:00:00,32.0,32.45,30.65,32.35,27178
2015-10-06,00:00:00,32.2,33.1,31.65,32.0,7278
2015-10-07,00:00:00,32.0,38.4,30.65,34.85,131640
2015-10-08,00:00:00,36.75,40.5,36.55,39.55,129556
2015-10-09,00:00:00,39.55,45.9,39.55,45.0,295196
2015-10-12,00:00:00,45.9,45.9,42.6,43.9,90202
2015-10-13,00:00:00,43.75,45.75,42.8,43.65,33846
2015-10-14,00:00:00,45.0,45.5,43.05,43.2,17172
2015-10-15,00:00:00,44.7,44.7,40.6,41.4,21168
2015-10-16,00:00:00,42.25,42.25,38.35,40.75,52102
2015-10-19,00:00:00,41.45,41.45,38.25,39.5,7380
2015-10-20,00:00:00,41.35,41.35,39.0,39.75,20196
2015-10-21,00:00:00,40.45,40.5,39.15,39.65,35430
2015-10-23,00:00:00,39.1,40.4,38.35,38.75,13022
2015-10-26,00:00:00,39.95,41.0,38.65,39.65,34114
2015-10-27,00:00:00,39.05,40.0,38.15,39.05,3992
2015-10-28,00:00:00,39.15,39.4,38.65,38.65,3618
2015-10-29,00:00:00,39.0,41.5,37.5,40.35,44042
2015-10-30,00:00:00,40.5,41.75,39.1,39.6,15842
2015-11-02,00:00:00,38.7,40.5,38.7,39.0,1608
2015-11-03,00:00:00,38.6,42.9,38.6,41.45,51952
2015-11-04,00:00:00,43.4,45.45,42.5,43.0,59126
2015-11-05,00:00:00,42.6,43.5,40.55,41.2,15182
2015-11-06,00:00:00,40.4,41.75,38.5,39.5,15264
2015-11-09,00:00:00,37.75,42.95,33.65,39.8,25696
2015-11-10,00:00:00,40.85,42.4,38.4,39.55,11696
2015-11-11,00:00:00,42.25,47.25,39.5,43.1,26390
2015-11-13,00:00:00,42.0,45.0,40.9,43.4,17918
2015-11-16,00:00:00,42.5,45.6,40.8,43.1,54622
2015-11-17,00:00:00,43.85,44.25,42.5,42.85,13822
2015-11-18,00:00:00,43.45,43.85,42.6,43.6,6252
2015-11-19,00:00:00,43.0,43.75,42.5,42.9,6472
2015-11-20,00:00:00,42.75,43.0,41.7,42.3,2754
2015-11-23,00:00:00,42.95,43.65,42.0,42.05,4636
2015-11-24,00:00:00,43.75,43.75,41.55,42.75,17442
2015-11-26,00:00:00,42.75,43.4,40.75,41.35,21754
2015-11-27,00:00:00,41.5,41.95,40.25,40.5,18214
2015-11-30,00:00:00,41.25,47.95,40.5,44.9,133658
2015-12-01,00:00:00,44.55,46.8,44.0,45.45,28506
2015-12-02,00:00:00,46.7,46.7,44.0,44.5,19480
