Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,46.0,47.0,44.05,44.7,20250
2015-04-06,00:00:00,46.0,46.75,44.25,45.5,3181
2015-04-07,00:00:00,48.5,48.5,48.0,48.5,4
2015-04-08,00:00:00,50.0,52.0,45.15,47.25,1355
2015-04-09,00:00:00,48.75,48.75,46.55,46.55,1120
2015-04-10,00:00:00,47.0,47.95,46.25,47.0,2111
2015-04-13,00:00:00,47.0,48.75,47.0,48.1,1995
2015-04-15,00:00:00,54.95,57.7,49.0,56.2,29220
2015-04-16,00:00:00,56.25,56.35,53.5,54.85,6880
2015-04-17,00:00:00,55.0,61.0,55.0,57.55,18635
2015-04-20,00:00:00,58.35,59.7,55.25,57.0,10512
2015-04-21,00:00:00,57.0,57.0,54.9,54.95,1890
2015-04-22,00:00:00,55.0,55.0,53.5,53.5,2455
2015-04-23,00:00:00,54.0,55.0,53.0,53.15,1468
2015-04-24,00:00:00,52.3,52.3,52.3,52.3,57
2015-04-28,00:00:00,50.95,52.45,50.1,51.95,2305
2015-04-29,00:00:00,52.95,52.95,50.5,50.7,555
2015-04-30,00:00:00,51.0,51.0,50.7,50.8,500
2015-05-04,00:00:00,51.5,51.5,51.3,51.3,600
2015-05-05,00:00:00,51.3,51.7,50.0,51.7,3787
2015-05-06,00:00:00,52.0,52.0,47.6,49.2,1273
2015-05-07,00:00:00,44.5,48.9,44.25,47.0,2196
2015-05-08,00:00:00,48.5,48.5,46.8,47.05,578
2015-05-11,00:00:00,48.1,56.45,45.5,50.0,6771
2015-05-12,00:00:00,47.5,49.0,46.2,47.55,2452
2015-05-13,00:00:00,47.65,48.15,47.65,48.15,101
2015-05-14,00:00:00,48.0,50.0,48.0,49.95,2412
2015-05-15,00:00:00,50.0,51.0,48.15,50.5,3755
2015-05-18,00:00:00,51.9,51.9,48.25,48.4,250
2015-05-19,00:00:00,47.15,47.15,47.15,47.15,100
2015-05-20,00:00:00,49.9,49.95,46.95,47.05,900
2015-05-21,00:00:00,47.5,47.5,47.5,47.5,100
2015-05-22,00:00:00,47.5,48.0,45.5,47.0,1670
2015-05-25,00:00:00,51.0,51.0,45.9,45.9,3003
2015-05-26,00:00:00,47.5,47.5,45.9,45.9,593
2015-05-27,00:00:00,47.9,47.9,46.0,46.0,302
2015-05-28,00:00:00,45.45,47.0,42.05,42.15,3405
2015-05-29,00:00:00,44.0,46.0,42.3,44.7,2843
2015-06-02,00:00:00,44.0,44.0,44.0,44.0,200
2015-06-03,00:00:00,42.1,43.0,42.0,43.0,2251
2015-06-04,00:00:00,42.25,42.25,42.1,42.2,100
2015-06-05,00:00:00,43.5,44.0,43.5,44.0,200
2015-06-08,00:00:00,41.6,46.0,40.0,43.85,6343
2015-06-09,00:00:00,43.0,45.0,42.3,43.0,302
2015-06-10,00:00:00,44.0,45.9,43.0,45.75,356
2015-06-11,00:00:00,44.0,44.0,43.0,43.0,115
2015-06-12,00:00:00,42.0,43.95,41.05,42.5,2888
2015-06-15,00:00:00,42.5,43.9,41.0,41.15,1215
2015-06-16,00:00:00,40.5,44.0,40.35,41.5,634
2015-06-17,00:00:00,40.1,42.45,40.1,41.95,5539
2015-06-18,00:00:00,40.6,43.7,40.54,40.9,185
2015-06-19,00:00:00,40.25,42.0,40.0,41.8,819
2015-06-22,00:00:00,42.5,43.9,42.5,43.0,40
2015-06-23,00:00:00,43.25,46.0,42.95,43.1,4177
2015-06-24,00:00:00,42.75,45.0,42.1,44.65,3050
2015-06-25,00:00:00,43.5,44.7,42.0,44.0,1155
