Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,25.85,25.85,25.65,25.85,45654
2015-04-06,00:00:00,26.8,27.1,26.5,27.1,25854
2015-04-07,00:00:00,28.45,28.45,27.8,28.45,18826
2015-04-08,00:00:00,29.85,29.85,28.4,29.3,27434
2015-04-09,00:00:00,30.0,30.0,27.85,28.0,33456
2015-04-10,00:00:00,27.0,28.45,26.6,26.9,25586
2015-04-13,00:00:00,27.0,28.2,26.4,27.3,11318
2015-04-15,00:00:00,27.0,28.1,27.0,27.25,11295
2015-04-16,00:00:00,27.2,27.8,26.1,26.65,5344
2015-04-17,00:00:00,25.8,27.5,25.8,26.1,2912
2015-04-20,00:00:00,25.55,27.4,25.55,27.4,34583
2015-04-21,00:00:00,28.4,28.75,27.0,28.75,22528
2015-04-22,00:00:00,29.7,30.15,28.6,30.1,34920
2015-04-23,00:00:00,30.0,30.1,28.6,28.65,17454
2015-04-24,00:00:00,28.1,28.1,27.25,27.25,9458
2015-04-27,00:00:00,27.0,27.0,25.9,25.9,8103
2015-04-28,00:00:00,24.7,26.0,24.65,25.0,21371
2015-04-29,00:00:00,24.5,26.25,24.5,26.25,22798
2015-04-30,00:00:00,26.7,27.55,26.5,27.55,16037
2015-05-04,00:00:00,28.05,30.3,28.05,30.2,33978
2015-05-05,00:00:00,30.0,32.2,30.0,30.95,37467
2015-05-06,00:00:00,30.95,31.75,27.9,29.45,36327
2015-05-07,00:00:00,29.0,29.9,28.0,29.0,31322
2015-05-08,00:00:00,30.45,30.5,29.0,29.35,12099
2015-05-11,00:00:00,31.0,31.4,28.55,30.15,8671
2015-05-12,00:00:00,29.0,31.0,28.25,28.75,15768
2015-05-13,00:00:00,29.0,29.95,28.5,28.65,5019
2015-05-14,00:00:00,28.55,29.75,28.0,28.9,4297
2015-05-15,00:00:00,29.65,29.65,28.0,28.25,9964
2015-05-18,00:00:00,28.35,29.85,26.6,28.5,2367
2015-05-19,00:00:00,28.25,29.5,27.25,28.95,15383
2015-05-20,00:00:00,29.45,31.8,29.4,31.8,40126
2015-05-21,00:00:00,32.0,32.9,31.0,32.0,30318
2015-05-22,00:00:00,32.95,33.95,31.6,32.15,33439
2015-05-25,00:00:00,33.65,33.65,30.6,32.79,13795
2015-05-26,00:00:00,33.0,33.0,31.25,32.75,16015
2015-05-27,00:00:00,33.65,33.65,30.5,32.25,21511
2015-05-28,00:00:00,31.6,31.6,29.75,30.05,16050
2015-05-29,00:00:00,30.1,30.7,29.6,30.1,9029
2015-06-01,00:00:00,29.45,29.85,28.3,28.45,8588
2015-06-02,00:00:00,28.55,29.0,27.75,28.5,5111
2015-06-03,00:00:00,28.0,29.1,25.8,27.1,17700
2015-06-04,00:00:00,29.3,29.5,27.35,27.5,6221
2015-06-05,00:00:00,29.0,29.0,26.4,26.75,4093
2015-06-08,00:00:00,26.7,27.75,26.5,26.55,3763
2015-06-09,00:00:00,28.9,28.9,26.5,26.8,3749
2015-06-10,00:00:00,27.6,30.0,27.6,29.15,16344
2015-06-11,00:00:00,29.95,30.0,28.35,28.4,15286
2015-06-12,00:00:00,31.5,31.5,28.1,29.15,7051
2015-06-15,00:00:00,29.0,29.9,28.25,28.5,3767
2015-06-16,00:00:00,31.4,31.4,27.65,28.7,13149
2015-06-17,00:00:00,29.0,31.5,29.0,30.95,18870
2015-06-18,00:00:00,32.0,32.0,28.6,28.95,26656
2015-06-19,00:00:00,34.6,34.6,28.35,28.55,7603
2015-06-22,00:00:00,30.35,30.35,28.35,28.9,3365
2015-06-23,00:00:00,29.6,29.6,28.4,28.45,4688
2015-06-24,00:00:00,28.4,29.2,28.4,29.05,2664
2015-06-25,00:00:00,29.0,29.0,28.0,28.7,19677
2015-06-26,00:00:00,29.0,29.35,28.15,28.25,16089
2015-06-29,00:00:00,27.6,28.5,26.1,27.25,7572
2015-06-30,00:00:00,28.85,28.85,27.35,27.9,3908
2015-07-01,00:00:00,29.25,31.1,28.5,30.0,39593
2015-07-02,00:00:00,34.2,34.2,30.05,33.5,125448
2015-07-03,00:00:00,30.6,34.7,30.55,33.25,36096
2015-07-06,00:00:00,33.54,37.5,33.04,37.1,75923
2015-07-07,00:00:00,39.7,39.85,34.5,37.9,72209
2015-07-08,00:00:00,37.9,37.9,34.5,36.2,19369
2015-07-09,00:00:00,35.85,40.0,35.85,39.04,91656
2015-07-10,00:00:00,40.0,42.0,37.1,41.6,97679
2015-07-13,00:00:00,43.6,44.3,40.95,42.25,65497
2015-07-14,00:00:00,43.0,44.0,41.0,41.25,28229
2015-07-15,00:00:00,39.65,41.75,39.29,39.75,13057
2015-07-16,00:00:00,39.35,40.6,37.0,37.2,20332
2015-07-17,00:00:00,40.0,40.0,37.6,38.65,22144
2015-07-20,00:00:00,38.5,40.0,37.95,39.04,20456
2015-07-21,00:00:00,39.0,39.0,37.35,37.45,13890
2015-07-22,00:00:00,40.9,40.9,36.5,38.79,69357
2015-07-23,00:00:00,41.0,41.0,37.15,37.7,15368
2015-07-24,00:00:00,37.29,45.2,36.04,44.0,147340
2015-07-27,00:00:00,44.0,48.1,42.5,47.6,138568
2015-07-28,00:00:00,48.0,50.2,45.45,48.8,97229
2015-07-29,00:00:00,50.25,50.4,46.6,46.8,30483
2015-07-30,00:00:00,48.45,49.25,46.4,47.1,43540
2015-07-31,00:00:00,45.4,47.85,45.15,45.6,31465
2015-08-03,00:00:00,49.85,49.85,45.5,45.6,15028
2015-08-04,00:00:00,47.0,47.25,45.0,46.3,22508
2015-08-05,00:00:00,48.5,48.5,45.45,45.9,21493
2015-08-06,00:00:00,47.0,47.0,42.3,43.4,23444
2015-08-07,00:00:00,44.9,45.0,42.0,43.35,25552
2015-08-10,00:00:00,43.3,47.9,43.0,45.6,32447
2015-08-11,00:00:00,44.5,45.0,43.05,43.35,19326
2015-08-12,00:00:00,42.15,43.7,41.0,41.25,20787
2015-08-13,00:00:00,42.7,42.95,38.0,38.25,16075
2015-08-14,00:00:00,38.75,42.4,38.5,42.0,9950
2015-08-17,00:00:00,43.8,44.0,42.0,43.5,10217
2015-08-18,00:00:00,46.55,46.55,42.0,42.4,9451
2015-08-19,00:00:00,43.45,43.9,41.1,42.2,12731
2015-08-20,00:00:00,41.6,41.9,39.0,40.9,11924
2015-08-21,00:00:00,42.0,42.0,39.1,39.95,9165
2015-08-24,00:00:00,38.0,41.45,35.1,38.1,33989
2015-08-25,00:00:00,39.75,39.75,32.1,37.4,19597
2015-08-26,00:00:00,35.35,38.9,35.35,37.1,15393
2015-08-27,00:00:00,38.45,39.0,36.4,38.2,28560
2015-08-28,00:00:00,38.4,40.0,37.54,38.1,15437
2015-08-31,00:00:00,38.4,38.6,34.1,35.9,26129
2015-09-01,00:00:00,34.85,36.45,33.2,33.75,13787
2015-09-02,00:00:00,39.9,39.9,32.0,32.4,14582
2015-09-03,00:00:00,34.0,34.9,32.65,34.25,20235
2015-09-04,00:00:00,32.35,33.75,32.0,33.4,8692
2015-09-07,00:00:00,32.7,34.35,32.7,33.0,7095
2015-09-08,00:00:00,34.0,35.29,32.0,34.85,16968
2015-09-09,00:00:00,34.4,40.25,34.0,39.2,61381
2015-09-10,00:00:00,37.04,45.45,37.0,44.35,74127
2015-09-11,00:00:00,46.35,53.2,46.35,49.45,324204
