Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,9.95,10.6,9.8,10.45,77620
2015-04-06,00:00:00,10.3,11.1,10.05,11.0,73020
2015-04-07,00:00:00,11.45,11.45,10.65,10.8,68630
2015-04-08,00:00:00,10.7,11.0,10.7,10.8,52800
2015-04-09,00:00:00,11.2,11.2,10.5,10.6,17320
2015-04-10,00:00:00,10.9,10.9,10.2,10.7,9240
2015-04-13,00:00:00,11.1,11.85,10.7,11.25,92760
2015-04-15,00:00:00,11.6,11.85,11.1,11.4,61410
2015-04-16,00:00:00,11.5,11.75,11.05,11.1,34740
2015-04-17,00:00:00,12.4,12.4,11.0,11.35,21460
2015-04-20,00:00:00,11.7,11.7,11.0,11.2,38950
2015-04-21,00:00:00,10.5,11.5,10.5,11.1,44200
2015-04-22,00:00:00,11.1,11.2,10.9,10.95,35570
2015-04-23,00:00:00,10.9,11.1,10.75,11.05,54370
2015-04-24,00:00:00,11.5,11.5,10.8,10.9,45820
2015-04-27,00:00:00,11.0,11.0,10.5,10.55,29470
2015-04-28,00:00:00,10.5,10.75,10.5,10.6,11720
2015-04-29,00:00:00,11.0,11.0,10.65,10.7,3750
2015-04-30,00:00:00,10.8,10.8,10.55,10.55,8750
2015-05-04,00:00:00,10.65,10.8,10.65,10.75,25670
2015-05-05,00:00:00,10.8,10.9,10.8,10.9,7090
2015-05-06,00:00:00,11.5,11.5,10.6,10.7,108650
2015-05-07,00:00:00,10.8,11.2,10.65,10.75,166380
2015-05-08,00:00:00,11.0,11.0,10.65,10.95,60400
2015-05-11,00:00:00,11.8,11.8,10.65,11.15,1780
2015-05-12,00:00:00,10.85,11.5,10.7,11.1,9170
2015-05-13,00:00:00,11.3,11.65,10.9,11.6,53200
2015-05-14,00:00:00,11.9,11.9,11.1,11.6,35910
2015-05-15,00:00:00,11.7,12.4,11.45,11.85,90270
2015-05-18,00:00:00,12.6,12.7,11.8,11.8,21750
2015-05-19,00:00:00,11.8,12.2,11.8,11.95,19440
2015-05-20,00:00:00,12.5,12.5,11.8,11.8,17810
2015-05-21,00:00:00,12.4,12.4,11.5,11.5,29860
2015-05-22,00:00:00,11.95,12.0,11.4,11.45,19640
2015-05-25,00:00:00,11.8,12.5,10.7,11.6,77390
2015-05-26,00:00:00,11.8,11.8,11.0,11.1,19690
2015-05-27,00:00:00,11.5,11.5,10.75,11.0,28420
2015-05-28,00:00:00,11.5,11.8,10.95,11.5,41860
2015-05-29,00:00:00,12.35,12.4,11.1,11.25,44790
2015-06-01,00:00:00,11.8,11.85,10.8,11.25,19130
2015-06-02,00:00:00,11.7,12.4,11.15,11.2,249100
2015-06-03,00:00:00,11.5,11.5,10.8,10.9,27160
2015-06-04,00:00:00,11.8,11.8,10.85,11.2,33060
2015-06-05,00:00:00,11.4,11.4,11.0,11.15,44390
2015-06-08,00:00:00,11.5,11.5,10.8,10.85,35600
2015-06-09,00:00:00,11.2,11.2,10.9,11.05,20910
2015-06-10,00:00:00,11.05,11.1,11.0,11.1,3320
2015-06-11,00:00:00,10.9,11.3,10.85,10.9,13200
2015-06-12,00:00:00,11.9,11.9,10.8,11.2,630
2015-06-15,00:00:00,11.2,11.9,10.85,11.55,64980
2015-06-16,00:00:00,11.25,11.9,11.25,11.8,71270
2015-06-17,00:00:00,12.3,12.3,11.5,11.8,27150
2015-06-18,00:00:00,12.0,12.0,11.5,11.8,28670
2015-06-19,00:00:00,12.0,13.25,11.85,13.05,432940
2015-06-22,00:00:00,13.4,13.9,12.8,13.0,100810
2015-06-23,00:00:00,13.1,13.5,12.85,12.9,97190
2015-06-24,00:00:00,13.1,13.4,12.7,12.85,136670
2015-06-25,00:00:00,13.0,13.1,12.5,12.85,77610
2015-06-26,00:00:00,12.65,13.15,12.6,12.75,23490
2015-06-29,00:00:00,13.0,13.15,12.35,12.65,61290
2015-06-30,00:00:00,13.1,13.55,12.5,13.05,39170
2015-07-01,00:00:00,13.6,13.6,12.7,12.8,45360
2015-07-02,00:00:00,12.75,12.95,12.7,12.8,32000
2015-07-03,00:00:00,13.5,13.5,12.7,12.8,33670
2015-07-06,00:00:00,13.3,13.3,12.7,13.0,4510
2015-07-07,00:00:00,13.6,13.6,12.8,13.05,43260
2015-07-08,00:00:00,13.05,13.2,12.7,13.1,66070
2015-07-09,00:00:00,13.15,13.2,12.9,13.05,98330
2015-07-10,00:00:00,13.5,13.5,12.8,12.9,188660
2015-07-13,00:00:00,13.6,13.7,12.45,12.5,68260
2015-07-14,00:00:00,13.1,13.1,12.35,12.4,85300
2015-07-15,00:00:00,13.7,13.7,12.4,12.6,13230
2015-07-16,00:00:00,12.5,12.5,11.95,12.05,9000
2015-07-17,00:00:00,12.7,12.7,12.25,12.3,6020
2015-07-20,00:00:00,12.1,12.35,11.95,12.0,24150
2015-07-21,00:00:00,12.45,12.45,11.75,11.9,19060
2015-07-22,00:00:00,12.2,12.2,12.2,12.2,40
2015-07-23,00:00:00,12.0,12.2,11.7,11.85,14080
2015-07-24,00:00:00,11.7,12.2,11.5,11.7,24680
2015-07-27,00:00:00,11.5,11.85,11.5,11.65,6880
2015-07-28,00:00:00,12.9,12.9,11.8,11.9,5350
2015-07-29,00:00:00,11.9,12.5,11.6,12.25,20720
2015-07-30,00:00:00,12.3,12.3,11.9,12.2,2840
2015-07-31,00:00:00,12.5,12.5,11.8,11.85,4580
2015-08-03,00:00:00,12.1,12.8,12.1,12.55,34720
2015-08-04,00:00:00,12.6,12.7,12.3,12.6,10800
2015-08-05,00:00:00,12.9,13.1,12.3,12.9,46150
