Date,Timestamp,Open,High,Low,Close,Volume
2023-06-19,00:00:00,34.44,34.44,34.44,34.44,2000
2023-06-26,00:00:00,34.0,34.0,34.0,34.0,40
2023-07-03,00:00:00,32.3,32.3,32.3,32.3,10
2023-07-24,00:00:00,30.69,30.69,30.69,30.69,18
2023-08-14,00:00:00,29.16,29.16,29.16,29.16,9
2023-08-18,00:00:00,27.71,27.71,27.71,27.71,3000
2023-08-21,00:00:00,26.33,28.85,26.33,28.85,3000
2023-08-22,00:00:00,27.41,30.29,27.41,30.29,6157
2023-08-23,00:00:00,30.0,30.0,30.0,30.0,18
2023-08-24,00:00:00,29.0,30.0,29.0,29.99,1162
2023-08-25,00:00:00,29.99,30.0,29.5,29.95,3994
2023-09-04,00:00:00,29.95,31.44,28.5,28.51,2913
2023-09-05,00:00:00,28.51,29.01,28.51,29.01,4488
2023-09-06,00:00:00,29.01,30.0,29.01,30.0,999
2023-09-12,00:00:00,30.0,30.0,30.0,30.0,2500
2023-09-13,00:00:00,30.0,30.0,30.0,30.0,5615
2023-09-15,00:00:00,30.0,30.0,30.0,30.0,1700
2023-09-18,00:00:00,30.0,30.0,30.0,30.0,700
2023-09-20,00:00:00,30.0,30.0,28.5,29.5,1115
2023-09-21,00:00:00,28.25,30.97,28.25,28.25,620
2023-09-22,00:00:00,29.66,29.66,29.66,29.66,111
2023-09-25,00:00:00,31.0,31.1,30.85,31.0,7542
2023-09-26,00:00:00,32.55,32.55,32.55,32.55,3476
2023-09-27,00:00:00,34.17,34.17,34.17,34.17,883
2023-09-28,00:00:00,35.87,35.87,35.87,35.87,640
2023-09-29,00:00:00,36.58,36.58,36.58,36.58,27
2023-10-03,00:00:00,37.31,37.31,37.31,37.31,35
2023-10-04,00:00:00,38.05,38.05,38.05,38.05,751
2023-10-05,00:00:00,38.05,38.05,38.05,38.05,100
2023-10-06,00:00:00,38.81,38.81,38.81,38.81,54
2023-10-09,00:00:00,39.58,39.58,39.58,39.58,575
2023-10-10,00:00:00,40.37,40.37,40.37,40.37,2091
2023-10-11,00:00:00,41.0,41.17,41.0,41.17,200
2023-10-12,00:00:00,41.99,41.99,41.99,41.99,125
2023-10-13,00:00:00,42.82,42.82,42.82,42.82,1
2023-10-16,00:00:00,43.67,43.67,43.67,43.67,2
2023-10-17,00:00:00,44.54,44.54,44.54,44.54,317
2023-10-18,00:00:00,45.43,45.43,45.43,45.43,2218
2023-10-19,00:00:00,46.33,46.33,45.0,46.33,263
2023-10-20,00:00:00,47.25,47.25,47.25,47.25,1598
2023-10-23,00:00:00,48.19,48.19,48.19,48.19,3854
2023-10-25,00:00:00,49.15,49.15,49.15,49.15,2200
2023-10-26,00:00:00,50.13,50.13,50.13,50.13,7415
2023-10-27,00:00:00,51.13,51.13,51.13,51.13,1
2023-10-30,00:00:00,52.15,52.15,51.13,52.15,1052
2023-10-31,00:00:00,53.19,53.19,52.15,52.15,608
2023-11-01,00:00:00,53.19,53.19,53.19,53.19,51
2023-11-02,00:00:00,54.25,54.25,54.25,54.25,450
2023-11-03,00:00:00,55.33,55.33,55.33,55.33,1070
2023-11-06,00:00:00,56.43,56.43,56.43,56.43,2000
2023-11-07,00:00:00,57.55,57.55,57.55,57.55,822
2023-11-08,00:00:00,58.6,58.7,58.6,58.7,1011
2023-11-09,00:00:00,59.87,59.87,59.87,59.87,148
2023-11-10,00:00:00,61.06,61.06,61.06,61.06,895
2023-11-12,00:00:00,62.28,62.28,62.28,62.28,376
2023-11-13,00:00:00,63.52,63.52,63.52,63.52,1741
2023-11-15,00:00:00,64.79,64.79,64.79,64.79,3102
2023-11-16,00:00:00,66.07,66.08,66.07,66.08,4102
2023-11-17,00:00:00,67.4,67.4,67.4,67.4,600
2023-11-20,00:00:00,68.74,68.74,68.74,68.74,540
2023-11-21,00:00:00,70.11,70.11,70.11,70.11,2467
2023-11-22,00:00:00,71.51,71.51,71.5,71.5,1888
2023-11-23,00:00:00,71.5,72.93,71.5,72.93,2457
2023-11-24,00:00:00,74.36,74.38,74.35,74.38,4086
2023-11-28,00:00:00,75.86,75.86,72.9,75.86,6147
2023-11-29,00:00:00,77.35,77.37,77.35,77.37,675
2023-11-30,00:00:00,78.91,78.91,75.83,78.91,2785
2023-12-01,00:00:00,80.47,80.48,80.4,80.48,666
2023-12-04,00:00:00,82.08,82.08,82.08,82.08,646
2023-12-05,00:00:00,83.72,83.72,83.0,83.72,970
2023-12-06,00:00:00,85.39,85.39,85.39,85.39,580
2023-12-07,00:00:00,87.09,87.09,87.09,87.09,847
2023-12-08,00:00:00,88.83,88.83,88.83,88.83,500
2023-12-11,00:00:00,90.6,90.6,90.5,90.6,2113
2023-12-12,00:00:00,92.41,92.41,92.41,92.41,2893
2023-12-13,00:00:00,94.25,94.25,94.25,94.25,2274
2023-12-14,00:00:00,96.13,96.13,96.13,96.13,2440
2023-12-15,00:00:00,98.05,98.05,98.0,98.0,3536
2023-12-18,00:00:00,99.96,99.96,99.96,99.96,4191
2023-12-19,00:00:00,101.95,101.95,99.5,101.95,3216
2023-12-20,00:00:00,103.98,103.98,103.98,103.98,1779
2023-12-21,00:00:00,106.05,106.05,106.05,106.05,442
2023-12-22,00:00:00,108.16,108.16,108.16,108.16,644
2023-12-26,00:00:00,110.32,110.32,110.32,110.32,4391
2023-12-27,00:00:00,110.32,112.52,110.32,112.52,590
2023-12-28,00:00:00,114.77,114.77,114.77,114.77,1577
2023-12-29,00:00:00,117.06,117.06,114.77,114.77,658
2024-01-01,00:00:00,112.5,112.8,112.5,112.5,857
2024-01-02,00:00:00,110.25,110.25,110.25,110.25,1767
2024-01-03,00:00:00,108.05,108.05,108.05,108.05,66
2024-01-05,00:00:00,105.9,105.9,105.9,105.9,2
2024-01-08,00:00:00,103.8,103.8,103.8,103.8,29
2024-01-10,00:00:00,101.75,101.75,101.75,101.75,1
2024-01-11,00:00:00,99.75,99.75,99.75,99.75,341
2024-01-12,00:00:00,97.8,97.8,97.8,97.8,37
2024-01-15,00:00:00,95.85,95.85,95.85,95.85,1029
2024-01-16,00:00:00,93.95,93.95,93.95,93.95,116
2024-01-17,00:00:00,92.1,92.1,92.1,92.1,100
2024-01-18,00:00:00,90.3,90.3,90.3,90.3,601
2024-01-19,00:00:00,88.5,88.5,88.5,88.5,33
2024-01-20,00:00:00,85.15,85.15,84.1,84.1,364
2024-01-23,00:00:00,79.9,79.9,79.9,79.9,5
2024-01-24,00:00:00,75.95,75.95,75.95,75.95,448
2024-01-25,00:00:00,72.2,72.2,72.2,72.2,8
2024-01-29,00:00:00,68.6,75.8,68.6,70.2,9313
2024-01-30,00:00:00,67.55,68.65,66.7,67.55,1887
2024-01-31,00:00:00,66.7,70.9,65.0,70.9,1879
2024-02-01,00:00:00,74.44,74.44,74.44,74.44,137
2024-02-02,00:00:00,78.16,78.16,74.0,74.0,2327
2024-02-05,00:00:00,77.7,77.7,70.3,70.3,3724
2024-02-06,00:00:00,67.6,67.6,66.79,66.79,1211
2024-02-07,00:00:00,64.55,68.9,63.46,63.46,4267
2024-02-08,00:00:00,63.46,63.46,60.29,60.29,1274
2024-02-09,00:00:00,60.29,60.29,57.28,57.28,5310
2024-02-12,00:00:00,59.87,59.87,54.42,54.42,6753
2024-02-13,00:00:00,51.7,51.7,51.7,51.7,845
2024-02-14,00:00:00,49.12,54.28,49.12,54.26,1924
2024-02-15,00:00:00,56.97,56.97,56.97,56.97,117
2024-02-16,00:00:00,59.8,59.81,59.54,59.81,2210
2024-02-19,00:00:00,62.79,62.79,62.78,62.79,1495
2024-02-20,00:00:00,65.89,65.92,65.89,65.92,558
2024-02-21,00:00:00,67.23,67.23,67.23,67.23,2426
2024-02-22,00:00:00,68.57,68.57,68.57,68.57,1220
2024-02-23,00:00:00,69.94,69.94,69.94,69.94,101
2024-02-26,00:00:00,71.33,71.33,71.33,71.33,316
2024-02-27,00:00:00,69.91,69.91,69.91,69.91,1701
2024-02-28,00:00:00,68.52,68.52,68.52,68.52,116
2024-03-01,00:00:00,67.5,67.5,67.5,67.5,10
2024-03-06,00:00:00,68.8,68.8,68.8,68.8,25
2024-03-07,00:00:00,67.43,67.43,67.43,67.43,1101
