Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,130.65,134.95,123.35,128.15,536
2015-04-06,00:00:00,121.75,129.95,120.15,122.6,651
2015-04-07,00:00:00,128.75,128.75,120.15,122.05,716
2015-04-08,00:00:00,122.0,130.65,120.8,124.15,792
2015-04-09,00:00:00,122.6,126.0,122.35,122.4,405
2015-04-10,00:00:00,120.2,134.0,120.2,133.45,1467
2015-04-13,00:00:00,132.0,134.7,130.1,133.35,1523
2015-04-15,00:00:00,131.3,140.0,128.15,134.9,10073
2015-04-16,00:00:00,134.85,144.65,130.05,130.1,3026
2015-04-17,00:00:00,124.0,137.0,124.0,130.45,608
2015-04-20,00:00:00,127.45,138.65,127.45,131.35,50
2015-04-21,00:00:00,124.0,143.35,124.0,133.35,186
2015-04-22,00:00:00,143.25,143.25,121.5,123.35,4755
2015-04-23,00:00:00,121.65,132.65,121.65,126.7,10247
2015-04-24,00:00:00,123.4,128.6,123.4,125.35,105
2015-04-27,00:00:00,125.35,125.85,120.15,122.15,624
2015-04-28,00:00:00,125.35,128.6,120.15,121.8,999
2015-04-29,00:00:00,122.25,122.25,122.15,122.2,530
2015-04-30,00:00:00,124.0,124.65,124.0,124.4,48
2015-05-04,00:00:00,123.35,123.35,120.85,121.85,149
2015-05-05,00:00:00,125.25,125.35,120.2,122.05,381
2015-05-06,00:00:00,120.35,124.65,118.4,120.35,4091
2015-05-07,00:00:00,120.0,120.0,117.65,117.65,201
2015-05-08,00:00:00,120.0,120.0,117.65,118.45,471
2015-05-11,00:00:00,131.95,131.95,118.65,119.65,389
2015-05-13,00:00:00,118.0,122.95,117.6,119.4,537
2015-05-15,00:00:00,118.05,123.25,117.5,120.65,2237
2015-05-18,00:00:00,114.65,121.45,114.65,119.95,620
2015-05-19,00:00:00,118.75,122.4,118.65,118.9,51
2015-05-20,00:00:00,118.65,122.95,115.35,116.25,1382
2015-05-21,00:00:00,118.65,121.65,117.35,121.35,44
2015-05-22,00:00:00,117.35,121.95,117.35,120.85,366
2015-05-25,00:00:00,117.4,120.05,114.0,114.35,153
2015-05-26,00:00:00,111.0,120.15,111.0,119.2,846
2015-05-27,00:00:00,117.5,120.0,115.35,118.2,932
2015-05-28,00:00:00,118.65,118.75,115.35,116.95,1257
2015-05-29,00:00:00,121.25,121.25,116.4,116.85,215
2015-06-01,00:00:00,118.0,121.35,116.65,116.75,908
2015-06-02,00:00:00,118.65,123.25,118.65,120.9,1655
2015-06-03,00:00:00,114.65,121.4,114.65,119.35,230
2015-06-04,00:00:00,118.0,118.65,118.0,118.65,8
2015-06-05,00:00:00,118.65,122.65,114.35,119.5,824
2015-06-08,00:00:00,117.35,118.15,117.35,118.15,117
2015-06-09,00:00:00,115.95,118.65,115.95,118.65,222
2015-06-10,00:00:00,116.05,119.85,116.05,119.5,468
2015-06-11,00:00:00,118.05,118.05,116.65,117.55,1457
2015-06-12,00:00:00,115.35,116.25,114.0,114.0,1071
2015-06-15,00:00:00,115.55,116.65,110.85,113.35,867
2015-06-16,00:00:00,113.35,116.6,113.35,113.45,198
2015-06-17,00:00:00,113.5,113.5,111.35,111.55,1830
2015-06-18,00:00:00,112.0,114.65,112.0,114.65,119
2015-06-19,00:00:00,110.0,114.0,107.5,114.0,765
2015-06-22,00:00:00,118.6,118.6,113.45,114.65,143
2015-06-23,00:00:00,120.0,120.0,113.8,114.8,215
2015-06-24,00:00:00,116.15,116.15,113.75,113.8,1178
2015-06-26,00:00:00,114.35,114.65,112.0,113.2,1200
2015-06-29,00:00:00,113.8,126.0,113.45,116.65,314
2015-06-30,00:00:00,117.35,117.35,114.15,114.15,222
2015-07-01,00:00:00,115.35,120.0,110.9,113.5,1439
2015-07-02,00:00:00,114.0,114.65,114.0,114.65,309
2015-07-03,00:00:00,114.05,118.65,114.0,114.05,1428
2015-07-06,00:00:00,114.0,118.65,114.0,114.8,624
2015-07-07,00:00:00,114.1,114.1,110.0,113.4,8694
2015-07-08,00:00:00,113.65,117.3,113.65,114.1,660
2015-07-09,00:00:00,117.35,118.0,110.0,113.05,6479
2015-07-10,00:00:00,132.0,132.0,113.35,114.65,846
2015-07-13,00:00:00,116.6,116.6,112.0,114.55,1125
2015-07-14,00:00:00,114.05,114.05,114.0,114.0,42
2015-07-15,00:00:00,123.35,123.35,114.65,116.05,2196
2015-07-16,00:00:00,118.25,120.65,116.65,117.85,2865
2015-07-17,00:00:00,120.65,120.65,115.55,116.3,2270
2015-07-20,00:00:00,135.35,135.35,114.65,116.55,3390
2015-07-21,00:00:00,115.95,119.95,115.95,116.05,843
2015-07-22,00:00:00,122.0,122.0,112.0,116.45,17384
2015-07-23,00:00:00,114.4,114.4,113.85,114.1,161
2015-07-24,00:00:00,114.05,116.65,114.0,115.05,681
2015-07-27,00:00:00,117.3,117.9,112.95,114.0,7059
2015-07-28,00:00:00,116.45,116.45,112.95,113.5,590
2015-07-29,00:00:00,115.95,116.0,112.25,112.9,3614
2015-07-30,00:00:00,112.95,115.3,112.95,113.5,2045
2015-07-31,00:00:00,113.75,116.65,111.0,116.3,4409
2015-08-03,00:00:00,113.45,115.8,111.65,114.65,2948
2015-08-04,00:00:00,100.65,113.3,100.65,112.85,2393
2015-08-05,00:00:00,119.95,119.95,112.85,117.45,1059
2015-08-06,00:00:00,117.95,119.35,117.95,119.35,297
2015-08-07,00:00:00,119.35,120.0,116.15,116.15,696
2015-08-10,00:00:00,112.65,127.0,112.65,117.45,5916
2015-08-11,00:00:00,131.35,131.35,115.15,117.05,677
2015-08-12,00:00:00,115.0,115.0,110.75,112.95,3780
2015-08-13,00:00:00,113.35,114.65,110.75,111.25,306
2015-08-14,00:00:00,115.35,116.5,113.35,113.35,8
2015-08-17,00:00:00,110.75,119.35,108.65,110.05,2150
2015-08-18,00:00:00,108.0,113.15,105.9,112.6,324
2015-08-19,00:00:00,112.6,115.2,108.1,113.15,5081
2015-08-20,00:00:00,113.3,113.3,110.3,111.35,1358
2015-08-21,00:00:00,106.65,113.25,106.55,109.0,336
2015-08-24,00:00:00,107.35,112.0,90.05,90.3,5283
2015-08-25,00:00:00,97.95,101.9,96.05,99.25,3597
2015-08-26,00:00:00,99.35,106.65,99.35,100.05,390
2015-08-27,00:00:00,105.25,105.25,100.15,100.5,243
2015-08-28,00:00:00,106.5,106.5,98.0,99.9,864
2015-08-31,00:00:00,99.95,103.25,95.55,101.65,476
2015-09-01,00:00:00,101.4,101.4,94.0,95.3,620
2015-09-02,00:00:00,97.0,97.0,96.65,96.65,1125
2015-09-03,00:00:00,100.6,102.0,97.35,101.25,1482
2015-09-04,00:00:00,101.8,101.8,97.35,99.05,660
