Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,316.0,321.0,312.2,313.39,397
2015-04-06,00:00:00,312.2,326.0,312.2,318.2,625
2015-04-07,00:00:00,322.0,345.0,318.5,334.8,4795
2015-04-08,00:00:00,332.0,339.7,330.3,335.0,1086
2015-04-09,00:00:00,350.0,350.0,327.0,331.1,3406
2015-04-10,00:00:00,336.0,339.0,327.3,331.2,4149
2015-04-13,00:00:00,327.3,334.6,327.3,332.7,1303
2015-04-15,00:00:00,340.0,340.0,328.0,329.4,1284
2015-04-16,00:00:00,336.0,336.0,326.0,329.7,1624
2015-04-17,00:00:00,325.5,334.0,325.5,329.0,823
2015-04-20,00:00:00,326.0,328.0,315.0,318.1,1340
2015-04-21,00:00:00,315.0,327.9,313.0,315.89,1514
2015-04-22,00:00:00,315.5,319.89,312.0,314.8,433
2015-04-23,00:00:00,319.0,319.0,310.0,313.3,1297
2015-04-24,00:00:00,315.0,318.0,307.0,309.2,1160
2015-04-27,00:00:00,308.2,313.7,300.0,302.3,1078
2015-04-28,00:00:00,307.0,309.89,302.0,309.89,283
2015-04-29,00:00:00,305.0,312.0,304.0,304.5,653
2015-04-30,00:00:00,305.0,312.0,300.0,303.89,1057
2015-05-04,00:00:00,304.0,305.0,300.0,301.1,165
2015-05-05,00:00:00,306.0,310.0,302.0,308.2,567
2015-05-06,00:00:00,301.1,307.39,280.1,287.6,3431
2015-05-07,00:00:00,295.0,295.0,284.2,284.2,766
2015-05-08,00:00:00,294.0,298.89,289.6,291.0,553
2015-05-11,00:00:00,300.0,305.89,297.2,299.0,281
2015-05-12,00:00:00,300.0,305.89,295.0,305.0,765
2015-05-13,00:00:00,303.1,310.0,303.1,303.1,124
2015-05-14,00:00:00,307.89,321.0,306.8,310.3,1346
2015-05-15,00:00:00,315.0,330.0,315.0,324.8,1251
2015-05-18,00:00:00,330.0,340.0,324.6,328.4,1361
2015-05-19,00:00:00,328.0,337.0,322.0,327.9,138
2015-05-20,00:00:00,330.0,330.0,311.5,317.7,746
2015-05-21,00:00:00,322.39,328.9,318.0,320.0,72
2015-05-22,00:00:00,325.0,325.0,305.0,307.6,1278
2015-05-25,00:00:00,319.89,319.89,312.5,316.3,435
2015-05-26,00:00:00,319.8,325.0,319.8,324.2,465
2015-05-27,00:00:00,324.8,328.5,324.8,325.0,488
2015-05-28,00:00:00,330.0,332.0,305.1,306.39,2021
2015-05-29,00:00:00,307.0,315.0,306.0,315.0,143
2015-06-01,00:00:00,337.0,364.0,330.0,357.9,10093
2015-06-02,00:00:00,355.0,367.0,337.0,339.9,1912
2015-06-03,00:00:00,333.0,336.9,315.3,323.8,1137
2015-06-04,00:00:00,321.0,364.0,311.1,354.0,5503
2015-06-05,00:00:00,350.0,389.0,332.5,375.1,10139
2015-06-08,00:00:00,370.0,372.9,350.6,354.8,2102
2015-06-09,00:00:00,378.0,378.0,345.0,353.7,882
2015-06-10,00:00:00,347.0,359.9,345.1,352.3,1873
2015-06-11,00:00:00,350.0,355.9,320.89,330.2,1622
2015-06-12,00:00:00,329.5,343.9,326.0,331.6,3882
2015-06-15,00:00:00,333.0,344.9,333.0,337.6,343
2015-06-16,00:00:00,332.1,360.0,332.1,347.0,1121
2015-06-17,00:00:00,348.9,367.6,346.6,357.8,4539
2015-06-18,00:00:00,360.0,368.5,358.0,360.2,1138
2015-06-19,00:00:00,361.0,365.0,345.5,356.0,689
2015-06-22,00:00:00,355.0,369.6,348.0,360.8,1680
2015-06-23,00:00:00,363.0,366.0,355.0,366.0,526
2015-06-24,00:00:00,370.0,372.0,355.6,356.0,633
2015-06-25,00:00:00,362.1,379.0,362.0,373.3,2353
2015-06-26,00:00:00,373.0,389.0,373.0,386.0,2061
2015-06-29,00:00:00,375.0,379.8,368.5,372.0,724
2015-06-30,00:00:00,374.1,389.8,365.5,381.3,1336
2015-07-01,00:00:00,388.0,409.6,383.0,387.7,1322
2015-07-02,00:00:00,380.0,396.4,380.0,386.1,471
2015-07-03,00:00:00,383.1,396.9,377.1,386.0,660
2015-07-06,00:00:00,379.0,399.0,370.0,391.3,900
2015-07-07,00:00:00,405.0,414.8,390.2,397.4,2242
2015-07-08,00:00:00,395.0,395.0,377.0,389.7,3787
2015-07-09,00:00:00,380.6,384.0,376.0,378.5,437
2015-07-10,00:00:00,390.0,406.0,376.3,387.1,1507
2015-07-13,00:00:00,395.9,399.9,385.0,394.0,927
2015-07-14,00:00:00,392.0,403.0,392.0,393.5,2967
