Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,0.32,0.32,0.27,0.31,10775
2015-04-06,00:00:00,0.27,0.32,0.27,0.3,25588
2015-04-07,00:00:00,0.26,0.32,0.26,0.32,11945
2015-04-08,00:00:00,0.32,0.32,0.28,0.28,24324
2015-04-09,00:00:00,0.27,0.32,0.26,0.31,24770
2015-04-10,00:00:00,0.31,0.32,0.31,0.32,31900
2015-04-13,00:00:00,0.34,0.34,0.31,0.31,1700
2015-04-15,00:00:00,0.35,0.35,0.31,0.32,81855
2015-04-16,00:00:00,0.28,0.32,0.28,0.31,107728
2015-04-17,00:00:00,0.27,0.31,0.26,0.31,42119
2015-04-20,00:00:00,0.26,0.32,0.26,0.32,23017
2015-04-21,00:00:00,0.32,0.34,0.3,0.3,37556
2015-04-22,00:00:00,0.28,0.32,0.28,0.28,7284
2015-04-23,00:00:00,0.32,0.34,0.28,0.31,306886
2015-04-24,00:00:00,0.3,0.33,0.27,0.31,45297
2015-04-27,00:00:00,0.28,0.33,0.28,0.3,69626
2015-04-28,00:00:00,0.32,0.32,0.27,0.28,46075
2015-04-29,00:00:00,0.25,0.32,0.25,0.28,5325
2015-04-30,00:00:00,0.32,0.32,0.24,0.24,81462
2015-05-04,00:00:00,0.28,0.28,0.28,0.28,5117
2015-05-05,00:00:00,0.23,0.32,0.23,0.25,17035
2015-05-06,00:00:00,0.3,0.3,0.22,0.25,125610
2015-05-07,00:00:00,0.28,0.28,0.22,0.23,121792
2015-05-08,00:00:00,0.24,0.27,0.22,0.27,130307
2015-05-11,00:00:00,0.23,0.3,0.23,0.25,20640
2015-05-12,00:00:00,0.23,0.3,0.22,0.3,266332
2015-05-13,00:00:00,0.34,0.36,0.28,0.36,399977
2015-05-14,00:00:00,0.39,0.39,0.33,0.35,82776
2015-05-15,00:00:00,0.38,0.38,0.32,0.36,128725
2015-05-18,00:00:00,0.38,0.38,0.33,0.33,85318
2015-05-19,00:00:00,0.33,0.33,0.3,0.32,54813
2015-05-20,00:00:00,0.28,0.35,0.28,0.33,38998
2015-05-21,00:00:00,0.3,0.34,0.3,0.32,60011
2015-05-22,00:00:00,0.35,0.35,0.28,0.28,52200
2015-05-25,00:00:00,0.31,0.31,0.31,0.31,52662
2015-05-26,00:00:00,0.28,0.34,0.28,0.33,58700
2015-05-27,00:00:00,0.31,0.34,0.31,0.34,29000
2015-05-28,00:00:00,0.37,0.37,0.31,0.32,94948
2015-05-29,00:00:00,0.3,0.34,0.3,0.34,7100
2015-06-01,00:00:00,0.34,0.35,0.31,0.34,43501
2015-06-02,00:00:00,0.35,0.37,0.34,0.35,1299598
2015-06-03,00:00:00,0.33,0.38,0.32,0.33,232046
2015-06-04,00:00:00,0.3,0.35,0.3,0.31,23079
2015-06-05,00:00:00,0.28,0.33,0.28,0.28,46537
2015-06-08,00:00:00,0.26,0.3,0.24,0.25,198146
2015-06-09,00:00:00,0.24,0.3,0.24,0.25,42810
2015-06-10,00:00:00,0.3,0.3,0.25,0.28,29450
2015-06-11,00:00:00,0.32,0.32,0.28,0.32,50873
2015-06-12,00:00:00,0.34,0.35,0.28,0.34,37510
2015-06-15,00:00:00,0.3,0.32,0.28,0.31,267273
2015-06-16,00:00:00,0.27,0.31,0.26,0.28,88546
2015-06-17,00:00:00,0.26,0.33,0.26,0.3,101886
2015-06-18,00:00:00,0.27,0.28,0.27,0.27,40920
2015-06-19,00:00:00,0.26,0.28,0.24,0.28,314464
2015-06-22,00:00:00,0.28,0.28,0.28,0.28,2000
2015-06-23,00:00:00,0.28,0.28,0.26,0.28,25300
2015-06-24,00:00:00,0.28,0.31,0.28,0.31,29600
2015-06-25,00:00:00,0.33,0.34,0.3,0.34,106129
2015-06-26,00:00:00,0.34,0.37,0.34,0.37,98854
2015-06-29,00:00:00,0.32,0.35,0.3,0.31,142873
2015-06-30,00:00:00,0.28,0.34,0.28,0.34,84829
2015-07-01,00:00:00,0.28,0.35,0.28,0.34,53006
2015-07-02,00:00:00,0.32,0.34,0.31,0.31,20225
2015-07-03,00:00:00,0.28,0.35,0.28,0.34,39813
2015-07-06,00:00:00,0.28,0.35,0.28,0.35,24199
2015-07-07,00:00:00,0.35,0.35,0.31,0.33,51131
2015-07-08,00:00:00,0.35,0.35,0.28,0.3,102418
2015-07-09,00:00:00,0.34,0.34,0.31,0.31,10200
2015-07-10,00:00:00,0.33,0.33,0.31,0.33,28890
2015-07-13,00:00:00,0.35,0.35,0.31,0.31,25001
2015-07-14,00:00:00,0.36,0.36,0.28,0.3,228031
2015-07-15,00:00:00,0.34,0.34,0.31,0.34,15021
2015-07-16,00:00:00,0.36,0.36,0.32,0.32,36760
2015-07-17,00:00:00,0.33,0.33,0.3,0.33,4510
2015-07-20,00:00:00,0.34,0.34,0.28,0.32,69379
2015-07-21,00:00:00,0.35,0.35,0.28,0.32,86307
2015-07-22,00:00:00,0.35,0.35,0.3,0.33,11273
2015-07-23,00:00:00,0.36,0.36,0.3,0.3,117369
2015-07-24,00:00:00,0.3,0.33,0.28,0.28,109617
2015-07-27,00:00:00,0.31,0.31,0.28,0.28,5907
2015-07-28,00:00:00,0.33,0.33,0.27,0.32,2663263
2015-07-29,00:00:00,0.38,0.38,0.28,0.32,68957
2015-07-30,00:00:00,0.38,0.38,0.28,0.28,46813
2015-07-31,00:00:00,0.32,0.32,0.28,0.28,37542
2015-08-03,00:00:00,0.28,0.34,0.28,0.28,3624114
2015-08-04,00:00:00,0.31,0.34,0.28,0.31,191583
2015-08-05,00:00:00,0.3,0.34,0.28,0.34,1029949
2015-08-06,00:00:00,0.28,0.36,0.28,0.34,3400102
2015-08-07,00:00:00,0.28,0.38,0.28,0.35,3574672
2015-08-10,00:00:00,0.35,0.35,0.31,0.35,75184
2015-08-11,00:00:00,0.31,0.4,0.3,0.36,252321
2015-08-12,00:00:00,0.28,0.38,0.28,0.36,50092
2015-08-13,00:00:00,0.3,0.4,0.28,0.33,3755818
2015-08-14,00:00:00,0.3,0.39,0.3,0.36,92930
2015-08-17,00:00:00,0.33,0.42,0.31,0.39,212644
2015-08-18,00:00:00,0.39,0.45,0.39,0.43,1122111
2015-08-19,00:00:00,0.37,0.51,0.37,0.49,1235762
2015-08-20,00:00:00,0.47,0.52,0.47,0.51,580532
2015-08-21,00:00:00,0.51,0.56,0.5,0.55,783408
2015-08-24,00:00:00,0.6,0.6,0.5,0.5,1647843
2015-08-25,00:00:00,0.54,0.54,0.45,0.5,1893383
2015-08-26,00:00:00,0.45,0.52,0.45,0.5,482338
2015-08-27,00:00:00,0.45,0.49,0.45,0.49,72795
2015-08-28,00:00:00,0.49,0.53,0.45,0.51,429562
2015-08-31,00:00:00,0.5,0.53,0.46,0.49,1050444
2015-09-01,00:00:00,0.48,0.5,0.45,0.48,203488
2015-09-02,00:00:00,0.44,0.48,0.44,0.47,16480
2015-09-03,00:00:00,0.48,0.49,0.43,0.43,9978
2015-09-04,00:00:00,0.44,0.49,0.35,0.46,38783
2015-09-07,00:00:00,0.45,0.49,0.4,0.46,1825
2015-09-08,00:00:00,0.48,0.49,0.37,0.45,19847
2015-09-09,00:00:00,0.46,0.46,0.38,0.46,31621
2015-09-10,00:00:00,0.46,0.46,0.4,0.45,116548
