Date,Timestamp,Open,High,Low,Close,Volume
2015-04-06,00:00:00,38.5,40.0,38.15,40.0,2700
2015-04-07,00:00:00,40.0,40.0,40.0,40.0,200
2015-04-08,00:00:00,40.9,41.5,40.9,41.5,3863
2015-04-09,00:00:00,39.45,43.55,39.45,40.2,2363
2015-04-10,00:00:00,40.0,42.2,38.7,41.75,4156
2015-04-13,00:00:00,40.1,43.45,39.7,43.45,476
2015-04-15,00:00:00,45.55,45.55,41.3,41.3,2884
2015-04-16,00:00:00,39.29,43.2,39.25,42.0,1593
2015-04-17,00:00:00,40.04,42.0,40.04,40.6,113
2015-04-20,00:00:00,42.35,42.35,39.29,41.2,1835
2015-04-21,00:00:00,39.6,42.0,39.6,42.0,300
2015-04-22,00:00:00,40.04,40.04,40.04,40.04,150
2015-04-23,00:00:00,38.85,42.05,38.85,42.05,3392
2015-04-24,00:00:00,41.05,43.9,39.95,42.0,4192
2015-04-27,00:00:00,40.0,43.0,39.95,41.95,783
2015-04-28,00:00:00,40.04,41.8,40.04,41.8,4348
2015-04-29,00:00:00,40.29,42.9,39.79,42.4,2355
2015-04-30,00:00:00,40.29,42.0,40.29,40.54,660
2015-05-04,00:00:00,42.55,42.55,39.25,41.0,16
2015-05-05,00:00:00,42.85,42.85,39.2,41.25,791
2015-05-06,00:00:00,39.4,39.6,39.2,39.25,2689
2015-05-07,00:00:00,39.5,41.2,39.5,41.2,51
2015-05-08,00:00:00,43.25,43.25,39.5,43.05,3175
2015-05-11,00:00:00,40.9,43.0,40.9,40.9,552
2015-05-12,00:00:00,42.5,42.9,40.0,40.0,1447
2015-05-13,00:00:00,38.75,42.0,38.75,41.0,928
2015-05-14,00:00:00,38.95,42.5,38.95,41.05,312
2015-05-15,00:00:00,43.0,43.0,39.35,40.4,1483
2015-05-18,00:00:00,38.65,39.7,38.6,38.75,1698
2015-05-19,00:00:00,40.0,40.0,38.9,38.9,995
2015-05-20,00:00:00,40.0,40.0,38.5,38.5,780
2015-05-21,00:00:00,40.0,40.0,40.0,40.0,1000
2015-05-22,00:00:00,39.4,39.6,39.4,39.6,250
2015-05-25,00:00:00,40.0,40.0,39.7,39.7,1945
2015-05-27,00:00:00,40.1,40.1,39.79,39.79,100
2015-05-28,00:00:00,40.1,40.1,40.1,40.1,50
2015-05-29,00:00:00,39.0,39.0,39.0,39.0,100
2015-06-01,00:00:00,40.9,40.95,38.7,39.0,3625
2015-06-02,00:00:00,40.0,40.0,39.0,40.0,1030
2015-06-03,00:00:00,38.04,40.7,38.04,40.2,3508
2015-06-04,00:00:00,40.0,40.0,38.7,38.9,3780
2015-06-05,00:00:00,38.04,40.0,38.04,38.6,11954
2015-06-08,00:00:00,38.29,40.4,38.29,38.9,5250
2015-06-09,00:00:00,38.4,39.79,38.4,38.75,7912
2015-06-10,00:00:00,38.9,40.65,38.9,40.65,11850
2015-06-11,00:00:00,39.0,41.95,39.0,41.95,8
2015-06-12,00:00:00,40.0,43.5,39.9,43.0,1261
2015-06-15,00:00:00,42.0,42.0,42.0,42.0,1
2015-06-16,00:00:00,40.0,40.0,40.0,40.0,199
2015-06-17,00:00:00,38.1,38.5,38.0,38.5,600
2015-06-18,00:00:00,38.9,38.9,38.9,38.9,500
2015-06-19,00:00:00,40.0,40.0,40.0,40.0,200
2015-06-22,00:00:00,38.75,38.75,38.75,38.75,432
2015-06-23,00:00:00,38.7,38.7,38.7,38.7,600
2015-06-24,00:00:00,40.0,40.1,38.7,39.85,1320
2015-06-25,00:00:00,38.54,38.54,38.5,38.5,533
2015-06-26,00:00:00,39.79,39.79,39.0,39.0,2875
2015-06-29,00:00:00,39.0,39.0,37.75,37.75,191
2015-06-30,00:00:00,38.5,39.0,36.65,38.29,8172
2015-07-01,00:00:00,38.5,38.7,38.5,38.7,431
2015-07-02,00:00:00,38.9,38.9,38.04,38.04,560
2015-07-03,00:00:00,38.04,38.04,38.04,38.04,100
2015-07-06,00:00:00,39.29,39.95,39.29,39.95,775
2015-07-07,00:00:00,38.4,39.95,38.35,39.95,352
2015-07-08,00:00:00,38.0,41.8,38.0,38.65,850
2015-07-09,00:00:00,37.79,37.79,37.65,37.65,500
2015-07-10,00:00:00,39.5,39.5,39.0,39.5,12598
2015-07-13,00:00:00,41.45,41.45,38.04,38.1,175
2015-07-14,00:00:00,40.0,40.0,38.5,40.0,1475
2015-07-15,00:00:00,42.0,42.0,39.6,40.15,577
2015-07-16,00:00:00,41.9,42.15,41.9,42.15,1376
2015-07-17,00:00:00,41.0,43.0,41.0,42.7,280
2015-07-20,00:00:00,43.0,43.0,43.0,43.0,368
2015-07-21,00:00:00,41.0,41.0,41.0,41.0,275
2015-07-23,00:00:00,39.45,39.45,39.45,39.45,100
2015-07-24,00:00:00,38.5,39.75,38.5,39.6,4070
2015-07-28,00:00:00,39.25,39.25,39.25,39.25,100
2015-07-29,00:00:00,40.0,40.29,40.0,40.25,130
2015-07-30,00:00:00,41.5,42.25,41.5,42.25,5545
