Date,Timestamp,Open,High,Low,Close,Volume
2015-05-21,00:00:00,10.26,10.26,10.26,10.26,2
2015-05-25,00:00:00,10.0,10.0,10.0,10.0,1
2015-07-14,00:00:00,9.55,9.55,9.55,9.55,500
2015-07-15,00:00:00,9.44,9.44,9.08,9.08,7000
2015-08-06,00:00:00,9.0,9.0,9.0,9.0,200
2015-09-10,00:00:00,8.55,8.55,8.55,8.55,500
2015-09-23,00:00:00,8.13,8.13,8.13,8.13,383
2015-09-28,00:00:00,8.19,8.19,8.19,8.19,1
2015-09-30,00:00:00,7.79,8.19,7.79,8.19,101
2015-10-07,00:00:00,8.19,8.19,8.0,8.0,1198
2015-10-12,00:00:00,7.6,7.6,7.6,7.6,260
2015-10-13,00:00:00,7.7,7.7,7.7,7.7,1150
2015-10-14,00:00:00,7.7,7.7,7.32,7.32,3350
2015-10-15,00:00:00,6.96,6.96,6.96,6.96,200
2015-10-16,00:00:00,6.65,6.65,6.65,6.65,350
2015-10-19,00:00:00,6.65,6.98,6.65,6.98,4180
2015-10-20,00:00:00,7.32,7.32,7.32,7.32,1110
2015-10-21,00:00:00,7.68,7.68,7.68,7.68,155
2015-10-23,00:00:00,7.98,7.98,7.98,7.98,6677
2015-10-26,00:00:00,8.36,8.36,8.1,8.36,850
2015-10-27,00:00:00,8.75,8.75,8.75,8.75,10
2015-10-28,00:00:00,8.32,9.0,8.32,8.59,700
2015-11-03,00:00:00,8.17,8.17,8.17,8.17,203
2015-11-05,00:00:00,7.77,7.77,7.77,7.77,200
2015-11-06,00:00:00,7.39,7.39,7.39,7.39,500
2015-11-13,00:00:00,7.03,7.04,7.03,7.04,6377
2015-11-16,00:00:00,7.38,7.39,7.38,7.39,1203
2015-11-17,00:00:00,7.75,7.75,7.75,7.75,1301
2015-11-18,00:00:00,8.13,8.13,8.0,8.0,4037
2015-11-19,00:00:00,8.0,8.4,7.76,7.94,6320
2015-11-20,00:00:00,8.33,8.33,7.57,7.62,2739
2015-11-23,00:00:00,7.62,8.0,7.3,7.31,790
2015-11-24,00:00:00,7.67,7.67,7.12,7.12,158
2015-11-26,00:00:00,7.4,7.47,7.4,7.47,1050
2015-11-27,00:00:00,7.84,7.84,7.84,7.84,1377
2015-11-30,00:00:00,7.45,7.45,7.45,7.45,200
2015-12-01,00:00:00,7.1,7.1,7.09,7.09,300
2015-12-02,00:00:00,7.0,7.0,7.0,7.0,400
2015-12-03,00:00:00,7.01,7.01,7.0,7.0,1000
2015-12-04,00:00:00,6.96,6.96,6.96,6.96,100
2015-12-07,00:00:00,7.3,7.3,7.3,7.3,1464
2015-12-08,00:00:00,6.98,7.46,6.96,7.46,3701
2015-12-10,00:00:00,7.68,7.77,7.68,7.77,350
2015-12-15,00:00:00,7.39,7.39,7.39,7.39,700
2015-12-16,00:00:00,7.75,7.75,7.75,7.75,300
2015-12-17,00:00:00,7.37,8.1,7.37,8.1,11
2015-12-18,00:00:00,7.7,7.7,7.7,7.7,100
2015-12-21,00:00:00,7.34,7.34,7.33,7.33,350
2015-12-22,00:00:00,7.2,7.68,7.13,7.68,201
2015-12-23,00:00:00,7.3,7.3,7.3,7.3,300
2015-12-24,00:00:00,7.26,7.66,7.26,7.66,150
2015-12-28,00:00:00,7.28,7.28,7.28,7.28,200
2015-12-29,00:00:00,7.2,7.2,7.02,7.02,2100
2015-12-30,00:00:00,7.1,7.37,7.1,7.11,310
2015-12-31,00:00:00,7.1,7.1,7.1,7.1,100
2016-01-01,00:00:00,7.15,7.45,7.15,7.45,160
2016-01-04,00:00:00,7.82,7.82,7.82,7.82,2510
2016-01-05,00:00:00,7.44,7.65,7.43,7.65,200
2016-01-06,00:00:00,7.75,8.02,7.75,7.75,1495
2016-01-08,00:00:00,7.37,8.1,7.37,8.1,1450
2016-01-11,00:00:00,8.34,8.5,8.34,8.44,1800
2016-01-12,00:00:00,8.1,8.85,8.08,8.72,2990
2016-01-13,00:00:00,9.0,9.0,8.28,8.28,1991
2016-01-14,00:00:00,8.01,8.69,7.88,8.55,3150
2016-01-15,00:00:00,8.13,8.69,8.13,8.15,3570
2016-01-18,00:00:00,7.75,7.75,7.75,7.75,300
2016-01-21,00:00:00,7.37,7.37,7.37,7.37,100
2016-01-22,00:00:00,7.02,7.73,7.02,7.72,5692
2016-01-25,00:00:00,7.51,8.02,7.34,7.43,1130
2016-02-01,00:00:00,7.7,7.75,7.11,7.19,3300
2016-02-02,00:00:00,7.5,7.5,7.49,7.49,3100
2016-02-03,00:00:00,7.48,7.48,7.15,7.25,2680
2016-02-05,00:00:00,7.2,7.2,7.2,7.2,1000
2016-02-08,00:00:00,7.56,7.56,6.85,6.85,2602
2016-02-09,00:00:00,6.51,6.51,6.51,6.51,2
2016-02-10,00:00:00,6.83,6.83,6.8,6.83,600
