Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,141.5,144.0,140.4,141.1,3300
2015-04-06,00:00:00,145.0,145.0,140.0,142.69,1955
2015-04-07,00:00:00,146.0,146.0,142.0,143.4,878
2015-04-08,00:00:00,144.0,153.0,144.0,147.5,1816
2015-04-09,00:00:00,148.0,151.0,145.8,149.1,2187
2015-04-10,00:00:00,152.0,158.0,151.6,155.0,3328
2015-04-13,00:00:00,158.0,158.0,152.0,156.4,1142
2015-04-15,00:00:00,154.1,158.0,152.0,155.8,2165
2015-04-16,00:00:00,152.0,157.9,151.0,153.4,2953
2015-04-17,00:00:00,152.0,153.9,151.0,151.4,1131
2015-04-20,00:00:00,152.0,154.4,151.0,152.3,2548
2015-04-21,00:00:00,145.0,153.0,145.0,153.0,1112
2015-04-22,00:00:00,152.0,152.0,143.0,148.69,1929
2015-04-23,00:00:00,150.0,151.5,148.0,150.0,1060
2015-04-24,00:00:00,147.69,149.5,145.1,146.0,1098
2015-04-27,00:00:00,148.0,148.0,141.0,145.3,1475
2015-04-28,00:00:00,146.0,147.5,140.0,140.6,764
2015-04-29,00:00:00,142.5,144.0,136.0,139.0,665
2015-04-30,00:00:00,140.0,156.0,138.1,145.8,997
2015-05-04,00:00:00,144.0,149.9,144.0,147.5,958
2015-05-05,00:00:00,163.9,163.9,149.0,149.9,4642
2015-05-06,00:00:00,152.0,152.0,147.0,150.6,519
2015-05-07,00:00:00,152.0,152.8,144.0,145.19,2767
2015-05-08,00:00:00,149.8,149.8,142.0,147.4,966
2015-05-11,00:00:00,148.0,148.0,142.5,143.6,709
2015-05-12,00:00:00,144.8,145.0,139.69,140.5,1293
2015-05-13,00:00:00,141.0,143.8,135.19,138.5,856
2015-05-14,00:00:00,137.5,142.0,137.0,137.9,1960
2015-05-15,00:00:00,139.1,142.0,138.19,138.6,228
2015-05-18,00:00:00,138.3,142.0,138.3,141.5,1649
2015-05-19,00:00:00,150.9,150.9,142.1,142.69,318
2015-05-20,00:00:00,144.8,145.0,142.0,142.0,591
2015-05-21,00:00:00,143.0,143.0,139.0,139.19,795
2015-05-22,00:00:00,142.8,142.8,140.0,141.19,407
2015-05-25,00:00:00,139.5,143.1,139.5,142.1,826
