Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,16.2,17.7,16.2,17.7,11
2015-04-06,00:00:00,16.85,18.35,16.85,16.85,492
2015-04-08,00:00:00,16.2,17.55,16.2,17.55,80
2015-04-09,00:00:00,17.89,17.89,17.89,17.89,22
2015-04-10,00:00:00,17.7,18.35,17.2,17.5,670
2015-04-13,00:00:00,16.64,16.75,16.64,16.75,165
2015-04-15,00:00:00,17.45,17.45,16.05,16.05,78
2015-04-16,00:00:00,15.45,15.45,15.45,15.45,33
2015-04-17,00:00:00,16.2,16.2,16.2,16.2,384
2015-04-21,00:00:00,17.0,17.0,17.0,17.0,100
2015-04-23,00:00:00,16.3,16.3,16.3,16.3,50
2015-04-24,00:00:00,15.55,15.6,15.55,15.6,450
2015-05-11,00:00:00,15.45,15.45,15.45,15.45,1
2015-05-12,00:00:00,14.75,14.75,14.75,14.75,250
2015-05-20,00:00:00,15.45,15.45,15.45,15.45,10
2015-05-21,00:00:00,14.95,16.2,14.95,16.2,708
2015-05-22,00:00:00,16.95,16.95,16.95,16.95,40
2015-05-25,00:00:00,16.55,17.55,16.55,17.14,460
2015-05-29,00:00:00,17.5,17.95,16.55,17.89,1330
2015-06-01,00:00:00,18.75,18.75,17.14,18.7,125
2015-06-02,00:00:00,17.8,18.89,17.8,17.8,40
2015-06-03,00:00:00,17.0,17.0,16.95,16.95,25
2015-06-04,00:00:00,16.14,16.14,16.14,16.14,425
2015-06-05,00:00:00,16.95,16.95,16.95,16.95,5
2015-06-09,00:00:00,17.75,17.75,17.75,17.75,1
2015-06-11,00:00:00,17.75,17.75,17.75,17.75,1
2015-06-12,00:00:00,16.89,18.5,16.89,16.89,658
2015-06-19,00:00:00,16.14,16.14,16.1,16.1,935
2015-06-24,00:00:00,15.4,15.4,15.4,15.4,18
2015-06-25,00:00:00,14.75,14.75,14.75,14.75,5
2015-06-29,00:00:00,14.1,14.1,14.1,14.1,5
2015-06-30,00:00:00,13.7,14.8,13.65,13.95,1156
2015-07-01,00:00:00,13.32,14.6,13.32,14.4,63
2015-07-02,00:00:00,15.12,15.12,15.12,15.12,104
2015-07-03,00:00:00,15.87,15.87,15.83,15.84,805
2015-07-06,00:00:00,15.35,16.39,15.31,16.23,337
2015-07-07,00:00:00,16.95,17.05,16.95,17.05,1583
2015-07-08,00:00:00,16.2,16.2,16.2,16.2,100
2015-07-09,00:00:00,17.01,17.01,16.5,16.5,525
2015-07-13,00:00:00,15.68,15.68,15.68,15.68,300
2015-07-14,00:00:00,14.95,16.46,14.95,16.46,282
2015-07-15,00:00:00,15.65,15.65,15.65,15.65,66
2015-07-16,00:00:00,16.42,16.42,15.01,15.01,74
2015-07-22,00:00:00,15.55,15.55,14.27,15.54,217
2015-07-23,00:00:00,15.49,16.29,15.49,16.29,2404
2015-08-03,00:00:00,17.1,17.1,15.5,17.1,613
2015-08-04,00:00:00,17.95,17.95,17.95,17.95,1
2015-08-05,00:00:00,18.45,18.45,18.45,18.45,1
2015-08-07,00:00:00,19.35,19.35,17.6,17.64,1205
2015-08-10,00:00:00,18.5,18.5,18.5,18.5,1
2015-08-11,00:00:00,19.39,19.39,19.35,19.35,26
2015-08-12,00:00:00,19.89,19.89,19.89,19.89,1
2015-08-13,00:00:00,20.8,20.8,20.8,20.8,1
2015-08-14,00:00:00,21.8,21.8,19.8,19.8,917
2015-08-17,00:00:00,20.75,20.75,20.75,20.75,1
2015-08-18,00:00:00,21.75,21.75,19.75,19.75,23
2015-08-19,00:00:00,20.7,20.7,20.7,20.7,1
2015-08-20,00:00:00,21.7,21.7,21.7,21.7,2
2015-08-21,00:00:00,22.75,22.75,20.65,20.65,3
2015-08-24,00:00:00,21.6,21.6,19.64,19.64,2
2015-08-25,00:00:00,20.6,20.6,18.7,18.7,27
2015-08-27,00:00:00,18.0,19.55,18.0,19.55,201
2015-09-02,00:00:00,19.95,19.95,19.95,19.95,1
2015-09-04,00:00:00,19.0,19.0,19.0,19.0,105
