Date,Timestamp,Open,High,Low,Close,Volume
2015-11-27,00:00:00,12.5,13.12,12.5,13.12,1050
2015-11-30,00:00:00,13.77,13.77,13.77,13.77,100
2015-12-01,00:00:00,14.45,14.45,14.45,14.45,1000
2015-12-02,00:00:00,15.17,15.17,15.17,15.17,250
2015-12-03,00:00:00,15.74,15.74,15.74,15.74,250
2015-12-07,00:00:00,16.52,16.52,16.52,16.52,250
2015-12-08,00:00:00,17.34,17.34,17.34,17.34,200
2015-12-10,00:00:00,17.89,17.89,17.89,17.89,200
2015-12-16,00:00:00,17.89,17.89,17.89,17.89,100
2016-01-04,00:00:00,18.75,18.75,18.75,18.75,20
2016-01-07,00:00:00,19.64,19.64,19.64,19.64,950
2016-02-04,00:00:00,20.6,20.6,20.6,20.6,50
2016-02-15,00:00:00,21.6,21.6,21.6,21.6,80
2016-02-16,00:00:00,22.65,22.65,20.6,20.6,125
2016-02-17,00:00:00,21.6,21.6,21.6,21.6,100
2016-02-24,00:00:00,22.65,22.65,22.65,22.65,400
2016-03-04,00:00:00,23.75,23.75,23.75,23.75,20
2016-03-08,00:00:00,24.9,24.9,24.9,24.9,800
2016-03-23,00:00:00,25.9,25.9,25.9,25.9,800
2016-08-26,00:00:00,26.0,26.0,26.0,26.0,100
2016-09-12,00:00:00,26.2,26.2,26.2,26.2,101
2016-09-15,00:00:00,26.2,26.2,26.2,26.2,50
2016-09-16,00:00:00,26.2,26.2,26.2,26.2,100
2016-10-03,00:00:00,27.5,27.5,27.5,27.5,1
2016-10-04,00:00:00,28.85,28.85,28.85,28.85,250
2016-10-05,00:00:00,30.25,30.25,30.25,30.25,2000
2016-10-06,00:00:00,31.4,31.4,28.75,28.75,260
2016-10-13,00:00:00,27.35,29.0,27.35,29.0,11
2016-10-14,00:00:00,30.45,30.45,30.45,30.45,502
2016-11-01,00:00:00,30.0,30.0,30.0,30.0,1000
2016-11-02,00:00:00,28.5,28.5,28.5,28.5,5
2016-11-03,00:00:00,27.1,27.1,27.1,27.1,5
2016-11-04,00:00:00,25.75,25.75,25.75,25.75,5
2016-11-07,00:00:00,24.5,24.5,24.5,24.5,3
2016-11-08,00:00:00,25.0,25.0,23.4,23.4,1003
2016-11-09,00:00:00,22.3,22.3,22.3,22.3,210
2016-11-10,00:00:00,23.4,23.4,21.5,21.5,1028
2016-11-11,00:00:00,22.5,22.55,22.5,22.55,1271
2016-11-17,00:00:00,22.6,22.6,22.55,22.55,3322
2016-11-24,00:00:00,22.55,22.55,22.55,22.55,1000
2016-11-25,00:00:00,22.55,22.55,22.55,22.55,2450
2016-11-28,00:00:00,22.55,22.55,22.55,22.55,3000
2016-11-29,00:00:00,23.0,23.0,22.55,22.55,1000
2016-11-30,00:00:00,22.55,22.55,22.55,22.55,1600
2016-12-01,15:00:00,22.55,22.55,22.55,22.55,1485
2016-12-02,00:00:00,22.55,22.55,22.55,22.55,2280
2016-12-05,00:00:00,22.55,22.55,22.55,22.55,1830
2016-12-06,00:00:00,22.55,22.55,22.55,22.55,1570
2016-12-07,00:00:00,22.55,23.65,22.55,22.55,1730
2016-12-08,00:00:00,22.55,23.65,22.55,23.65,815
2016-12-09,00:00:00,22.55,24.8,22.55,22.55,1010
2016-12-13,00:00:00,22.55,22.55,22.55,22.55,1300
2016-12-14,00:00:00,22.55,23.6,22.55,22.55,1767
2016-12-15,00:00:00,23.65,23.65,23.65,23.65,1350
2016-12-16,00:00:00,22.6,23.0,22.6,23.0,935
2016-12-19,00:00:00,23.0,24.15,23.0,24.15,2001
2016-12-20,00:00:00,23.5,23.5,23.5,23.5,250
2016-12-22,00:00:00,22.55,23.0,22.55,22.55,763
2016-12-23,00:00:00,22.55,22.55,21.45,21.45,152
2016-12-26,00:00:00,20.4,20.4,20.4,20.4,12
2016-12-27,00:00:00,21.3,21.3,21.3,21.3,25
2016-12-29,00:00:00,22.35,22.35,20.25,20.25,355
2017-01-02,00:00:00,21.2,21.2,21.2,21.2,500
2017-01-03,00:00:00,20.25,22.2,20.25,22.2,2000
2017-01-04,00:00:00,23.3,23.3,23.3,23.3,100
2017-01-05,00:00:00,24.3,24.3,22.15,22.15,1606
2017-01-11,00:00:00,22.75,22.85,22.75,22.85,505
2017-01-12,00:00:00,21.75,21.75,21.75,21.75,5
