Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,2.41,2.59,2.4,2.43,1601
2015-04-06,00:00:00,2.31,2.54,2.31,2.37,1011
2015-04-07,00:00:00,2.36,2.48,2.35,2.44,10285
2015-04-08,00:00:00,2.45,2.54,2.45,2.54,2511
2015-04-09,00:00:00,2.43,2.65,2.43,2.56,9018
2015-04-10,00:00:00,2.6,2.68,2.52,2.67,6301
2015-04-13,00:00:00,2.6,2.8,2.6,2.79,9135
2015-04-15,00:00:00,2.92,2.92,2.66,2.92,8150
2015-04-16,00:00:00,3.06,3.06,2.91,3.01,5539
2015-04-17,00:00:00,2.96,3.13,2.95,3.01,13628
2015-04-20,00:00:00,2.86,3.14,2.86,3.08,8116
2015-04-21,00:00:00,2.95,3.1,2.93,2.98,17612
2015-04-22,00:00:00,3.07,3.07,2.93,3.03,3993
2015-04-23,00:00:00,3.13,3.13,2.88,3.0,9770
2015-04-24,00:00:00,2.85,3.05,2.85,2.98,10120
2015-04-27,00:00:00,2.9,2.97,2.84,2.89,5781
2015-04-28,00:00:00,2.82,3.02,2.81,3.01,7685
2015-04-29,00:00:00,3.02,3.02,3.02,3.02,20
2015-04-30,00:00:00,2.9,3.15,2.87,2.91,10205
2015-05-04,00:00:00,3.05,3.05,2.9,2.9,7993
2015-05-05,00:00:00,2.86,3.0,2.86,2.96,2571
2015-05-06,00:00:00,2.83,3.0,2.83,2.92,3632
2015-05-07,00:00:00,2.82,3.0,2.79,2.81,6193
2015-05-08,00:00:00,2.85,2.95,2.76,2.95,3300
2015-05-11,00:00:00,2.83,2.9,2.81,2.81,7161
2015-05-12,00:00:00,2.7,2.8,2.67,2.8,6374
2015-05-13,00:00:00,2.71,2.9,2.7,2.76,1975
2015-05-14,00:00:00,2.67,2.85,2.63,2.75,8622
2015-05-15,00:00:00,2.62,2.85,2.62,2.7,12476
2015-05-18,00:00:00,2.6,2.74,2.57,2.58,9326
2015-05-19,00:00:00,2.46,2.64,2.46,2.52,6990
2015-05-20,00:00:00,2.47,2.64,2.46,2.64,6532
2015-05-21,00:00:00,2.52,2.64,2.5,2.59,10066
2015-05-22,00:00:00,2.5,2.64,2.5,2.6,1339
2015-05-25,00:00:00,2.48,2.63,2.48,2.58,489
2015-05-26,00:00:00,2.48,2.68,2.46,2.68,1715
2015-05-27,00:00:00,2.54,2.7,2.54,2.64,1962
2015-05-28,00:00:00,2.5,2.68,2.5,2.63,806
2015-05-29,00:00:00,2.5,2.63,2.5,2.63,6310
2015-06-01,00:00:00,2.5,2.69,2.5,2.66,4118
2015-06-02,00:00:00,2.67,2.67,2.67,2.67,30
2015-06-03,00:00:00,2.79,2.79,2.54,2.6,1538
2015-06-04,00:00:00,2.73,2.73,2.47,2.47,1615
2015-06-05,00:00:00,2.35,2.57,2.35,2.54,1830
2015-06-09,00:00:00,2.62,2.62,2.43,2.43,3810
2015-06-10,00:00:00,2.54,2.54,2.31,2.52,12228
2015-06-11,00:00:00,2.63,2.63,2.41,2.47,2562
2015-06-12,00:00:00,2.56,2.56,2.38,2.39,430
2015-06-15,00:00:00,2.5,2.5,2.27,2.49,1989
2015-06-16,00:00:00,2.61,2.61,2.39,2.58,2315
2015-06-17,00:00:00,2.46,2.57,2.46,2.52,6512
2015-06-18,00:00:00,2.6,2.6,2.4,2.59,10370
2015-06-19,00:00:00,2.48,2.6,2.48,2.57,4267
2015-06-22,00:00:00,2.5,2.59,2.45,2.57,4325
2015-06-23,00:00:00,2.45,2.6,2.45,2.6,1110
2015-06-24,00:00:00,2.47,2.61,2.47,2.57,7020
2015-06-25,00:00:00,2.49,2.59,2.49,2.5,360
2015-06-26,00:00:00,2.39,2.4,2.38,2.38,43098
2015-06-29,00:00:00,2.27,2.48,2.27,2.33,3507
2015-06-30,00:00:00,2.23,2.4,2.23,2.25,2591
2015-07-01,00:00:00,2.25,2.37,2.18,2.25,3485
2015-07-02,00:00:00,2.25,2.36,2.25,2.25,3698
2015-07-03,00:00:00,2.16,2.36,2.16,2.35,12056
2015-07-06,00:00:00,2.25,2.46,2.24,2.45,18236
2015-07-07,00:00:00,2.45,2.57,2.41,2.48,11374
2015-07-08,00:00:00,2.5,2.5,2.37,2.5,2705
2015-07-09,00:00:00,2.5,2.5,2.39,2.48,6385
2015-07-10,00:00:00,2.5,2.54,2.4,2.41,1112
2015-07-13,00:00:00,2.5,2.5,2.29,2.38,3910
2015-07-14,00:00:00,2.29,2.45,2.29,2.44,5579
2015-07-15,00:00:00,2.56,2.56,2.35,2.4,8985
2015-07-16,00:00:00,2.4,2.49,2.4,2.4,4103
2015-07-17,00:00:00,2.4,2.52,2.4,2.5,12200
2015-07-20,00:00:00,2.6,2.62,2.4,2.54,11915
2015-07-21,00:00:00,2.5,2.66,2.5,2.66,3729
2015-07-22,00:00:00,2.7,2.79,2.54,2.79,15007
2015-07-23,00:00:00,2.92,2.92,2.75,2.92,7095
2015-07-24,00:00:00,2.78,3.06,2.78,2.99,15442
2015-07-27,00:00:00,2.9,3.11,2.9,2.91,11305
2015-07-28,00:00:00,3.0,3.02,2.79,3.0,6415
2015-07-29,00:00:00,2.9,3.0,2.9,3.0,2840
2015-07-30,00:00:00,3.15,3.15,2.85,2.9,2672
2015-07-31,00:00:00,2.76,2.95,2.76,2.81,9191
2015-08-03,00:00:00,2.95,2.95,2.67,2.95,2538
2015-08-04,00:00:00,2.81,2.98,2.81,2.98,890
2015-08-05,00:00:00,2.98,3.12,2.84,3.04,20250
2015-08-06,00:00:00,3.16,3.16,2.89,3.15,2525
2015-08-07,00:00:00,3.1,3.2,3.0,3.0,7794
2015-08-10,00:00:00,3.1,3.15,2.93,3.0,5416
2015-08-11,00:00:00,2.87,3.1,2.87,2.93,543
2015-08-12,00:00:00,2.79,2.8,2.79,2.79,7571
2015-08-13,00:00:00,2.92,2.92,2.68,2.75,3600
2015-08-14,00:00:00,2.75,2.86,2.67,2.86,1601
2015-08-17,00:00:00,2.76,3.0,2.72,2.78,4365
2015-08-18,00:00:00,2.7,2.8,2.65,2.8,1455
2015-08-19,00:00:00,2.66,2.85,2.66,2.85,4000
2015-08-20,00:00:00,2.71,2.71,2.71,2.71,3300
2015-08-21,00:00:00,2.82,2.82,2.58,2.6,3700
2015-08-24,00:00:00,2.7,2.7,2.47,2.47,1754
2015-08-25,00:00:00,2.35,2.49,2.35,2.49,450
2015-08-26,00:00:00,2.4,2.4,2.37,2.37,1550
2015-08-27,00:00:00,2.25,2.42,2.25,2.29,7635
2015-08-28,00:00:00,2.21,2.39,2.21,2.25,14669
2015-08-31,00:00:00,2.29,2.37,2.23,2.36,8004
2015-09-01,00:00:00,2.25,2.39,2.25,2.37,5769
2015-09-02,00:00:00,2.25,2.25,2.25,2.25,50
2015-09-03,00:00:00,2.15,2.37,2.15,2.21,15207
2015-09-04,00:00:00,2.13,2.29,2.13,2.29,3426
2015-09-07,00:00:00,2.35,2.35,2.19,2.2,2200
2015-09-08,00:00:00,2.29,2.29,2.29,2.29,300
2015-09-09,00:00:00,2.34,2.34,2.25,2.34,5099
2015-09-10,00:00:00,2.23,2.37,2.23,2.37,2800
2015-09-11,00:00:00,2.25,2.37,2.25,2.25,1250
2015-09-14,00:00:00,2.37,2.37,2.37,2.37,200
2015-09-15,00:00:00,2.4,2.42,2.25,2.29,19280
2015-09-16,00:00:00,2.21,2.4,2.21,2.4,2000
2015-09-18,00:00:00,2.46,2.46,2.34,2.42,2352
2015-09-21,00:00:00,2.29,2.29,2.29,2.29,270
2015-09-23,00:00:00,2.21,2.41,2.19,2.27,5901
2015-09-24,00:00:00,2.17,2.35,2.17,2.23,3025
2015-09-28,00:00:00,2.34,2.34,2.15,2.15,1200
2015-09-29,00:00:00,2.25,2.25,2.25,2.25,4020
2015-09-30,00:00:00,2.35,2.36,2.18,2.35,4172
2015-10-01,00:00:00,2.24,2.45,2.24,2.27,7731
2015-10-05,00:00:00,2.38,2.39,2.24,2.29,4022
2015-10-06,00:00:00,2.25,2.41,2.25,2.4,1212
2015-10-07,00:00:00,2.33,2.45,2.31,2.44,320
2015-10-08,00:00:00,2.34,2.34,2.34,2.34,600
2015-10-09,00:00:00,2.45,2.45,2.25,2.45,7685
2015-10-12,00:00:00,2.57,2.57,2.41,2.56,13805
2015-10-13,00:00:00,2.44,2.68,2.44,2.47,5817
2015-10-14,00:00:00,2.54,2.54,2.4,2.49,3136
2015-10-15,00:00:00,2.38,2.57,2.37,2.39,22560
2015-10-16,00:00:00,2.29,2.47,2.27,2.45,2421
2015-10-19,00:00:00,2.5,2.5,2.5,2.5,4
2015-10-20,00:00:00,2.38,2.54,2.38,2.49,6663
2015-10-21,00:00:00,2.37,2.61,2.37,2.59,7587
2015-10-23,00:00:00,2.5,2.68,2.47,2.59,4302
2015-10-26,00:00:00,2.5,2.66,2.47,2.58,712
2015-10-27,00:00:00,2.46,2.54,2.46,2.54,5450
2015-10-28,00:00:00,2.54,2.63,2.43,2.43,11555
2015-10-29,00:00:00,2.38,2.5,2.38,2.48,4130
2015-10-30,00:00:00,2.38,2.5,2.37,2.4,288
2015-11-02,00:00:00,2.29,2.48,2.27,2.29,2348
2015-11-03,00:00:00,2.24,2.4,2.24,2.4,11857
2015-11-04,00:00:00,2.4,2.52,2.4,2.5,8755
2015-11-05,00:00:00,2.5,2.61,2.5,2.59,1155
2015-11-06,00:00:00,2.71,2.71,2.71,2.71,6408
2015-11-09,00:00:00,2.84,2.84,2.58,2.82,700
2015-11-10,00:00:00,2.94,2.95,2.8,2.8,6026
2015-11-11,00:00:00,2.94,2.94,2.94,2.94,1750
2015-11-13,00:00:00,3.07,3.08,2.8,2.84,2672
2015-11-16,00:00:00,2.7,2.98,2.7,2.97,14873
2015-11-17,00:00:00,3.1,3.1,2.9,2.97,1241
2015-11-18,00:00:00,2.84,3.09,2.84,2.98,1185
2015-11-19,00:00:00,3.09,3.09,3.0,3.0,2700
2015-11-20,00:00:00,2.85,3.12,2.85,2.86,11291
2015-11-23,00:00:00,2.75,3.0,2.75,3.0,4515
2015-11-24,00:00:00,3.0,3.0,2.86,3.0,2110
2015-11-26,00:00:00,2.86,2.99,2.85,2.99,1213
2015-11-27,00:00:00,2.85,2.99,2.85,2.99,525
2015-11-30,00:00:00,2.86,2.99,2.86,2.95,836
2015-12-01,00:00:00,2.81,3.08,2.81,3.0,4518
2015-12-02,00:00:00,3.0,3.0,2.85,2.99,5111
2015-12-03,00:00:00,2.9,3.12,2.9,2.97,1531
2015-12-04,00:00:00,2.83,3.11,2.83,3.1,18530
2015-12-07,00:00:00,2.95,3.23,2.95,2.98,4858
2015-12-08,00:00:00,3.0,3.1,2.9,3.1,905
2015-12-09,00:00:00,3.0,3.14,2.95,3.14,4482
2015-12-10,00:00:00,3.0,3.1,3.0,3.1,370
2015-12-11,00:00:00,2.95,3.09,2.95,2.98,660
2015-12-14,00:00:00,2.9,3.12,2.87,3.12,1005
2015-12-15,00:00:00,2.97,3.1,2.97,3.09,370
2015-12-16,00:00:00,3.1,3.1,2.96,2.96,1820
2015-12-17,00:00:00,2.95,3.1,2.84,3.1,724
2015-12-18,00:00:00,3.24,3.24,2.96,3.17,1952
2015-12-21,00:00:00,3.28,3.3,3.02,3.19,22002
2015-12-22,00:00:00,3.34,3.34,3.04,3.05,5121
