Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,5.69,5.9,5.4,5.73,29224
2015-04-06,00:00:00,5.7,6.3,5.7,5.84,68816
2015-04-07,00:00:00,5.99,5.99,5.55,5.78,30419
2015-04-08,00:00:00,5.8,6.1,5.75,5.78,77685
2015-04-09,00:00:00,5.99,5.99,5.66,5.7,67893
2015-04-10,00:00:00,5.8,5.96,5.63,5.86,428945
2015-04-13,00:00:00,6.25,6.25,5.83,5.88,42749
2015-04-15,00:00:00,5.81,6.15,5.72,5.77,19646
2015-04-16,00:00:00,6.0,6.0,5.5,5.72,23951
2015-04-17,00:00:00,5.21,5.7,5.21,5.43,30847
2015-04-20,00:00:00,5.5,5.65,5.3,5.42,10907
2015-04-21,00:00:00,5.3,5.93,5.2,5.8,18251
2015-04-22,00:00:00,5.6,6.0,5.6,5.85,13335
2015-04-23,00:00:00,5.8,6.0,5.55,5.6,17824
2015-04-24,00:00:00,5.21,5.7,5.09,5.24,29802
2015-04-27,00:00:00,5.16,5.57,5.03,5.17,23592
2015-04-28,00:00:00,5.01,5.36,5.01,5.12,26111
2015-04-29,00:00:00,5.05,5.42,5.0,5.09,10344
2015-04-30,00:00:00,5.05,5.7,4.4,5.55,157705
2015-05-04,00:00:00,5.57,6.0,5.5,5.64,38961
2015-05-05,00:00:00,5.75,5.9,5.05,5.25,72149
2015-05-06,00:00:00,5.2,5.65,5.2,5.23,75252
2015-05-07,00:00:00,5.16,5.42,5.09,5.13,23667
2015-05-08,00:00:00,5.25,5.45,5.21,5.33,1988
2015-05-11,00:00:00,5.68,5.68,5.35,5.44,4178
2015-05-12,00:00:00,5.4,5.51,5.01,5.24,13319
2015-05-13,00:00:00,5.0,5.51,4.72,5.46,79050
2015-05-14,00:00:00,5.2,5.48,5.2,5.3,6884
2015-05-15,00:00:00,4.84,5.5,4.84,5.28,15451
2015-05-18,00:00:00,5.12,5.3,4.86,5.04,122875
2015-05-19,00:00:00,5.0,5.15,5.0,5.09,25425
2015-05-20,00:00:00,5.0,5.15,5.0,5.05,17332
2015-05-21,00:00:00,5.05,5.14,5.05,5.14,9231
2015-05-22,00:00:00,5.0,5.2,5.0,5.09,15397
2015-05-25,00:00:00,4.9,5.2,4.84,4.99,62282
2015-05-26,00:00:00,4.8,5.95,4.8,5.68,149458
2015-05-27,00:00:00,5.75,5.8,5.35,5.54,83728
2015-05-28,00:00:00,5.85,6.0,5.5,5.92,115065
2015-05-29,00:00:00,5.8,6.19,5.8,5.99,62502
2015-06-01,00:00:00,5.62,5.65,4.99,5.05,89373
2015-06-02,00:00:00,5.05,5.44,4.8,5.32,70453
2015-06-03,00:00:00,5.25,5.3,5.0,5.05,68593
2015-06-04,00:00:00,5.2,5.35,5.09,5.14,48371
2015-06-05,00:00:00,5.11,5.35,5.09,5.3,5873
2015-06-08,00:00:00,5.26,5.36,5.0,5.27,52840
2015-06-09,00:00:00,5.3,5.65,5.3,5.61,41475
2015-06-10,00:00:00,4.7,5.7,4.7,5.09,38425
2015-06-11,00:00:00,5.2,5.36,5.08,5.13,11710
2015-06-12,00:00:00,5.23,5.34,5.09,5.22,20260
2015-06-15,00:00:00,5.09,5.4,5.09,5.4,5572
2015-06-16,00:00:00,5.4,5.4,5.15,5.15,5250
2015-06-17,00:00:00,5.01,5.5,5.01,5.48,13941
2015-06-18,00:00:00,5.12,5.47,5.07,5.34,17765
2015-06-19,00:00:00,5.45,5.45,5.12,5.33,4652
2015-06-22,00:00:00,5.32,5.41,5.09,5.13,9084
2015-06-23,00:00:00,5.29,5.29,5.0,5.05,23926
2015-06-24,00:00:00,5.05,5.17,4.96,4.96,11575
2015-06-25,00:00:00,4.97,5.15,4.9,5.15,17697
2015-06-26,00:00:00,5.0,5.14,4.96,4.96,6300
2015-06-29,00:00:00,4.84,5.01,4.21,4.8,56593
2015-06-30,00:00:00,4.7,5.24,4.69,5.13,18020
2015-07-01,00:00:00,5.0,5.19,5.0,5.04,14701
2015-07-02,00:00:00,5.2,5.2,5.0,5.05,5311
2015-07-03,00:00:00,5.0,5.2,4.9,5.09,16799
2015-07-06,00:00:00,5.09,5.17,4.8,4.94,64765
2015-07-07,00:00:00,5.09,5.75,5.03,5.38,24787
2015-07-08,00:00:00,5.52,5.52,5.15,5.17,16733
2015-07-09,00:00:00,5.2,5.3,5.09,5.29,11121
2015-07-10,00:00:00,5.48,5.48,5.25,5.37,20502
2015-07-13,00:00:00,5.4,5.9,5.4,5.45,46379
2015-07-14,00:00:00,5.5,5.75,5.4,5.4,81244
2015-07-15,00:00:00,5.4,5.64,5.35,5.47,21059
2015-07-16,00:00:00,5.45,5.5,5.26,5.33,3761
2015-07-17,00:00:00,5.39,5.48,5.0,5.37,47667
2015-07-20,00:00:00,5.49,5.49,5.12,5.29,4438
2015-07-21,00:00:00,5.45,5.45,5.05,5.07,47195
2015-07-22,00:00:00,5.45,6.08,5.0,5.96,215635
2015-07-23,00:00:00,5.95,6.74,5.95,6.46,227622
2015-07-24,00:00:00,6.7,6.7,6.01,6.49,27619
2015-07-27,00:00:00,6.99,6.99,6.05,6.11,26325
2015-07-28,00:00:00,6.49,6.5,6.0,6.13,26606
