Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,49.5,49.85,49.5,49.65,500
2015-04-06,00:00:00,52.75,52.75,52.75,52.75,12
2015-04-07,00:00:00,50.0,50.0,50.0,50.0,6
2015-04-08,00:00:00,47.0,47.0,46.25,46.35,110
2015-04-10,00:00:00,53.25,55.6,52.0,55.6,10644
2015-04-13,00:00:00,60.0,60.0,51.0,56.5,2327
2015-04-15,00:00:00,56.5,56.5,53.25,54.85,953
2015-04-16,00:00:00,53.75,53.75,53.75,53.75,25
2015-04-17,00:00:00,50.05,50.05,50.05,50.05,2
2015-04-20,00:00:00,47.05,48.6,47.05,48.6,260
2015-04-22,00:00:00,42.6,48.6,42.6,48.6,225
2015-04-24,00:00:00,48.0,48.0,47.5,47.5,225
2015-04-28,00:00:00,47.5,47.5,47.5,47.5,304
2015-04-29,00:00:00,42.65,50.0,42.65,46.0,675
2015-04-30,00:00:00,50.0,50.0,50.0,50.0,524
2015-05-04,00:00:00,44.4,52.0,44.4,48.15,1447
2015-05-05,00:00:00,47.05,47.05,47.05,47.05,50
2015-05-06,00:00:00,49.9,50.0,49.9,50.0,900
2015-05-07,00:00:00,45.0,45.0,45.0,45.0,4
2015-05-08,00:00:00,50.0,50.0,46.5,50.0,2510
2015-05-11,00:00:00,50.0,50.0,48.95,48.95,552
2015-05-15,00:00:00,46.75,46.75,46.75,46.75,300
2015-05-20,00:00:00,46.5,46.5,46.5,46.5,100
2015-05-21,00:00:00,45.5,46.75,45.5,46.75,338
2015-05-22,00:00:00,54.0,54.0,54.0,54.0,50
2015-05-27,00:00:00,44.6,50.0,44.6,47.0,105
2015-05-29,00:00:00,43.25,48.85,43.25,48.85,71
2015-06-03,00:00:00,43.25,46.8,42.0,46.8,465
2015-06-04,00:00:00,41.4,43.0,41.4,41.95,180
2015-06-05,00:00:00,40.1,40.6,40.1,40.54,52
2015-06-09,00:00:00,40.0,40.0,39.0,40.0,358
2015-06-10,00:00:00,41.0,41.0,39.2,39.25,250
2015-06-11,00:00:00,41.2,41.2,41.2,41.2,100
2015-06-12,00:00:00,43.25,43.25,40.0,40.0,752
2015-06-15,00:00:00,40.0,42.0,40.0,42.0,105
2015-06-16,00:00:00,42.0,44.1,42.0,44.1,370
