Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,12.0,12.1,11.54,11.6,26233
2015-04-06,00:00:00,11.55,12.51,11.55,12.1,20266
2015-04-07,00:00:00,12.5,12.65,12.0,12.49,31131
2015-04-08,00:00:00,12.99,13.45,12.6,13.05,27411
2015-04-09,00:00:00,13.38,13.45,12.98,13.2,27912
2015-04-10,00:00:00,13.41,13.77,13.0,13.42,26582
2015-04-13,00:00:00,13.5,15.9,13.5,15.09,49564
2015-04-15,00:00:00,15.0,16.0,15.0,15.72,54428
2015-04-16,00:00:00,16.59,17.39,16.01,17.19,101491
2015-04-17,00:00:00,16.7,18.0,16.32,16.95,73773
2015-04-20,00:00:00,17.64,17.64,15.99,16.41,27844
2015-04-21,00:00:00,16.6,16.6,15.51,15.93,8259
2015-04-22,00:00:00,15.9,15.9,14.02,14.89,23826
2015-04-23,00:00:00,15.5,15.5,14.33,14.84,10203
2015-04-24,00:00:00,14.8,14.95,14.6,14.6,13290
2015-04-27,00:00:00,13.2,15.0,13.2,14.21,4632
2015-04-28,00:00:00,14.85,14.85,13.67,14.22,10865
2015-04-29,00:00:00,14.5,16.91,14.5,15.18,27532
2015-04-30,00:00:00,15.25,15.76,14.75,15.51,40995
2015-05-04,00:00:00,16.3,16.3,14.75,14.85,12834
2015-05-05,00:00:00,15.45,15.95,14.8,15.6,6287
2015-05-06,00:00:00,15.25,15.3,14.2,14.7,26911
2015-05-07,00:00:00,14.95,15.7,14.65,14.75,10643
2015-05-08,00:00:00,14.95,14.95,13.8,13.85,21415
2015-05-11,00:00:00,14.65,14.65,14.4,14.55,867
2015-05-12,00:00:00,13.8,14.6,13.75,13.75,7149
2015-05-13,00:00:00,14.2,14.5,14.0,14.15,4046
2015-05-14,00:00:00,14.5,14.5,14.15,14.25,700
2015-05-15,00:00:00,14.5,14.55,13.85,14.1,13692
2015-05-18,00:00:00,14.05,14.05,12.95,13.65,25951
2015-05-19,00:00:00,13.0,14.0,12.85,13.0,53177
2015-05-20,00:00:00,12.7,13.15,12.7,13.1,6941
2015-05-21,00:00:00,12.8,13.35,12.8,12.85,5660
2015-05-22,00:00:00,12.75,13.0,12.7,12.9,3133
2015-05-25,00:00:00,13.7,13.8,12.7,13.1,2015
2015-05-26,00:00:00,12.7,13.15,12.65,13.0,1302
2015-05-27,00:00:00,13.35,13.35,12.75,13.0,2802
2015-05-28,00:00:00,13.0,13.0,12.65,12.85,4499
2015-05-29,00:00:00,12.9,12.9,11.9,12.05,24424
2015-06-01,00:00:00,12.5,12.6,12.1,12.1,13993
2015-06-02,00:00:00,12.39,12.39,11.5,11.95,3700
2015-06-03,00:00:00,11.95,11.95,11.05,11.63,13683
2015-06-04,00:00:00,11.7,11.8,11.3,11.3,2567
2015-06-05,00:00:00,11.2,11.33,10.81,10.91,20037
2015-06-08,00:00:00,11.54,11.54,10.55,11.15,3305
2015-06-09,00:00:00,11.35,11.35,10.8,10.85,2075
2015-06-10,00:00:00,11.0,11.38,10.8,11.27,7646
2015-06-11,00:00:00,10.98,11.1,10.75,11.05,12310
2015-06-12,00:00:00,13.0,13.0,10.7,10.71,4182
2015-06-15,00:00:00,10.72,11.29,10.71,10.8,679
2015-06-16,00:00:00,10.51,11.38,10.51,11.07,668
2015-06-17,00:00:00,10.1,11.5,10.1,11.1,7937
2015-06-18,00:00:00,10.6,11.4,10.1,11.1,2541
2015-06-19,00:00:00,11.25,11.8,11.0,11.02,13903
2015-06-22,00:00:00,10.6,13.0,10.15,11.15,17489
2015-06-23,00:00:00,11.25,11.6,11.25,11.5,9669
2015-06-24,00:00:00,11.48,11.5,11.25,11.43,7950
2015-06-25,00:00:00,11.26,11.65,11.26,11.37,4426
2015-06-26,00:00:00,11.5,11.75,11.0,11.49,5888
2015-06-29,00:00:00,11.25,12.99,10.75,12.83,36201
2015-06-30,00:00:00,13.25,13.25,11.76,11.95,51053
2015-07-01,00:00:00,12.05,12.59,11.8,12.18,19472
2015-07-02,00:00:00,12.5,12.57,11.83,11.94,9400
2015-07-03,00:00:00,12.15,12.26,11.0,11.18,30558
2015-07-06,00:00:00,11.3,12.6,11.0,11.99,46825
2015-07-07,00:00:00,12.3,12.74,12.06,12.42,52677
2015-07-08,00:00:00,12.0,13.1,12.0,12.43,24289
2015-07-09,00:00:00,12.8,13.39,12.1,13.07,50550
2015-07-10,00:00:00,13.0,13.9,12.0,12.42,58388
2015-07-13,00:00:00,12.7,12.85,12.21,12.27,18610
2015-07-14,00:00:00,12.45,12.75,12.15,12.35,14606
2015-07-15,00:00:00,12.5,12.74,12.26,12.48,10646
2015-07-16,00:00:00,12.89,12.89,12.5,12.52,4603
2015-07-17,00:00:00,12.12,12.8,12.12,12.29,9251
2015-07-20,00:00:00,12.5,12.5,12.0,12.13,12492
2015-07-21,00:00:00,13.8,13.8,12.13,12.15,7559
2015-07-22,00:00:00,12.25,13.38,12.07,13.0,25758
2015-07-23,00:00:00,13.5,13.5,12.56,13.03,9556
2015-07-24,00:00:00,13.29,13.93,13.0,13.49,49513
2015-07-27,00:00:00,13.5,13.5,13.06,13.19,5797
2015-07-28,00:00:00,13.88,13.88,12.22,12.59,11341
2015-07-29,00:00:00,13.5,13.5,12.6,12.65,8878
2015-07-30,00:00:00,13.39,13.39,12.51,12.55,11390
2015-07-31,00:00:00,12.5,14.6,12.5,14.2,59445
2015-08-03,00:00:00,14.4,16.6,14.35,16.41,157680
2015-08-04,00:00:00,16.25,18.64,15.69,18.3,143362
2015-08-05,00:00:00,18.0,18.98,17.5,18.34,76216
2015-08-06,00:00:00,18.39,18.39,16.95,17.89,45010
2015-08-07,00:00:00,17.89,19.6,17.89,19.07,139436
2015-08-10,00:00:00,17.17,20.0,17.17,18.27,133930
2015-08-11,00:00:00,18.57,18.8,16.45,16.73,83929
2015-08-12,00:00:00,16.05,16.05,15.06,15.09,37542
2015-08-13,00:00:00,15.75,15.95,14.6,14.92,7487
2015-08-14,00:00:00,15.49,15.49,15.0,15.01,6990
2015-08-17,00:00:00,14.5,14.8,14.3,14.39,2501
2015-08-18,00:00:00,14.45,14.94,14.26,14.36,3236
2015-08-19,00:00:00,15.0,15.07,14.0,15.07,8558
2015-08-20,00:00:00,15.69,15.69,14.75,14.84,3440
2015-08-21,00:00:00,14.75,15.4,14.45,15.25,4995
2015-08-24,00:00:00,15.0,15.0,14.49,14.49,3175
2015-08-25,00:00:00,13.85,13.85,13.77,13.77,1822
2015-08-26,00:00:00,13.09,13.9,13.09,13.24,22238
2015-08-27,00:00:00,13.83,13.83,12.58,12.59,30844
2015-08-28,00:00:00,12.99,13.14,12.7,12.94,11726
2015-08-31,00:00:00,13.04,13.58,13.0,13.58,13320
2015-09-01,00:00:00,13.8,13.8,12.91,12.93,8081
2015-09-02,00:00:00,13.45,13.45,12.7,12.78,2647
2015-09-03,00:00:00,12.75,13.15,12.7,12.77,4776
2015-09-04,00:00:00,13.0,13.0,12.0,12.0,12405
2015-09-07,00:00:00,13.0,13.0,12.19,12.28,2518
2015-09-08,00:00:00,13.3,13.3,12.0,12.63,6423
2015-09-09,00:00:00,13.0,13.8,12.95,12.95,4495
2015-09-10,00:00:00,13.85,13.85,12.81,13.33,15945
2015-09-11,00:00:00,13.73,13.73,12.75,13.26,6146
2015-09-14,00:00:00,13.55,13.55,12.85,13.14,3565
2015-09-15,00:00:00,13.39,13.39,12.73,12.98,1505
2015-09-16,00:00:00,13.74,13.74,12.71,13.04,3510
2015-09-18,00:00:00,13.0,13.6,12.53,12.6,1820
2015-09-21,00:00:00,12.52,13.19,12.51,13.0,1022
2015-09-22,00:00:00,13.0,13.07,12.67,13.0,1220
2015-09-23,00:00:00,13.0,13.75,13.0,13.07,6610
2015-09-24,00:00:00,13.79,13.79,12.8,12.81,5435
2015-09-28,00:00:00,13.49,13.49,12.9,13.11,3690
2015-09-29,00:00:00,12.51,12.99,12.51,12.82,868
2015-09-30,00:00:00,13.2,13.2,12.76,13.04,1983
2015-10-01,00:00:00,13.49,13.49,12.85,12.96,9956
2015-10-05,00:00:00,12.66,13.65,12.66,13.47,10059
2015-10-06,00:00:00,13.7,14.6,13.7,13.99,15700
2015-10-07,00:00:00,14.0,14.34,13.85,13.99,4572
2015-10-08,00:00:00,14.34,14.34,13.5,13.53,3873
2015-10-09,00:00:00,14.2,14.65,13.75,14.53,16485
2015-10-12,00:00:00,14.54,16.0,14.26,15.59,29841
2015-10-13,00:00:00,15.5,16.98,15.25,16.02,30905
2015-10-14,00:00:00,16.25,16.8,15.4,15.72,8420
2015-10-15,00:00:00,15.6,16.26,15.3,15.82,13271
2015-10-16,00:00:00,15.75,16.09,14.5,14.85,7705
2015-10-19,00:00:00,15.5,16.71,15.3,16.45,52847
2015-10-20,00:00:00,17.5,17.5,16.0,16.09,14200
2015-10-21,00:00:00,16.05,16.45,15.11,15.91,14880
2015-10-23,00:00:00,16.5,16.95,15.25,16.02,50348
2015-10-26,00:00:00,16.05,16.05,15.2,15.41,13331
2015-10-27,00:00:00,15.68,15.9,15.3,15.41,7352
2015-10-28,00:00:00,15.7,15.7,15.1,15.21,3530
2015-10-29,00:00:00,15.8,15.8,15.25,15.4,4550
2015-10-30,00:00:00,15.9,16.79,14.51,14.87,17062
2015-11-02,00:00:00,15.4,16.75,15.11,15.41,6772
2015-11-03,00:00:00,14.5,15.55,14.5,15.27,19989
2015-11-04,00:00:00,15.11,15.49,15.0,15.21,16314
2015-11-05,00:00:00,14.9,15.0,14.56,14.66,1972
2015-11-06,00:00:00,14.99,14.99,14.5,14.6,2450
2015-11-09,00:00:00,14.5,14.5,13.6,14.2,6346
2015-11-10,00:00:00,14.11,14.28,13.51,13.91,8420
2015-11-11,00:00:00,14.98,14.98,14.1,14.33,1431
2015-11-13,00:00:00,14.5,14.89,14.31,14.83,6578
