Date,Timestamp,Open,High,Low,Close,Volume
2019-12-10,00:00:00,1.55,1.6,1.55,1.6,2000
2019-12-13,00:00:00,1.65,1.65,1.65,1.65,510
2020-03-03,00:00:00,2.0,2.0,2.0,2.0,10
2021-04-05,00:00:00,2.1,2.1,2.1,2.1,5000
2021-04-06,00:00:00,2.2,2.2,2.2,2.2,2000
2021-04-12,00:00:00,2.3,2.3,2.3,2.3,2500
2021-04-13,00:00:00,2.4,2.4,2.4,2.4,3000
2021-04-15,00:00:00,2.5,2.5,2.5,2.5,60
2021-04-16,00:00:00,2.6,2.6,2.6,2.6,1000
2021-04-19,00:00:00,2.75,2.75,2.75,2.75,1250
2021-04-20,00:00:00,2.85,2.85,2.85,2.85,910
2021-04-22,00:00:00,2.95,2.95,2.95,2.95,500
2021-04-26,00:00:00,3.1,3.1,3.1,3.1,500
2021-04-30,00:00:00,3.25,3.25,3.25,3.25,500
2021-05-04,00:00:00,3.4,3.4,3.4,3.4,500
2021-05-05,00:00:00,3.55,3.55,3.55,3.55,500
2021-06-04,00:00:00,3.7,3.7,3.7,3.7,600
2022-05-11,00:00:00,3.9,3.9,3.9,3.9,100
2022-05-12,00:00:00,4.1,4.1,4.1,4.1,130
2022-05-13,00:00:00,4.25,4.3,4.25,4.3,10000
2022-10-03,00:00:00,4.5,4.5,4.5,4.5,53000
2022-10-04,00:00:00,4.7,4.7,4.7,4.7,1675000
2022-10-06,00:00:00,4.95,4.95,4.95,4.95,504550
2022-10-07,00:00:00,5.05,5.05,4.7,4.7,47110
2022-10-10,00:00:00,4.45,4.45,4.45,4.45,14510
2022-10-11,00:00:00,4.25,4.25,4.25,4.25,36430
2022-10-12,00:00:00,4.05,4.05,4.05,4.05,5770
2022-10-13,00:00:00,3.85,3.85,3.85,3.85,31710
2022-10-14,00:00:00,3.65,4.05,3.65,3.9,614620
2022-10-17,00:00:00,3.7,3.7,3.7,3.7,222220
2022-10-18,00:00:00,3.85,3.9,3.7,3.7,483820
2022-10-19,00:00:00,3.8,3.85,3.8,3.8,220460
