Date,Timestamp,Open,High,Low,Close,Volume
2015-04-01,00:00:00,6.94,7.1,6.6,7.09,23207
2015-04-06,00:00:00,7.0,7.29,7.0,7.09,17684
2015-04-07,00:00:00,7.1,7.15,6.93,7.08,26060
2015-04-08,00:00:00,7.06,8.49,7.0,8.49,157618
2015-04-09,00:00:00,9.14,9.98,8.8,9.11,265100
2015-04-10,00:00:00,8.19,9.5,8.19,8.58,102537
2015-04-13,00:00:00,9.0,9.0,8.51,8.72,68643
2015-04-15,00:00:00,8.6,8.88,8.02,8.26,64605
2015-04-16,00:00:00,8.0,8.31,8.0,8.14,77755
2015-04-17,00:00:00,7.9,8.14,7.53,7.86,72813
2015-04-20,00:00:00,7.8,7.93,7.11,7.66,49116
2015-04-21,00:00:00,8.44,8.44,7.9,8.11,37207
2015-04-22,00:00:00,7.5,8.34,7.5,8.18,30306
2015-04-23,00:00:00,7.89,8.33,7.89,8.11,17916
2015-04-24,00:00:00,7.91,8.15,7.67,7.76,34804
2015-04-27,00:00:00,7.44,7.93,7.43,7.59,22099
2015-04-28,00:00:00,7.25,8.0,7.25,7.66,37544
2015-04-29,00:00:00,8.19,8.19,7.51,7.73,12437
2015-04-30,00:00:00,7.98,8.94,7.98,8.44,87044
2015-05-04,00:00:00,8.44,8.44,8.0,8.09,64103
2015-05-05,00:00:00,8.25,8.25,7.75,7.97,50320
2015-05-06,00:00:00,7.6,8.02,7.5,7.64,30985
2015-05-07,00:00:00,7.6,7.8,7.51,7.52,8462
2015-05-08,00:00:00,7.6,8.86,7.3,7.55,12215
2015-05-11,00:00:00,8.44,8.44,7.4,7.49,10182
2015-05-12,00:00:00,7.31,7.5,7.11,7.3,11491
2015-05-13,00:00:00,7.24,7.65,7.24,7.6,21960
2015-05-14,00:00:00,7.79,7.79,7.33,7.63,4400
2015-05-15,00:00:00,7.99,7.99,7.25,7.39,26706
2015-05-18,00:00:00,8.14,8.14,7.3,7.47,10109
2015-05-19,00:00:00,7.3,7.5,7.3,7.41,11119
2015-05-20,00:00:00,7.8,7.8,7.3,7.41,16739
2015-05-21,00:00:00,7.84,7.84,7.41,7.58,4277
2015-05-22,00:00:00,7.94,7.94,7.5,7.72,20043
2015-05-25,00:00:00,7.99,7.99,7.41,7.59,6596
2015-05-26,00:00:00,7.8,7.8,7.22,7.5,5063
2015-05-27,00:00:00,7.84,7.84,7.16,7.36,23675
2015-05-28,00:00:00,7.69,7.69,7.06,7.34,13251
2015-05-29,00:00:00,7.65,7.65,7.21,7.25,6785
2015-06-01,00:00:00,7.54,7.54,7.06,7.29,9380
2015-06-02,00:00:00,7.48,7.48,7.1,7.12,5184
2015-06-03,00:00:00,7.02,7.15,6.32,6.87,19642
2015-06-04,00:00:00,7.0,7.1,6.42,6.82,5678
2015-06-05,00:00:00,7.69,7.69,6.87,6.97,10943
2015-06-08,00:00:00,7.0,7.55,6.81,7.23,12917
2015-06-09,00:00:00,7.64,7.64,6.85,7.01,3600
2015-06-10,00:00:00,7.4,7.4,6.93,7.02,2816
2015-06-11,00:00:00,7.53,7.53,6.99,7.04,9347
2015-06-12,00:00:00,7.79,7.79,6.99,7.02,8565
2015-06-15,00:00:00,7.65,7.65,7.0,7.1,11677
2015-06-16,00:00:00,7.1,7.1,6.5,6.77,97899
2015-06-17,00:00:00,7.49,7.49,6.66,6.81,12328
2015-06-18,00:00:00,7.2,7.2,6.7,6.82,12069
2015-06-19,00:00:00,6.85,7.2,6.78,6.92,23424
2015-06-22,00:00:00,7.5,7.5,6.8,6.88,26654
2015-06-23,00:00:00,7.0,7.0,5.75,6.76,46334
2015-06-24,00:00:00,6.5,7.2,6.5,6.81,37906
2015-06-25,00:00:00,7.2,7.2,6.56,6.63,39009
2015-06-26,00:00:00,7.2,7.2,6.3,6.33,32880
2015-06-29,00:00:00,7.0,7.0,6.06,6.39,6571
2015-06-30,00:00:00,6.16,6.45,6.1,6.13,51565
2015-07-01,00:00:00,6.34,6.34,5.85,5.92,57217
2015-07-02,00:00:00,6.99,6.99,6.1,6.12,35593
2015-07-03,00:00:00,6.47,6.63,6.16,6.21,19471
2015-07-06,00:00:00,6.03,6.45,6.0,6.15,25525
2015-07-07,00:00:00,6.1,6.8,6.02,6.7,59528
2015-07-08,00:00:00,6.5,7.19,6.26,6.95,11658
2015-07-09,00:00:00,7.05,7.25,6.8,7.15,31401
2015-07-10,00:00:00,7.2,7.7,6.8,7.15,55719
2015-07-13,00:00:00,7.15,7.6,7.01,7.22,9466
2015-07-14,00:00:00,7.47,7.63,7.2,7.42,14788
2015-07-15,00:00:00,7.65,7.65,7.11,7.2,27919
2015-07-16,00:00:00,7.44,7.44,7.2,7.22,5902
2015-07-17,00:00:00,7.1,7.5,7.1,7.2,18125
2015-07-20,00:00:00,7.2,7.3,7.0,7.23,11762
2015-07-21,00:00:00,7.65,7.65,6.45,6.79,46351
2015-07-22,00:00:00,6.6,7.25,6.55,6.85,35224
2015-07-23,00:00:00,6.5,8.0,6.5,7.92,98184
2015-07-24,00:00:00,7.95,8.14,7.52,7.55,26221
2015-07-27,00:00:00,7.95,7.95,7.3,7.39,7720
2015-07-28,00:00:00,7.49,7.72,7.35,7.61,29120
2015-07-29,00:00:00,7.65,8.6,7.29,8.46,130552
2015-07-30,00:00:00,8.85,9.8,8.0,9.4,233181
2015-07-31,00:00:00,9.64,11.28,9.3,11.28,373291
2015-08-03,00:00:00,11.4,12.39,10.45,10.62,529605
2015-08-04,00:00:00,10.89,10.97,10.0,10.27,138548
2015-08-05,00:00:00,10.0,10.7,9.61,9.78,110634
2015-08-06,00:00:00,10.19,10.19,9.65,9.75,47241
